horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_total_sse_reduction
osi_target_t01h,v18_rule,39117,Morrow County,1,143,0.04620474370778351,0.01868783856171797,0.30528760277758027,-0.015222335917323757,0.044982534937451434,0.018438474467254298,0.2893502682640625,-0.014972971822860087,-0.0012222087703320783,-2.6452019257195647,0.015937334513517754,2,1.003376038698165
osi_target_t01h,v18_rule,39113,Montgomery County,4,143,0.0014912733227904517,0.0008735353986297678,0.0003180171456271059,-0.0008498458496097051,0.0014606432346650248,0.0008631129347449677,0.00030508744823309707,-0.000839423385724905,-3.06300881254269e-05,-2.053955345228886,1.2929697394008818e-05,1,0.0008140224792146265
osi_target_t01h,v18_rule,39131,Pike County,3,143,0.005671796907681488,0.0022884983019437173,0.004600207063163896,-0.0014545967716242697,0.00566411118576976,0.002267829818295062,0.004587748240040983,-0.001433928287975615,-7.685721911727776e-06,-0.1355077065844701,1.2458823122913493e-05,3,0.0007843773738517581
osi_target_t01h,v18_rule,39135,Preble County,1,143,0.0053261971620586655,0.002656870166878722,0.004056677797904415,-0.002617205557105652,0.00532154581826965,0.002651817261184605,0.0040495955351198785,-0.002612152651411535,-4.6513437890150985e-06,-0.08732954578078989,7.082262784536587e-06,1,0.0004458821374264581
osi_target_t01h,v18_rule,18073,Jasper County,4,143,0.002882828994430087,0.001572080893278498,0.0011884305305911304,0.0009451800718744116,0.0028747922853290028,0.0015620595070628097,0.0011818135877815624,0.0009552014580900997,-8.036709101084168e-06,-0.2787785580279589,6.616942809567917e-06,2,0.00041658671711541516
osi_target_t01h,v18_rule,18127,Porter County,3,143,0.0025160542995402626,0.0017291399701203929,0.000905265681067611,0.0015804661736841597,0.0025112753164334947,0.001726037562586971,0.0009018300312347253,0.0015835685812175817,-4.7789831067678555e-06,-0.189939585470833,3.4356498328857272e-06,1,0.0002163002048272878
osi_target_t01h,v18_rule,18103,Miami County,1,143,0.004567594229285078,0.0027152156560986815,0.0029833971372059636,0.00264093525001488,0.0045649886587424745,0.00270356661262023,0.002979994367985981,0.0026552199181289946,-2.605570542603755e-06,-0.05704470256788774,3.4027692199828548e-06,1,0.00021423012095620706
osi_target_t01h,v18_rule,42013,Blair County,1,143,0.0018619718916598996,0.00103446798555897,0.0004957723235224109,-7.582577857475966e-05,0.0018569886402457234,0.0010331492327028,0.0004931221738302374,-7.450702571858982e-05,-4.983251414176224e-06,-0.2676330097407531,2.650149692173462e-06,2,0.00016684701559315158
osi_target_t01h,v18_rule,18141,St. Joseph County,1,143,0.0016845087736935222,0.0011813484437444314,0.0004057724826370149,0.0008120465037909968,0.0016814511563373335,0.001180242338889939,0.0004043007527341863,0.000813152608645489,-3.057617356188626e-06,-0.1815138872494182,1.471729902828621e-06,1,9.265655550376435e-05
osi_target_t01h,v18_rule,39165,Warren County,2,143,0.0012667962548226302,0.00070531084821162,0.00022948250342626783,0.0004153097005398592,0.0012629277312694402,0.0006983275896619776,0.00022808306298054067,0.0004251096587734334,-3.868523553189921e-06,-0.305378512011123,1.3994404457271631e-06,1,8.8105386106863e-05
osi_target_t01h,v18_rule,42133,York County,0,143,0.002102257614188685,0.0008920810392748865,0.000631986651927245,0.00048001742316837584,0.002100946060349645,0.0008865726104024043,0.0006311983318353132,0.0004879458454659395,-1.3115538390401013e-06,-0.06238787435888238,7.883200919318488e-07,2,4.963072654325325e-05
osi_target_t01h,v18_rule,39141,Ross County,1,143,0.003077314315990511,0.0018977615213576317,0.001354190466114221,0.001823328460929383,0.0030764690365011195,0.0018935929008007432,0.001353446627754668,0.0018320544392622813,-8.452794893914518e-07,-0.027468090763405062,7.438383595528841e-07,1,4.683026424568514e-05
osi_target_t01h,v18_rule,42049,Erie County,0,143,0.007497934402999553,0.004124337379037917,0.00803931990457085,-0.0024420148374548895,0.007497591712475051,0.0041213177490475325,0.008038585052637362,-0.0024389952074645046,-3.426905245025591e-07,-0.004570465758746423,7.348519334877956e-07,1,4.6264500593074686e-05
osi_target_t01h,v18_rule,39099,Mahoning County,0,143,0.0021089149994570526,0.001272666134447138,0.0006359957139156964,0.0007718889820982501,0.0021080642599940816,0.0012725171494645776,0.0006354826941698086,0.000772037967080811,-8.507394629710466e-07,-0.04034014946975306,5.130197458878133e-07,1,3.2298482532712756e-05
osi_target_t01h,v18_rule,42051,Fayette County,3,143,0.003278454015727872,0.00236666436180927,0.001537001284853636,0.0010371439108545612,0.0032782283061879667,0.002366234120668213,0.0015367896583313597,0.0010375741519956182,-2.2570953990509388e-07,-0.006884633391901485,2.116265222762946e-07,1,1.3323494052594162e-05
osi_target_t01h,v18_rule,18097,Marion County,4,143,0.0007012578567118637,0.00032552347548717717,7.03220491688167e-05,0.00010295814683933268,0.0007012578567118637,0.00032552347548717717,7.03220491688167e-05,0.00010295814683933268,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18095,Madison County,4,143,0.0014918537350741095,0.0007416937591537192,0.0003182647420602037,-2.5102424420454786e-05,0.0014918537350741095,0.0007416937591537192,0.0003182647420602037,-2.5102424420454786e-05,0.0,0.0,0.0,0,0.0
