cv_seed,horizon,fipsCode,target_day,n,T_sse,e_P_squared,e_N_squared,e_D_squared,e_R_squared,e_remainder_squared,e_P_x_e_N,e_P_x_e_D,e_P_x_e_R,e_P_x_e_remainder,e_N_x_e_D,e_N_x_e_R,e_N_x_e_remainder,e_D_x_e_R,e_D_x_e_remainder,e_R_x_e_remainder
42,1,18009,3,23,0.003918563773179202,0.0021443937526360287,3.1098605428555015e-06,0.0005591580440702841,1.7061159976774264e-05,1.799116002954065e-08,-0.00011733538280988256,0.0013570854074677961,2.2577549946441824e-05,-2.686809267298114e-06,-2.5661417467296142e-05,-2.549863521914932e-07,1.1184345539035672e-07,-3.90304868338852e-05,3.511220080998044e-07,-3.3387535394472655e-07
42,1,18009,4,24,0.0006647803357028457,0.00016799342763822427,7.969676676662799e-06,0.0001510151015703781,2.9840379227739775e-07,1.0148314907779914e-08,2.9752108602110915e-05,0.0002978010410563845,-7.660221318131242e-06,-8.567124031514232e-07,3.022249174588702e-05,-1.8230124746274882e-06,-1.5878289097782351e-07,-9.101145713211093e-06,-7.076751606314865e-07,2.5486266743582517e-08
42,1,18009,5,24,0.0003264224796035599,0.00012160412464379665,5.713698200113974e-06,4.622248393310875e-05,3.4083063796322257e-07,2.0656929900812285e-08,3.2795891856690645e-05,0.00012368164169743152,-7.277956804335722e-06,-5.278982922462979e-07,1.0313169366848516e-05,-2.7110049374979423e-07,-2.1699204184093376e-07,-5.650781020198993e-06,-3.4705743623174467e-07,2.1768426309364156e-08
42,1,18009,6,24,1.4499999999999999e-06,1.8250912935271664e-06,3.4759879743065256e-07,9.331356384937858e-07,2.5599783734066335e-08,7.789726975428184e-06,9.471997077386959e-07,1.914386095878063e-06,-1.7065040247945462e-07,-6.067945168710377e-06,4.932554605842899e-07,-1.1619169276911098e-07,-1.3870969502733701e-06,-9.0584656209958e-08,-5.1551431616902024e-06,1.6161827931756932e-07
42,1,18009,7,24,9.999999999999998e-08,3.1173670350953157e-07,6.612747654728675e-08,1.371086174673559e-07,1.2673422216265867e-08,9.347718194284425e-07,2.4507044750231954e-07,2.519813984838567e-07,-6.020540984136304e-08,-9.458704639724e-07,1.222794029692516e-07,-3.616686718336443e-08,-4.326148686191773e-07,-6.689672950484379e-08,-5.957935988119225e-07,1.5579864980876059e-07
42,1,18009,8,24,3.0070000000000002e-05,1.4321647162952655e-05,1.3282650306993145e-06,1.0053957409597675e-06,1.2711433459944358e-07,6.147466562736345e-07,6.137274329506432e-06,4.989791279756457e-06,-7.962273866811009e-07,1.5554417943894572e-06,6.752410333285788e-07,-5.6061511167350145e-09,3.686986849726197e-07,-6.379454939961975e-07,4.825445308145471e-07,-9.638154645887707e-08
42,1,18013,3,23,0.00040506518754980834,0.00011302429423555725,5.371839183774315e-06,0.00011191260734599406,2.177576036392348e-06,1.8201240981593723e-06,4.7521910370400885e-05,0.0001509732305041775,-2.1497267000857802e-05,-3.5507985283384154e-07,2.7846533943463405e-05,-4.372566291123673e-06,-5.601621386451568e-08,-2.5418075430326288e-05,-4.283111169088881e-06,3.9918778998412797e-07
42,1,18013,4,24,0.09157276937287558,0.036418789721519206,0.0017664522290357055,0.011025542554939366,7.197612829615964e-05,2.964045032226806e-06,0.009902612413118291,0.03312827563615586,-0.0020851265942235502,-2.189030772463974e-06,0.003122664466536987,-0.00016074682081839665,-4.940104415418191e-06,-0.0016167724582598774,3.188554364429678e-06,7.863236705450553e-08
42,1,18013,5,24,0.024777515556201724,0.009159190747135958,0.000112864279402773,0.0037274540316245197,1.3913103073995442e-05,1.7874230215014783e-08,0.0013197928094240215,0.010493054394197579,-0.0003179747012776323,-1.4685829145666154e-08,0.0005495706384523384,1.1391428191863344e-05,3.1589275208206466e-08,-0.0002915040745235497,-1.7773646842128597e-07,-9.414070800021895e-08
42,1,18013,6,24,0.0010398969584597025,0.0004917008700407818,1.775530276613586e-05,0.0001680963167493827,1.3895220046283906e-06,2.4981851402392673e-08,-1.006474332570343e-05,0.00044096259639361726,-1.0959419238607898e-05,7.551879523530854e-07,-5.2871302406130955e-05,2.6945624349609465e-06,-2.487271313478979e-07,-1.0321342488823314e-05,8.935213157976358e-07,8.963154125574813e-08
42,1,18013,7,24,1.7500621379266e-05,1.732634302530178e-05,2.0651507762105288e-07,1.2518373139349026e-07,1.9640367629127988e-08,4.469799376784008e-06,2.47877630743704e-06,1.3339753066509536e-06,-8.077698727860188e-07,-5.937392444922062e-06,1.987286804947519e-07,-1.0461274374020652e-07,-1.272467510003025e-06,-6.883113884161383e-08,-8.38542274307799e-07,3.712754905545201e-07
42,1,18013,8,24,2e-08,1.2068049942813517e-06,9.898808493133898e-08,7.207081654666692e-08,1.510423373284247e-08,2.1152722521465456e-06,5.505793406648928e-07,2.9936770992705455e-07,-2.193615020383179e-07,-3.1213717145721453e-06,9.843907267912002e-08,-7.01988210605763e-08,-7.979439940981251e-07,-3.936324087586374e-08,-4.995272895993624e-07,3.111400573345773e-07
42,1,18023,3,23,1.0444961688967249e-05,1.2150095237887998e-06,3.318833332432518e-08,7.834577153728065e-06,1.7206124378325048e-08,3.7627153602998664e-06,3.206758973533086e-07,4.802095924411179e-06,-2.0944737507755587e-07,-2.0856127593312134e-06,7.985566577571125e-07,-3.314299813286609e-08,-3.2613140872086124e-07,-5.710421922635765e-07,-5.434057498322691e-06,3.2037094577503265e-07
42,1,18023,4,24,0.00020300288310520033,8.273280789097379e-05,9.085093766732589e-06,8.186469805401224e-06,1.6669440047499135e-07,1.0519344962062913e-06,5.026668389861734e-05,4.585804961457144e-05,-5.81217870398774e-06,1.062542082161238e-06,1.4261277996433295e-05,-2.043282800285761e-06,-2.368876229493282e-07,-1.848856416846024e-06,1.2744047661810026e-07,1.4509422107891567e-07
42,1,18023,5,24,0.0002563915081863922,8.100743844208599e-05,5.724565258504515e-06,3.694450782789552e-05,7.46209712867846e-07,5.484216035869173e-06,3.981628660095582e-05,9.867343717261088e-05,-1.3905245002263557e-05,-4.443339856958533e-06,2.449692177428514e-05,-3.6589348179470144e-06,-3.673840380041276e-06,-1.0139199911916115e-05,-1.1708390626323454e-06,4.893243930761562e-07
42,1,18023,6,24,4.009588950586705e-06,3.1894910889200794e-06,4.07130903873434e-07,1.6424441325575653e-07,3.451381702679124e-08,2.8773074543772267e-06,2.187765335937834e-06,1.0859818048405357e-06,-6.250367959961265e-07,-3.5078583667509996e-06,3.3656685336666687e-07,-2.244223756494693e-07,-9.318306161847684e-07,-1.0522172977166066e-07,-1.1919467963526237e-06,3.1290395969402827e-07
42,1,18023,7,24,5.0000000000000004e-08,4.4641192823252204e-08,3.854074334512366e-09,4.4769760651353215e-09,8.147716417232875e-10,8.36367962390377e-08,3.558134634043539e-09,-4.840608165339673e-09,-3.8637231837185066e-09,-9.485347119071395e-08,1.5807162594455923e-09,-1.2862033478511165e-09,-5.305562689428265e-09,-5.539618869258023e-10,1.2394551662549236e-08,5.746316804278055e-09
42,1,18023,8,24,0.0,3.0369587390405185e-08,2.248741024170934e-08,7.314279426764163e-09,6.74458028886805e-10,9.255027414346175e-08,1.9653270565388733e-08,1.5690584538593765e-08,-6.109350777808565e-09,-8.997367910698432e-08,8.871941016747306e-09,-4.498405332414621e-09,-6.90016267331401e-08,-1.9035009548103586e-09,-3.728758345405904e-08,1.1162341007259935e-08
42,1,18025,3,23,2.5e-07,3.531960434573961e-07,3.126420261913657e-09,6.696985734646897e-08,3.737932101385505e-09,1.2846777942269844e-06,2.410027441258699e-08,9.734868102413568e-08,-1.088016342036481e-08,-1.2798224419633492e-06,4.060711445307364e-09,-3.2672470652723344e-10,-4.072201464114285e-08,-2.4216692494241996e-08,-2.7694335003569764e-07,4.569367298514515e-08
42,1,18025,4,24,0.019887097406970235,0.01163404404769965,0.0023714250165760183,0.0005784553179258506,0.00022986140942124489,2.142243750622366e-06,0.005391849394747759,0.0016809759685903496,-0.0015920408423457607,-8.747279384055993e-06,0.001002399452745538,-0.0008865942288187943,-1.7140068417080075e-06,-0.0005143470515406437,-2.806321330731868e-07,-3.3140342276662267e-07
42,1,18025,5,24,9.050343460068457e-05,4.109573028826234e-05,1.90957929178457e-06,1.7067328294360583e-05,4.7513494931025975e-07,1.2000369176287382e-08,-5.64584798981736e-06,3.835935246379989e-05,2.661192983831115e-06,4.7569914947441695e-07,-6.405016803733696e-06,-5.071558979560592e-07,-1.1825297111934196e-07,7.148736012901206e-07,4.330596482495326e-07,-2.4242776228103712e-08
42,1,18025,6,24,1.2443474986963613e-05,3.5679656063766437e-06,3.744797863730076e-07,2.302984352027718e-06,3.7737060562882016e-08,5.609014003979939e-06,1.9040948433407276e-06,3.018418242809071e-06,-3.5210062925429204e-07,7.713719561562778e-09,9.919531446380367e-07,-8.88930922457481e-08,-4.3021647959651457e-07,-5.373916776740954e-07,-4.451810745342465e-06,4.895268514071391e-07
