cv_seed,horizon,target_day,fipsCode,excluded_fold,variant,rank,matched_fips,matched_fold,distance,control_osi_peak,control_osi_mean,control_P_peak,control_P_mean,control_N_peak,control_R_mean,control_D_mean,control_P_hours_gt05,control_T_rmse,control_S_rmse,query_osi_peak,query_osi_mean,query_P_peak,query_P_mean,query_N_peak,query_R_mean,query_D_mean,query_P_hours_gt05,query_T_rmse,query_S_rmse,control_low_loss,control_high_loss,control_countyName,control_stateAbbr
42,1,3,42053,3,context,1,54059,1,1.8294490042817917,0.0376,0.0049652173913043475,0.065360478,0.005876519869565217,5.1e-05,0.0028506329565217395,0.011568357217391302,2,0.01762053851408996,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,False,Mingo County,WV
42,1,3,42053,3,context,2,42121,1,1.9712339534335575,0.1714,0.06694782608695653,0.29344643,0.09759010217391306,0.076508802,0.013465884826086955,0.10203783460869564,14,0.049510723287928646,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,True,Venango County,PA
42,1,3,42053,3,context,3,54083,0,2.023809860170778,0.0249,0.0034869565217391313,0.04347565,0.004234691608695652,0.001841178,0.0019424515217391304,0.007672332304347826,0,0.01650981492066422,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,False,Randolph County,WV
42,1,3,42053,3,context,4,42031,4,2.0861647418589286,0.1391,0.04628695652173913,0.22900321,0.06625898282608696,0.054550048,0.009847756304347826,0.0729387784347826,11,0.02540438920942422,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,True,Clarion County,PA
42,1,3,42053,3,context,5,42063,2,2.0972611583631986,0.1,0.05021739130434784,0.117516579,0.07137135334782609,0.021062584,0.00536470452173913,0.08568992665217393,18,0.014252363015587993,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,True,Indiana County,PA
42,1,3,42053,3,source_cache_rank,1,42083,2,0.21249723843741486,0.0195,0.0062782608695652175,0.034410699,0.008788932347826087,0.007368193,0.0017727266956521733,0.009476757695652172,0,0.00795117727937214,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,False,McKean County,PA
42,1,3,42053,3,source_cache_rank,2,42121,1,0.22281474850226135,0.1714,0.06694782608695653,0.29344643,0.09759010217391306,0.076508802,0.013465884826086955,0.10203783460869564,14,0.049510723287928646,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,True,Venango County,PA
42,1,3,42053,3,source_cache_rank,3,42033,2,0.22862994256821267,0.071,0.05046956521739131,0.110743571,0.07449581904347824,0.003059386,0.004539113695652174,0.08384803317391305,19,0.007919185194605256,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,True,Clearfield County,PA
42,1,3,42053,3,source_cache_rank,4,42031,4,0.24320775821755125,0.1391,0.04628695652173913,0.22900321,0.06625898282608696,0.054550048,0.009847756304347826,0.0729387784347826,11,0.02540438920942422,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,True,Clarion County,PA
42,1,3,42053,3,source_cache_rank,5,42065,0,0.26291874969189094,0.0414,0.0171,0.06124939,0.02333811595652175,0.008039257,0.0033185392608695657,0.030085525130434783,2,0.02182986041873471,,0.5447,0.2354739130434782,0.969405594,0.34292971521739135,0.243055556,0.04483168013043478,0.35730628286956523,15,0.23410334920825213,,False,False,Jefferson County,PA
42,1,3,39117,4,context,1,39075,3,0.897794460853525,0.3293,0.24178695652173915,0.50347252,0.3613806573913043,0.002543657,0.013494922739130433,0.3932962780869565,23,0.013867445153328545,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Holmes County,OH
42,1,3,39117,4,context,2,39125,1,0.9261089411973559,0.1808,0.06725652173913042,0.270187602,0.093206965,0.000101958,0.01219797047826087,0.1247443297826087,10,0.033721230766317646,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Paulding County,OH
42,1,3,39117,4,context,3,39157,2,0.929266042484158,0.2157,0.16290000000000002,0.328316832,0.24311235473913043,0.002764026,0.009249174869565219,0.2654239250434783,23,0.019155482160748603,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Tuscarawas County,OH
42,1,3,39117,4,context,4,39031,2,0.9435854203471509,0.2711,0.21376521739130433,0.41200073,0.319622310826087,0.004529151,0.011728611260869567,0.3468101008260869,23,0.017800256051247507,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Coshocton County,OH
42,1,3,39117,4,context,5,39137,0,0.9467217666938075,0.116,0.07330869565217392,0.172173591,0.10679538795652173,0.000863026,0.007127554956521737,0.12503110313043478,18,0.023255961614345153,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Putnam County,OH
42,1,3,39117,4,source_cache_rank,1,39139,2,0.20812671509977962,0.1101,0.08189130434782607,0.165574536,0.12223182717391307,0.00477924,0.005004078695652173,0.1327922056956522,23,0.012840639625460743,,0.5087,0.29458260869565217,0.7618563,0.4307427500434784,0.012755275,0.02832768439130435,0.49583255900000006,23,0.026957921002190844,,False,True,Richland County,OH
