cv_seed,horizon,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse
42,1,34177,4.016499642975094,0.010840689291401098,-0.0001234873431378002,0.005744512391374316,0.5447,,,,,,,,,,,,,,,,,,
42,6,32982,3.2384868949089327,0.009909062742500467,-0.00010769119066969052,0.004902474076769147,0.4704,,,,,,,,,,,,,,,,,,
42,24,28680,2.040432332014631,0.008434736596420678,-9.257391647402344e-05,0.003137046722454672,0.3277,2.0456344757917986,0.008445482059497094,-0.00024572936787352275,1.8869161666459529,1.567193750253284,0.31972241639266885,8303.0,1.6477324754569498,1.6449360043564003,7395.0,0.3866020122418222,0.3983540092951972,1600.0,0.00378645421998247,0.0018948818445190968,11382.0,0.0023113900958763767,0.0004495802956821866
42,48,22944,1.357242962755131,0.007691202257793633,-0.0001565905410230873,0.002195837691771269,0.3277,1.3467903619349797,0.007661528701953814,-0.00033646039506835933,1.3039364447441537,1.1458659705607217,0.15807047418343206,6871.0,1.1619669488455653,1.168592530462174,5178.0,0.1916960826248065,0.17717119834682926,1130.0,0.0014832165827353108,0.0006941532928821534,9765.0,0.002096714702024137,0.0003324798330940433
20260917,1,34177,4.182357013811167,0.011062252875491096,-0.00016424828599728307,0.005744512391374316,0.5447,,,,,,,,,,,,,,,,,,
20260917,6,32982,3.3521886609995875,0.010081513422689467,-0.00015800704270487189,0.004902474076769147,0.4704,,,,,,,,,,,,,,,,,,
20260917,24,28680,2.104799623133157,0.00856674431733002,-0.00012182407134348413,0.003137046722454672,0.3277,2.125863451260286,0.008609503545453312,-0.00026801273034823966,1.9493949391887666,1.6655668224011686,0.28382811678759823,8354.0,1.7411192870993555,1.7442092509882134,7473.0,0.3568490494748843,0.3795091234900537,1617.0,0.0038223959357316767,0.0016347037907228211,11236.0,0.0030088906231857454,0.0005103729912961164
20260917,48,22944,1.4304100804473678,0.007895792270846023,-0.0002851312363928788,0.002195837691771269,0.3277,1.413005179151473,0.007847608155583162,-0.00041548817762898914,1.379143790969803,1.2380453764550796,0.14109841451472324,7151.0,1.2542920009384337,1.2528703179154634,4989.0,0.17340685572751058,0.15912620929045335,946.0,0.0010807265048794193,0.0005207198175056863,9858.0,0.0016304972765442557,0.0004879321280506214
20260918,1,34177,3.8072248948900858,0.01055449106533266,-5.968048855843743e-05,0.005744512391374316,0.5447,,,,,,,,,,,,,,,,,,
20260918,6,32982,3.0075453029124564,0.00954921332229313,-4.027044658716905e-05,0.004902474076769147,0.4704,,,,,,,,,,,,,,,,,,
20260918,24,28680,1.8497594228353134,0.008030970870658143,-1.3201457042298306e-05,0.003137046722454672,0.3277,1.7981459333889054,0.007918134856272884,-0.00015679471340414498,1.6641483457396697,1.2781499388396633,0.38599840690000636,8450.0,1.36241095999414,1.3448444485275288,7288.0,0.48131815383820997,0.4496849766359412,1664.0,0.003762140280424509,0.002932296491697969,11278.0,0.002268168722539017,0.0006842117337371809
20260918,48,22944,1.2516773089381812,0.007386039443917857,9.232167604194413e-06,0.002195837691771269,0.3277,1.2270980140246306,0.007313159737981613,-0.0001396090652224994,1.180568452187406,0.9429737168569975,0.23759473533040848,7062.0,0.9672972168792798,0.9624618713488496,5071.0,0.2808344673258478,0.26298169786333264,1011.0,0.0013754925571169748,0.0012307562916281682,9800.0,0.0021701321759363466,0.00042368852081995577
