cv_seed,horizon,fipsCode,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr,rank
42,1,18009,143,0.004941386588485607,0.005878362949702138,0.0011798482902280409,0.005834265734265735,0.0675,,,,,,,,,,,,,,,,,,,Blackford County,IN,76
42,1,18013,143,0.11781276769646606,0.028703057474194202,-0.008771802513836933,0.013466433566433565,0.1379,,,,,,,,,,,,,,,,,,,Brown County,IN,5
42,1,18023,143,0.0004738989419311464,0.0018204336337540904,0.0007008726117625712,0.0001041958041958042,0.0024,,,,,,,,,,,,,,,,,,,Clinton County,IN,190
42,1,18025,143,0.02008007431655788,0.01184989873863019,-0.0014421780063523784,0.003063636363636364,0.1505,,,,,,,,,,,,,,,,,,,Crawford County,IN,32
42,1,18027,143,0.0026527643228528392,0.004307063902533763,0.001731671777939247,0.0005545454545454546,0.0097,,,,,,,,,,,,,,,,,,,Daviess County,IN,106
42,1,18029,143,0.0002596259268271981,0.0013474293754659344,-3.9907119927806946e-05,0.0007,0.0171,,,,,,,,,,,,,,,,,,,Dearborn County,IN,215
42,1,18033,143,0.0015786198605624022,0.0033225441643735306,-0.0009952585191921556,0.0016636363636363637,0.026,,,,,,,,,,,,,,,,,,,DeKalb County,IN,126
42,1,18035,143,0.0005232253335176751,0.0019128299496315709,-0.00047023023021793036,0.0022384615384615386,0.0168,,,,,,,,,,,,,,,,,,,Delaware County,IN,183
42,1,18037,143,0.0008021110309841316,0.0023683682249262005,0.0005916915139283749,0.0006181818181818182,0.014,,,,,,,,,,,,,,,,,,,Dubois County,IN,168
42,1,18039,143,0.00035508866865303207,0.0015757974308356377,0.0010644977219576503,0.0006370629370629371,0.0057,,,,,,,,,,,,,,,,,,,Elkhart County,IN,199
42,1,18041,143,0.0040294391420294985,0.005308285608189181,-0.0018338205207804107,0.002541958041958042,0.0297,,,,,,,,,,,,,,,,,,,Fayette County,IN,87
42,1,18043,143,0.0010630093961769506,0.002726468804350704,0.0008143128593897192,0.000765034965034965,0.0152,,,,,,,,,,,,,,,,,,,Floyd County,IN,153
42,1,18045,143,0.0013557231769304023,0.0030790553189015556,0.0012194641687331457,0.0007916083916083917,0.0109,,,,,,,,,,,,,,,,,,,Fountain County,IN,138
42,1,18047,143,0.0013313709862287,0.0030512762275782105,0.00042812850753070513,0.0013804195804195804,0.0319,,,,,,,,,,,,,,,,,,,Franklin County,IN,140
