cv_seed,horizon,fipsCode,target_day,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr
42,1,18029,5,24,4.462810999129354e-05,0.0013636365289073787,0.000870082979700934,0.0002375,0.0013,,,,,,,,,,,,,,,,,,,Dearborn County,IN
42,1,18029,6,24,4e-08,4.0824829046386304e-05,-1.6666666666666667e-05,1.6666666666666667e-05,0.0001,,,,,,,,,,,,,,,,,,,Dearborn County,IN
42,1,18029,7,24,1e-08,2.0412414523193152e-05,-4.166666666666667e-06,4.166666666666667e-06,0.0001,,,,,,,,,,,,,,,,,,,Dearborn County,IN
42,1,18029,8,24,2.6999999999999996e-07,0.00010606601717798212,-5.4166666666666664e-05,5.4166666666666664e-05,0.0003,,,,,,,,,,,,,,,,,,,Dearborn County,IN
42,1,18033,3,23,2.8875388921152486e-05,0.0011204694070897346,0.0003434050472704557,0.0009304347826086956,0.0018,,,,,,,,,,,,,,,,,,,DeKalb County,IN
42,1,18033,4,24,9.763031659909712e-05,0.0020169109693528153,-0.0013651187943485743,0.0025958333333333332,0.0094,,,,,,,,,,,,,,,,,,,DeKalb County,IN
42,1,18033,5,24,0.001436788409008007,0.007737324066411266,-0.0038918118358787467,0.005320833333333333,0.026,,,,,,,,,,,,,,,,,,,DeKalb County,IN
42,1,18033,6,24,7.335746034145725e-06,0.000552861722997778,-0.0003480812169267911,0.00045000000000000004,0.0011,,,,,,,,,,,,,,,,,,,DeKalb County,IN
42,1,18033,7,24,6.4e-06,0.0005163977794943222,-0.00042500000000000003,0.00042500000000000003,0.0011,,,,,,,,,,,,,,,,,,,DeKalb County,IN
42,1,18033,8,24,1.5899999999999998e-06,0.000257390753524675,-0.00022916666666666666,0.00022916666666666666,0.0004,,,,,,,,,,,,,,,,,,,DeKalb County,IN
42,1,18035,3,23,6.645162699739944e-05,0.001699765034879814,-0.0010514349086511389,0.006943478260869566,0.0151,,,,,,,,,,,,,,,,,,,Delaware County,IN
42,1,18035,4,24,0.00040992220535046977,0.004132806781063313,-0.0017873794491601012,0.004266666666666666,0.0168,,,,,,,,,,,,,,,,,,,Delaware County,IN
42,1,18035,5,24,2.4321828679644923e-05,0.0010066824366792829,0.00032825315464127106,0.0020333333333333336,0.0045,,,,,,,,,,,,,,,,,,,Delaware County,IN
42,1,18035,6,24,2.2409672490160945e-05,0.0009663003434526483,-0.0003100370397389969,0.00035833333333333333,0.0057,,,,,,,,,,,,,,,,,,,Delaware County,IN
42,1,18035,7,24,1.2e-07,7.071067811865475e-05,-2.5e-05,2.5e-05,0.0003,,,,,,,,,,,,,,,,,,,Delaware County,IN
42,1,18035,8,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Delaware County,IN
42,1,18037,3,23,1e-08,2.0851441405707478e-05,-4.347826086956522e-06,4.347826086956522e-06,0.0001,,,,,,,,,,,,,,,,,,,Dubois County,IN
42,1,18037,4,24,0.00048604476320320195,0.00450020723228017,0.0031552768862404853,0.0014833333333333332,0.0092,,,,,,,,,,,,,,,,,,,Dubois County,IN
42,1,18037,5,24,9.507626778092961e-05,0.001990354530614768,0.0014160517175827484,0.0011541666666666666,0.007,,,,,,,,,,,,,,,,,,,Dubois County,IN
42,1,18037,6,24,1e-08,2.0412414523193152e-05,-4.166666666666667e-06,4.166666666666667e-06,0.0001,,,,,,,,,,,,,,,,,,,Dubois County,IN
42,1,18037,7,24,6e-08,4.9999999999999996e-05,-1.6666666666666667e-05,1.6666666666666667e-05,0.0002,,,,,,,,,,,,,,,,,,,Dubois County,IN
42,1,18037,8,24,0.00022091000000000002,0.003033905623669486,-0.0010208333333333334,0.0010208333333333334,0.014,,,,,,,,,,,,,,,,,,,Dubois County,IN
42,1,18039,3,23,2.8263061643538436e-05,0.0011085254923141673,0.0009703321716525178,0.002395652173913043,0.0045,,,,,,,,,,,,,,,,,,,Elkhart County,IN
42,1,18039,4,24,0.00018725451266821607,0.002793254618035325,0.0021877756004685354,0.0011875,0.0057,,,,,,,,,,,,,,,,,,,Elkhart County,IN
42,1,18039,5,24,8.114438618012967e-05,0.0018387539505977238,0.0016651533674045596,0.0003125,0.0018,,,,,,,,,,,,,,,,,,,Elkhart County,IN
42,1,18039,6,24,3.570423054983118e-05,0.0012197033544717472,0.000980900951058639,0.0,0.0,,,,,,,,,,,,,,,,,,,Elkhart County,IN
42,1,18039,7,24,1.927774204256866e-05,0.0008962361584837414,0.00046967761895633345,0.0,0.0,,,,,,,,,,,,,,,,,,,Elkhart County,IN
42,1,18039,8,24,3.4447355687481093e-06,0.00037885438983577567,0.00010922305760927042,0.0,0.0,,,,,,,,,,,,,,,,,,,Elkhart County,IN
42,1,18041,3,23,8.512770256840426e-06,0.0006083752509344736,0.00021049114746294438,3.0434782608695656e-05,0.0005,,,,,,,,,,,,,,,,,,,Fayette County,IN
42,1,18041,4,24,0.0028986186386111756,0.0109898033016428,-0.00633198666075959,0.008558333333333333,0.0297,,,,,,,,,,,,,,,,,,,Fayette County,IN
42,1,18041,5,24,0.0011222677331614824,0.006838212891420908,-0.004787914625209013,0.00655,0.0155,,,,,,,,,,,,,,,,,,,Fayette County,IN
42,1,18041,6,24,4e-08,4.0824829046386304e-05,-8.333333333333334e-06,8.333333333333334e-06,0.0002,,,,,,,,,,,,,,,,,,,Fayette County,IN
42,1,18041,7,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Fayette County,IN
42,1,18041,8,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Fayette County,IN
42,1,18043,3,23,1.04e-06,0.00021264381322847798,-8.695652173913044e-05,8.695652173913044e-05,0.0007,,,,,,,,,,,,,,,,,,,Floyd County,IN
42,1,18043,4,24,0.000574311594194668,0.004891794124665424,0.002563975727805422,0.003120833333333333,0.0152,,,,,,,,,,,,,,,,,,,Floyd County,IN
42,1,18043,5,24,0.000483857365678009,0.004490069439320181,0.002283712221730533,0.0013291666666666666,0.0051,,,,,,,,,,,,,,,,,,,Floyd County,IN
42,1,18043,6,24,3.6804363042737694e-06,0.0003916012163899312,0.00011259283766112262,0.0,0.0,,,,,,,,,,,,,,,,,,,Floyd County,IN
42,1,18043,7,24,1.2e-07,7.071067811865475e-05,-2.4999999999999998e-05,2.4999999999999998e-05,0.0003,,,,,,,,,,,,,,,,,,,Floyd County,IN
42,1,18043,8,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Floyd County,IN
42,1,18045,3,23,1e-08,2.0851441405707478e-05,-4.347826086956522e-06,4.347826086956522e-06,0.0001,,,,,,,,,,,,,,,,,,,Fountain County,IN
42,1,18045,4,24,0.001027485830891722,0.00654308104951241,0.004364470055671778,0.0036833333333333336,0.0105,,,,,,,,,,,,,,,,,,,Fountain County,IN
42,1,18045,5,24,0.0003240128597668376,0.003674307529809969,0.0027874085207392645,0.0010291666666666667,0.0109,,,,,,,,,,,,,,,,,,,Fountain County,IN
42,1,18045,6,24,2.974061760973142e-06,0.0003520216471192469,7.185611782135289e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,Fountain County,IN
42,1,18045,7,24,1.2404245108695253e-06,0.0002273419332625716,4.640597780259724e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,Fountain County,IN
42,1,18045,8,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Fountain County,IN
42,1,18047,3,23,3.4248569788409564e-06,0.00038588447126957325,9.256325858669516e-05,4.782608695652174e-05,0.0007,,,,,,,,,,,,,,,,,,,Franklin County,IN
42,1,18047,4,24,0.0010672100857031892,0.006668364634923585,-0.0004803527446369576,0.006945833333333334,0.0319,,,,,,,,,,,,,,,,,,,Franklin County,IN
42,1,18047,5,24,0.00025462115054958616,0.0032571789337143818,0.0028455918036999935,0.0011333333333333334,0.007,,,,,,,,,,,,,,,,,,,Franklin County,IN
42,1,18047,6,24,5.554892997083833e-06,0.00048109653384585205,0.00017198684216183227,2.5e-05,0.0001,,,,,,,,,,,,,,,,,,,Franklin County,IN
42,1,18047,7,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Franklin County,IN
42,1,18047,8,24,5.599999999999999e-07,0.00015275252316519465,-7.5e-05,7.5e-05,0.0005,,,,,,,,,,,,,,,,,,,Franklin County,IN
42,1,18051,3,23,1e-08,2.0851441405707478e-05,-4.347826086956522e-06,4.347826086956522e-06,0.0001,,,,,,,,,,,,,,,,,,,Gibson County,IN
42,1,18051,4,24,0.0001894990489381896,0.0028099454987166386,-0.0005333979135316892,0.0030375,0.0173,,,,,,,,,,,,,,,,,,,Gibson County,IN
42,1,18051,5,24,5.808828363254679e-05,0.0015557458505026187,0.0009121394769490346,0.00017916666666666667,0.0007,,,,,,,,,,,,,,,,,,,Gibson County,IN
42,1,18051,6,24,6.999999999999999e-08,5.4006172486732163e-05,-2.0833333333333333e-05,2.0833333333333333e-05,0.0002,,,,,,,,,,,,,,,,,,,Gibson County,IN
42,1,18051,7,24,1.8999999999999998e-07,8.897565210026092e-05,-4.5833333333333334e-05,4.5833333333333334e-05,0.0002,,,,,,,,,,,,,,,,,,,Gibson County,IN
42,1,18051,8,24,1.8999999999999998e-07,8.897565210026092e-05,-4.5833333333333334e-05,4.5833333333333334e-05,0.0002,,,,,,,,,,,,,,,,,,,Gibson County,IN
42,1,18059,3,23,3.8999999999999997e-07,0.00013021720984236467,-6.521739130434783e-05,6.521739130434783e-05,0.0004,,,,,,,,,,,,,,,,,,,Hancock County,IN
42,1,18059,4,24,0.00013818085103945831,0.002399486499227997,0.00010146834592146077,0.0011125,0.0138,,,,,,,,,,,,,,,,,,,Hancock County,IN
42,1,18059,5,24,4.751806905172129e-05,0.0014070961387985259,0.000634120134388979,0.0006208333333333334,0.0019,,,,,,,,,,,,,,,,,,,Hancock County,IN
42,1,18059,6,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hancock County,IN
42,1,18059,7,24,1e-08,2.0412414523193152e-05,-4.166666666666667e-06,4.166666666666667e-06,0.0001,,,,,,,,,,,,,,,,,,,Hancock County,IN
42,1,18059,8,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hancock County,IN
42,1,18061,3,23,1.8999999999999998e-07,9.088932591463857e-05,-3.0434782608695646e-05,3.0434782608695646e-05,0.0003,,,,,,,,,,,,,,,,,,,Harrison County,IN
42,1,18061,4,24,0.0011010457781543445,0.006773249399150875,0.002608643666133975,0.004691666666666666,0.038,,,,,,,,,,,,,,,,,,,Harrison County,IN
42,1,18061,5,24,0.0005825302597560709,0.004926671711866232,-0.0022653922120641156,0.004141666666666666,0.0219,,,,,,,,,,,,,,,,,,,Harrison County,IN
42,1,18061,6,24,0.0005610599999999999,0.004835028438385859,-0.002533333333333333,0.002533333333333333,0.0143,,,,,,,,,,,,,,,,,,,Harrison County,IN
42,1,18061,7,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Harrison County,IN
42,1,18061,8,24,2e-08,2.886751345948129e-05,-8.333333333333334e-06,8.333333333333334e-06,0.0001,,,,,,,,,,,,,,,,,,,Harrison County,IN
42,1,18065,3,23,1.1702227457378398e-05,0.0007132969214477845,0.00018833053120475575,1.3043478260869566e-05,0.0001,,,,,,,,,,,,,,,,,,,Henry County,IN
42,1,18065,4,24,0.0001045586643767974,0.002087249629464548,0.0014251712597383563,0.00105,0.0045,,,,,,,,,,,,,,,,,,,Henry County,IN
42,1,18065,5,24,0.0005158362959769256,0.004636073661951303,-0.0027063148080489394,0.004454166666666667,0.019,,,,,,,,,,,,,,,,,,,Henry County,IN
42,1,18065,6,24,3.8999999999999997e-07,0.00012747548783981962,-5.416666666666667e-05,5.416666666666667e-05,0.0004,,,,,,,,,,,,,,,,,,,Henry County,IN
42,1,18065,7,24,3.0000000000000004e-08,3.535533905932738e-05,-1.25e-05,1.25e-05,0.0001,,,,,,,,,,,,,,,,,,,Henry County,IN
42,1,18065,8,24,2e-08,2.886751345948129e-05,-8.333333333333334e-06,8.333333333333334e-06,0.0001,,,,,,,,,,,,,,,,,,,Henry County,IN
42,1,18067,3,23,1.211e-05,0.0007256181772326509,-0.0003956521739130435,0.0003956521739130435,0.002,,,,,,,,,,,,,,,,,,,Howard County,IN
42,1,18067,4,24,5.2527382558124245e-05,0.001479405603586063,9.395419184207168e-05,0.0006333333333333333,0.0045,,,,,,,,,,,,,,,,,,,Howard County,IN
42,1,18067,5,24,0.0003318819750560016,0.003718657772279321,-0.0009761550194850741,0.0017625,0.0149,,,,,,,,,,,,,,,,,,,Howard County,IN
42,1,18067,6,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Howard County,IN
42,1,18067,7,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Howard County,IN
42,1,18067,8,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Howard County,IN
42,1,18069,3,23,3.446007553883072e-05,0.0012240360100349195,-0.001105821623320796,0.002656521739130434,0.0044,,,,,,,,,,,,,,,,,,,Huntington County,IN
42,1,18069,4,24,8.00877829159731e-05,0.0018267432646193642,-0.00017606625263718442,0.0015958333333333334,0.0062,,,,,,,,,,,,,,,,,,,Huntington County,IN
42,1,18069,5,24,8.039213306361174e-05,0.0018302109744463403,0.0007384511553283129,0.0008416666666666668,0.0021,,,,,,,,,,,,,,,,,,,Huntington County,IN
42,1,18069,6,24,9.4e-07,0.00019790570145063196,-0.00010833333333333333,0.00010833333333333333,0.0005,,,,,,,,,,,,,,,,,,,Huntington County,IN
42,1,18069,7,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Huntington County,IN
42,1,18069,8,24,2e-08,2.886751345948129e-05,-8.333333333333334e-06,8.333333333333334e-06,0.0001,,,,,,,,,,,,,,,,,,,Huntington County,IN
42,1,18071,3,23,6.000000000000001e-08,5.107539184552492e-05,-1.739130434782609e-05,1.739130434782609e-05,0.0002,,,,,,,,,,,,,,,,,,,Jackson County,IN
42,1,18071,4,24,0.0021198701442648746,0.009398293604570092,0.0067718666875094475,0.0020041666666666667,0.0101,,,,,,,,,,,,,,,,,,,Jackson County,IN
42,1,18071,5,24,0.0006754949277294536,0.005305244762376872,0.003268480900262762,0.0011333333333333334,0.002,,,,,,,,,,,,,,,,,,,Jackson County,IN
42,1,18071,6,24,2.5262946078792747e-06,0.00032444148213245345,9.324754212020605e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,Jackson County,IN
42,1,18071,7,24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Jackson County,IN
42,1,18071,8,24,1.2264503723906738e-06,0.00022605773344349758,4.614384161222176e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,Jackson County,IN
42,1,18073,3,23,1.4017035952752678e-05,0.0007806640415517136,0.00015090318618818924,0.0021000000000000007,0.0032,,,,,,,,,,,,,,,,,,,Jasper County,IN
42,1,18073,4,24,0.0005857870297694307,0.004940424365078329,0.0032597893658563534,0.0001833333333333333,0.0007,,,,,,,,,,,,,,,,,,,Jasper County,IN
42,1,18073,5,24,0.0008247670889956021,0.0058621920281424385,0.005075241725538914,0.0002541666666666667,0.0005,,,,,,,,,,,,,,,,,,,Jasper County,IN
