cv_seed,horizon,target_day,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse
42,1,3,5497,2.0300946093477683,0.01921742834940514,-0.00031244691554311633,0.019348681098781153,0.5447,,,,,,,,,,,,,,,,,,
42,1,4,5736,0.6185844985791472,0.010384723674960768,9.356444132904068e-05,0.006901882845188283,0.1505,,,,,,,,,,,,,,,,,,
42,1,5,5736,0.5620201228296194,0.009898544992165671,0.0001496204617834641,0.004522384937238493,0.191,,,,,,,,,,,,,,,,,,
42,1,6,5736,0.6340420079699848,0.010513672508605078,-0.0005047144255727248,0.003570554393305439,0.1817,,,,,,,,,,,,,,,,,,
42,1,7,5736,0.1658971680387563,0.005377927149484894,-0.00012496956436239235,0.000520536959553696,0.3277,,,,,,,,,,,,,,,,,,
42,1,8,5736,0.005861236209818169,0.0010108577397005534,-4.985137197796054e-05,0.00016987447698744767,0.0204,,,,,,,,,,,,,,,,,,
42,6,3,4302,1.2520818612816065,0.017060083755936113,-0.00024383185006686368,0.016671989772198973,0.4704,,,,,,,,,,,,,,,,,,
42,6,4,5736,0.6185844985791472,0.010384723674960768,9.356444132904068e-05,0.006901882845188283,0.1505,,,,,,,,,,,,,,,,,,
42,6,5,5736,0.5620201228296194,0.009898544992165671,0.0001496204617834641,0.004522384937238493,0.191,,,,,,,,,,,,,,,,,,
42,6,6,5736,0.6340420079699848,0.010513672508605078,-0.0005047144255727248,0.003570554393305439,0.1817,,,,,,,,,,,,,,,,,,
42,6,7,5736,0.1658971680387563,0.005377927149484894,-0.00012496956436239235,0.000520536959553696,0.3277,,,,,,,,,,,,,,,,,,
42,6,8,5736,0.005861236209818169,0.0010108577397005534,-4.985137197796054e-05,0.00016987447698744767,0.0204,,,,,,,,,,,,,,,,,,
42,24,4,5736,0.6662936929752039,0.010777754326160132,0.00010788051003225794,0.006901882845188283,0.1505,0.7054485146648475,0.011089911754563114,-8.868477251429676e-05,0.6179260656140004,0.4429338833283723,0.1749921822856281,1530.0,0.4625221528285476,0.4884373450825334,2311.0,0.20158192767342364,0.21604816923160797,376.0,0.0015898119085497402,0.0008863792251549369,1519.0,0.000599800564682993,7.662112555107963e-05
