cv_seed,horizon,fipsCode,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr,rank
42,1,18013,143,0.11781276769646606,0.028703057474194202,-0.008771802513836933,0.013466433566433565,0.1379,,,,,,,,,,,,,,,,,,,Brown County,IN,5
42,1,39115,143,0.14357733259528546,0.031686547474853145,-0.005166523458584733,0.012290909090909092,0.3277,,,,,,,,,,,,,,,,,,,Morgan County,OH,4
42,1,39117,143,0.0347734489321397,0.015593940218989697,-0.0003134050404733544,0.07156293706293707,0.5087,,,,,,,,,,,,,,,,,,,Morrow County,OH,19
42,1,39119,143,0.06902699598030287,0.021970577270443388,0.014752365813220298,0.02633076923076923,0.191,,,,,,,,,,,,,,,,,,,Muskingum County,OH,8
42,1,42053,143,1.2711473437709375,0.09428224787377755,-0.025936946972516566,0.045737062937062936,0.5447,,,,,,,,,,,,,,,,,,,Forest County,PA,1
42,1,42131,143,0.036076947026287935,0.015883524257581324,-0.0033120243309361563,0.003862937062937063,0.1648,,,,,,,,,,,,,,,,,,,Wyoming County,PA,18
42,1,54007,143,0.08165918251965026,0.023896510925303482,-0.011152164310005144,0.015926573426573422,0.1154,,,,,,,,,,,,,,,,,,,Braxton County,WV,7
42,1,54013,143,0.2711674297703627,0.04354624820417804,-0.02037358988252443,0.02945524475524477,0.191,,,,,,,,,,,,,,,,,,,Calhoun County,WV,3
42,1,54015,143,0.36294133065799317,0.050379075649942304,-0.02416058841515433,0.03324265734265734,0.1817,,,,,,,,,,,,,,,,,,,Clay County,WV,2
42,1,54041,143,0.029338105165452988,0.014323462381127942,-0.0028086870459874836,0.00526083916083916,0.1199,,,,,,,,,,,,,,,,,,,Lewis County,WV,21
42,6,18013,138,0.11766976747688837,0.029200675924885806,-0.009273501520344639,0.013896376811594202,0.1379,,,,,,,,,,,,,,,,,,,Brown County,IN,5
42,6,39115,138,0.14349947119266046,0.03224672449298572,-0.005483403717731741,0.011267391304347826,0.3277,,,,,,,,,,,,,,,,,,,Morgan County,OH,4
42,6,39117,138,0.026822785686093975,0.013941592886685233,0.0010352043842338354,0.05719855072463768,0.4088,,,,,,,,,,,,,,,,,,,Morrow County,OH,21
42,6,39119,138,0.06713285209227782,0.022056063626532847,0.01462012063179976,0.020550000000000002,0.1758,,,,,,,,,,,,,,,,,,,Muskingum County,OH,8
42,6,42053,138,0.661017927405386,0.0692097173899623,-0.015343137822427674,0.032477536231884055,0.4704,,,,,,,,,,,,,,,,,,,Forest County,PA,1
42,6,42131,138,0.036076937026287934,0.01616870680978034,-0.003431300574810654,0.004002173913043478,0.1648,,,,,,,,,,,,,,,,,,,Wyoming County,PA,17
42,6,54007,138,0.08165908251965025,0.024325552039500584,-0.011551880408193736,0.01649927536231884,0.1154,,,,,,,,,,,,,,,,,,,Braxton County,WV,7
42,6,54013,138,0.2711630501015102,0.044327752462951925,-0.021134555773492714,0.030490579710144926,0.191,,,,,,,,,,,,,,,,,,,Calhoun County,WV,3
42,6,54015,138,0.3627481003712794,0.05126996609107798,-0.025259173346303388,0.03444710144927536,0.1817,,,,,,,,,,,,,,,,,,,Clay County,WV,2
42,6,54041,138,0.029324477987469132,0.014577249991013426,-0.0028518617149479878,0.005289130434782609,0.1199,,,,,,,,,,,,,,,,,,,Lewis County,WV,19
42,24,18013,120,0.1109054979829254,0.030400863198123913,-0.010705458345168712,0.0159775,0.1379,0.12227280447993014,0.03192084017272652,-0.012490360815085071,0.11011135392317076,0.10926861253764161,0.0008427413855291223,46.0,0.10926861253764161,0.12140828852319989,26.0,0.0016111373006485676,0.0008427413855291223,5.0,1.1544737378982538e-05,2.177457120109608e-05,43.0,1.4203407256196395e-05,0.0,Brown County,IN,4
42,24,39115,120,0.14292248217751624,0.03451116753766287,-0.0065750859865224606,0.009967499999999999,0.3277,0.14301068548696017,0.034521815021683534,-0.006733133442898285,0.14283728216094171,0.1427940149614766,4.326719946511193e-05,61.0,0.14283748791370154,0.14294835555940708,13.0,6.945820564484826e-05,5.5998242066627825e-05,12.0,1.5536058169852874e-05,6.3316854864605055e-06,34.0,0.0,0.0,Morgan County,OH,3
42,24,39117,120,0.01540489321568701,0.011330229924000883,-0.004280596054620325,0.028817499999999996,0.1347,0.013378713197588713,0.01055884826326113,-0.0030921863371509597,0.01281532974964034,0.008014063867225979,0.004801265882414363,82.0,0.01054221684588264,0.008175540050081701,26.0,0.00484614968046803,0.005186129214757983,12.0,1.6526689336340075e-05,1.7043932749027985e-05,0.0,0.0,0.0,Morrow County,OH,28
42,24,39119,120,0.08156202315843494,0.02607074080881269,0.01537053862495504,0.006380833333333334,0.0411,0.08982203376943645,0.027359037776914546,0.015925816575056536,0.08123789220456507,6.700000000000001e-07,0.08123722220456506,14.0,6.700000000000001e-07,6.700000000000001e-07,83.0,0.08153585551999926,0.08982034376943646,8.0,1.325707294800859e-05,1.02e-06,15.0,1.2240565487696679e-05,0.0,Muskingum County,OH,5
42,24,42053,120,0.01065014978480739,0.009420788088410027,0.0001813638859353032,0.009370833333333333,0.075,0.009664182173485148,0.008974121207433605,0.0013056711073792893,0.008434788554969354,0.005591825119863741,0.0028429634351056104,34.0,0.007546177799336245,0.005693124636096313,55.0,0.003032778648910758,0.003934356187851735,16.0,5.1000070064820976e-05,3.6701349537101255e-05,15.0,2.019326649556577e-05,0.0,Forest County,PA,38
