cv_seed,horizon,fipsCode,n,gate_n,common_score,common_score_all6_under,common_score_all6_over,common_score_gate,truth_peak,source_max_at_truth_peak
42,24,18009,120,0,0.00042801593284063277,8.334082551738123e-05,0.0003348765400033273,0.0,0.0109,0.007761526993307895
42,24,18013,120,0,0.11011135392317076,0.10926081989537739,0.0008163833895046434,0.0,0.1379,0.013982365074198687
42,24,18023,120,0,0.0001930391934669483,2.6000000000000005e-07,0.0001743142162357703,0.0,0.0024,0.004647851013578475
42,24,18025,120,0,0.020589406906494315,0.02051392291658699,6.359597213089799e-05,0.0,0.1505,0.012436837398727304
42,24,18027,120,0,0.001162664204477486,2e-08,0.001118053009587105,0.0,0.0097,0.01232705141581429
42,24,18029,120,0,0.0002375895889267044,0.000176181551743046,5.802278128696185e-05,0.0,0.0171,0.009910685010254383
42,24,18033,120,0,0.0016475448519668661,0.0016460257881073114,0.0,0.0,0.026,0.0021537065757399653
42,24,18035,120,0,0.000445386728039593,0.0004435254660766287,0.0,0.0,0.0168,0.0055917841964401305
42,24,18037,120,0,0.0008278352822012401,0.00021977000000000002,0.0005843359077695865,0.0,0.014,0.0
42,24,18039,120,0,0.00022074810862631844,6.904210339290193e-06,0.00020420073080981908,0.0,0.0057,0.004548097348572413
42,24,18041,120,0,0.004006535152120877,0.003997587784069978,0.0,0.0,0.0297,0.006058502708009743
42,24,18043,120,0,0.0006906714963503577,4.69733937057283e-05,0.0006373750374575212,0.0,0.0152,0.011022844351828098
42,24,18045,120,2,0.0013423535963751271,5.369999999999999e-06,0.0012900175993972984,0.0002644616962042618,0.0109,0.02124308649244503
42,24,18047,120,0,0.0013865800222510073,0.0008462222498791391,0.0005220362529954697,0.0,0.0319,0.017531520919874314
42,24,18051,120,0,0.0002185078913593519,0.0001678104788303157,3.677502467209519e-05,0.0,0.0173,0.008112707792315633
42,24,18059,120,0,0.00015297778062489827,0.00010111950629455927,4.9208068867508844e-05,0.0,0.0138,0.0048971602436166444
42,24,18061,120,0,0.001929539085597085,0.0015505871602763356,0.0003769062172109209,0.0,0.038,0.019527929439778872
42,24,18065,120,0,0.0006250045944550261,0.0005747830779798999,4.936405450949514e-05,0.0,0.019,0.00361033880480467
42,24,18067,120,0,0.00037510966779991025,0.00034150218165405306,2.6376340380894666e-05,0.0,0.0149,0.0026733684271574797
42,24,18069,120,0,8.855623809070763e-05,5.029546658758871e-05,3.458583953537449e-05,0.0,0.0062,0.0025107914669206368
42,24,18071,120,4,0.004691952467340328,1.8000000000000002e-07,0.004688434594098419,0.0015497314850466937,0.0101,0.0290416210795856
42,24,18073,120,0,0.0012571064389574151,8.799999999999999e-07,0.001212300175707414,0.0,0.0007,0.007559599484073797
42,24,18077,120,0,0.003048613116111507,0.002787872452493873,0.00025762011183458723,0.0,0.0343,0.007854591123759747
42,24,18083,120,0,0.000956796949109181,8.380733614023653e-06,0.0009385702749678048,0.0,0.0083,0.017874937690472048
42,24,18085,120,0,0.00022534762135585388,4.806e-05,0.00015795696299635259,0.0,0.0035,0.0
42,24,18087,120,0,0.0003188005534398815,0.0,0.00019183289926613754,0.0,0.0048,0.012091758642828403
42,24,18089,120,0,0.0003714411472905668,1e-07,0.00033346895303641743,0.0,0.0019,0.0078481025993824
42,24,18091,120,0,0.00019166207448353557,0.00014746461850333967,4.042609280111167e-05,0.0,0.0089,0.0029816999553564836
42,24,18093,120,1,0.008550507920392086,0.008463699306805175,7.923262531471935e-05,0.0006346272167147417,0.0678,0.009731764905154705
42,24,18095,120,0,0.00020133704120371698,0.00017944532732318405,1.621954173336254e-05,0.0,0.0148,0.005928835341133589
42,24,18097,120,0,3.3230371086790614e-05,1.3932106030511145e-05,1.659556661252557e-05,0.0,0.0061,0.0041627366471322326
42,24,18099,120,0,0.011009389458834416,0.010853724232640565,0.0001390948810770509,0.0,0.0642,0.0
42,24,18101,120,0,0.001394700549951076,0.0009534844229227793,0.00040464068631774857,0.0,0.0366,0.017468684013371927
42,24,18103,120,0,0.0002479828554594428,2.845439516226553e-05,0.0002107070311201905,0.0,0.0079,0.004549196566064194
42,24,18105,120,0,0.0006865131418768603,0.0006408203840768766,2.8673122798540428e-05,0.0,0.0221,0.009107497369404883
42,24,18107,120,0,0.00012680626537178773,8.558760034487125e-06,0.00010935898563679757,0.0,0.0069,0.006547896556352321
42,24,18109,120,0,0.0012284675387791392,4.5339999999999996e-05,0.001181700946869459,0.0,0.0082,0.01969263795763254
42,24,18111,120,0,0.0012525214603246741,3.9309999999999995e-05,0.0010597707986498227,0.0,0.0172,0.018646310124674267
42,24,18113,120,0,5.998633525041498e-05,3.693623628295387e-05,2.134636852104751e-05,0.0,0.0018,0.0012892800929809709
42,24,18117,120,0,0.024729124595657855,0.024724211432780016,0.0,0.0,0.1209,0.01827401985154625
42,24,18121,120,0,0.08117481600727976,0.08110114799213497,1.47197444601189e-05,0.0,0.1293,0.01192147997082444
42,24,18123,120,3,0.0034250977990630148,4.84e-06,0.0034164975262870514,0.0025806630492976475,0.0043,0.03255862655936225
42,24,18125,120,0,0.0012317271115064627,2.08e-06,0.0012235401839166913,0.0,0.0167,0.022935761138796806
42,24,18127,120,0,0.00040146883694337727,1.5000000000000002e-07,0.00036623169580803517,0.0,0.0025,0.0077015704491543106
42,24,18129,120,0,0.00021448507905622938,8.088473188772858e-05,8.687776243439101e-05,0.0,0.0109,0.007816252650241776
42,24,18131,120,0,0.04522118775350725,0.045086404662309246,0.00010292697780779793,0.0,0.1129,0.004090184578672052
42,24,18133,120,0,0.00013907247842371868,0.00010549346402414201,5.130489942134081e-06,0.0,0.0178,0.015834070138681385
42,24,18135,120,0,0.0003347849237652357,6.335715347420327e-05,0.0002638430892242862,0.0,0.0057,0.0013578422167561117
42,24,18137,120,0,0.0016195357710749388,0.0013413862984074784,0.0002756497591939838,0.0,0.0308,0.012410160293802621
42,24,18139,120,0,0.0012293802941397533,0.001174918957761576,2.146280776693918e-05,0.0,0.0345,0.004390598443569616
42,24,18141,120,0,0.00022009637983789787,6.7950516779421474e-06,0.00020407641680862638,0.0,0.0051,0.004744359762659027
42,24,18143,120,0,0.0015872074614410744,0.001344818454554586,0.00023745184376883487,0.0,0.0249,0.01560916769469324
42,24,18145,120,0,0.00023126167242855798,0.00022611157254823103,1.116091891876814e-07,0.0,0.0122,0.0025554647752407816
42,24,18147,120,0,0.00024595243622868985,1e-08,0.00022614909140540566,0.0,0.0084,0.01307387359564249
42,24,18149,120,0,0.001394897165492061,3.4509947499044675e-05,0.0012192571333297035,0.0,0.0121,0.011625627987086773
42,24,18151,120,0,0.015259614516617549,0.01525484199338661,0.0,0.0,0.0377,0.0034261792827045023
42,24,18153,120,0,0.0003622645885188044,0.0001173984656548114,0.00024097012744340757,0.0,0.017,0.013665157789364456
42,24,18155,120,0,0.0004166007301502439,6.1e-06,0.0004027857210311632,0.0,0.0042,0.004248323786305263
42,24,18157,120,0,7.536399449524422e-05,3.7e-07,7.12239933326397e-05,0.0,0.0033,0.00434646833085637
42,24,18159,120,0,0.0020641679076197515,0.001791610717691569,0.00018275779690758444,0.0,0.0417,0.004689288809533128
42,24,18161,120,0,0.0005198872185399879,1.12949074547106e-05,0.00048511627539699173,0.0,0.0125,0.01049815062533936
42,24,18163,120,0,3.223732712057653e-05,7.501996533804395e-06,2.182783764049745e-05,0.0,0.0074,0.006341191339304911
42,24,18165,120,0,0.025244303245109297,0.024161604838324312,0.0010805613962762016,0.0,0.1147,0.011216573417186737
42,24,18167,120,0,0.00020964926018729774,0.00017727910936260675,2.588618354179953e-05,0.0,0.0155,0.006270193773130607
42,24,18169,120,0,0.0002423047612466013,0.0001958234324081287,3.43379702941815e-05,0.0,0.0108,0.0019104492384940386
42,24,18171,120,0,0.0017389188153473965,0.0008233427180397379,0.000892346580599452,0.0,0.0283,0.004374406766146421
42,24,18173,120,0,0.0002635339238291573,3.469654729014183e-05,0.0002157731274556267,0.0,0.0161,0.012582599185407162
42,24,18175,120,6,0.0017595578834931863,0.0008805352277315983,0.0008714171154330662,0.0006661486863002779,0.0447,0.02839631047381273
42,24,18177,120,0,0.00030201088281488973,5.219999999999999e-06,0.0002949858061449276,0.0,0.004,0.007256839674664662
42,24,18179,120,0,0.002807227757984876,0.0026692584146356447,0.00013012533729950233,0.0,0.0362,0.004938515834510326
42,24,18181,120,0,0.0002938256591402814,1.085700618984128e-05,0.0002732714038588941,0.0,0.0027,0.001556032570078969
42,24,18183,120,0,0.0011808914318724383,0.001138714282814762,3.777875563852818e-05,0.0,0.0253,0.002474413677759878
42,24,39017,120,0,6.834091395473785e-05,4.9966188689901556e-05,1.799243297482674e-05,0.0,0.007,0.0035830993369508246
42,24,39023,120,0,0.00013939155388905907,3.404796803468291e-05,7.137275474589457e-05,0.0,0.0083,0.01232537673749903
42,24,39025,120,0,0.0003889505915758274,0.00034506026149137007,4.316051388170933e-05,0.0,0.0154,0.007432875932760451
42,24,39027,120,0,0.0001629930201031805,1.6433130892482586e-05,0.00013243799680238405,0.0,0.0076,0.007461696059908718
42,24,39029,120,12,0.0011325668518436696,0.0003569478442849382,0.0007631959986826632,1.330879574662556e-05,0.0251,0.026948146091101716
42,24,39031,120,38,0.014703876941601949,0.001856543209728597,0.009017220062740482,0.014314763602524452,0.1096,0.12068035433293223
42,24,39033,120,0,0.0007074449040603652,8.538616843781225e-08,0.0006887369006936821,0.0,0.0112,0.009968947378071007
42,24,39035,120,0,0.004280639265194112,0.004279419265194112,0.0,0.0,0.0308,0.006272422551137015
42,24,39037,120,0,0.00010648409914780313,5e-08,9.75534681158669e-05,0.0,0.0015,0.006968268529004229
42,24,39039,120,0,0.002671696950280393,0.002653370180068284,6.742392969887458e-08,0.0,0.0221,0.004607584327459335
42,24,39045,120,0,0.0007231997935580633,2.9995085896102036e-05,0.0006791138538988994,0.0,0.0067,0.0012250688275363161
42,24,39049,120,0,0.0002829210982452543,9.590178896063726e-05,0.00017305823670867875,0.0,0.0138,0.008916410617530346
42,24,39051,120,0,0.000394668377460883,0.00014459519710696356,0.00024547016561612896,0.0,0.0124,0.005533409661644998
42,24,39053,120,0,0.0010901802146588997,0.001030244936722201,4.9533322124286624e-05,0.0,0.0181,0.0
42,24,39055,120,20,0.0013292012161682802,0.0012590119223786845,2.650161184312563e-06,0.00021535655660242427,0.0495,0.041111203588661736
42,24,39059,120,40,0.01912091863315322,0.018984819868362153,3.7699441794555007e-05,0.019022082375914497,0.1423,0.10121401897562639
42,24,39061,120,0,0.00029465343038184,1.4300000000000003e-06,0.00029162220150126333,0.0,0.0019,0.005979769619629073
42,24,39063,120,0,0.00038184192937877284,3.5000000000000004e-07,0.00031664000480780685,0.0,0.0011,0.003952419285927782
42,24,39065,120,0,0.00018636202745423255,7.600000000000001e-07,0.00014968688364709398,0.0,0.0013,0.004369410360231996
42,24,39069,120,0,0.0008339325658835543,0.0008293533226195191,0.0,0.0,0.0239,0.003097370674051821
42,24,39073,120,0,0.0010051996072838864,8.481378463706488e-05,0.0008537534780172621,0.0,0.0112,0.005200966776046174
42,24,39075,120,40,0.008309315704095155,0.006570403466775355,0.000675158056861565,0.008114146831058322,0.1398,0.11297598002551676
42,24,39077,120,0,0.001221087141982369,2.32431560330798e-05,0.001190623856327497,0.0,0.0151,0.015264159068465233
42,24,39081,120,13,0.004170346496473886,0.0038729933275734735,0.0002572373152042488,0.0036738463663275765,0.0615,0.04467584289232036
42,24,39085,120,0,0.0006294575381895226,0.000590607582656062,3.32701383688257e-05,0.0,0.0147,0.007866043812828138
42,24,39087,120,0,0.001845201230914785,0.0016356414594840445,0.00019467088395820403,0.0,0.0297,0.002614203042846278
42,24,39089,120,10,0.0034109793387952746,0.0033959167761288102,0.0,0.001633801461238147,0.0505,0.03767208009958267
42,24,39091,120,17,0.016011072963925566,0.0,0.01599688209597941,0.008144000596581703,0.0101,0.04382538720557659
42,24,39093,120,0,0.0001630682466723223,0.00015452656492157403,0.0,0.0,0.0124,0.007442833162002511
42,24,39095,120,0,0.00017919517257205804,0.00016247302448730005,5.306452930590767e-06,0.0,0.0069,0.001698724532252527
42,24,39097,120,0,0.0006486498825877589,0.0005715669584740766,1.6939837485544233e-05,0.0,0.0212,0.0028757423527623616
42,24,39099,120,0,0.00011634137466591223,2.93553476947664e-06,0.00010076772648337559,0.0,0.0048,0.0034010942293067692
42,24,39101,120,0,0.004114130348208031,0.004111533648247499,0.0,0.0,0.0318,0.006386199150848378
42,24,39103,120,0,0.0011716217977462576,0.00028533223841863825,0.0008757148893639704,0.0,0.0211,0.008239564055327806
42,24,39105,120,0,0.0012876705313738044,0.0011493463645483248,0.00012139839515110871,0.0,0.0202,0.010216331109404564
42,24,39107,120,14,0.009930945716761258,6.9e-07,0.009837004416366342,0.004227616248949281,0.0173,0.04025901481509209
42,24,39109,120,0,0.00034545403867258334,8.328296303695822e-06,0.00033303100248610086,0.0,0.004,0.00690504788653925
42,24,39111,120,10,0.0074273354146968205,0.00039125226007590366,0.007022574605822988,0.005334860195425696,0.0184,0.010347960994557065
42,24,39113,120,0,0.00020783057813817074,0.00019164194640177394,5.507080108282947e-07,0.0,0.0089,0.0024535785050829872
42,24,39115,120,0,0.14283728216094171,0.14276002438813534,3.2611363001762455e-05,0.0,0.3277,0.0
42,24,39117,120,41,0.01281532974964034,0.00781276426324414,0.0,0.010628305804606658,0.1347,0.09027171064381857
42,24,39119,120,40,0.08123789220456507,2.6e-07,0.07617384087739099,0.08075179246792023,0.0411,0.1026641649965477
42,24,39121,120,0,0.005765475756930864,0.005731007865072648,0.0,0.0,0.0374,0.02035367778528967
42,24,39123,120,0,0.0002271496809589507,0.00019526996224473347,2.5577169882074116e-05,0.0,0.0146,0.001292068870679941
42,24,39125,120,0,0.016947494318588618,0.01650656747482993,0.00040609460039986087,0.0,0.0901,0.012500552705023439
42,24,39127,120,10,0.006645801223365944,0.0,0.006510583838117509,0.0038238270844811566,0.0081,0.04304088801270097
42,24,39129,120,0,2.394187477698067e-05,1.9692230321141415e-05,3.2095222372112157e-06,0.0,0.0054,0.003144275767714762
42,24,39131,120,0,0.004234958984356392,0.004178500488491222,5.161118678757923e-05,0.0,0.03,0.002261777431075788
42,24,39133,120,0,0.002301596076208677,0.002283109181750929,9.962404868112588e-06,0.0,0.0231,0.01105213599948911
42,24,39135,120,0,0.004443863259516094,0.004443250435912866,0.0,0.0,0.0205,0.004156293526808201
42,24,39137,120,0,0.0012011740116522856,2.711571445592329e-05,0.0011281523196384597,0.0,0.0096,0.016393611843470393
42,24,39139,120,0,0.016632619974382683,0.016632619974382683,0.0,0.0,0.0576,0.008306441095508916
42,24,39141,120,0,0.0002988729297273606,4.8709370678227385e-06,0.0002814716922611027,0.0,0.0048,0.005271371638766312
42,24,39143,120,0,8.183211590734486e-05,1.475421062987855e-05,6.431801020717216e-05,0.0,0.0044,0.0028401607510492757
42,24,39145,120,0,0.00017699876230552381,2.7911747269777484e-05,0.0001402293248498779,0.0,0.0044,0.0027416160388384014
42,24,39147,120,0,0.0002716968370025548,2.6999999999999996e-07,0.00026893383459876164,0.0,0.0073,0.03041172973671094
42,24,39149,120,24,0.020787502386005192,0.0021333606886812175,0.01865290919569376,0.010961377241298866,0.0494,0.0062358137308700405
42,24,39151,120,0,0.0002833747173848318,0.00027624744014826845,1.5422149791865686e-06,0.0,0.015,0.010392225686284368
42,24,39153,120,0,0.00020012047780401532,2.4279705500268752e-05,0.00016978874560804696,0.0,0.0095,0.008523531240643934
42,24,39155,120,0,0.002330998140214485,0.0023218798355575973,1.3461483297739075e-07,0.0,0.0483,0.005252632405608892
42,24,39157,120,17,0.06530160337310773,0.06529931337310771,0.0,0.028250378495154115,0.0853,0.06818316675813163
42,24,39159,120,0,0.0005958422909907954,6.7699999999999996e-06,0.00015694856994612815,0.0,0.0114,0.016249388592105073
42,24,39161,120,0,0.0014707373573379836,0.0006856002069125775,0.0007752830360328717,0.0,0.0244,0.0069104411340575244
42,24,39163,120,0,0.0009264434047939709,0.00037350418545804056,0.0005059721510213914,0.0,0.02,0.01402320386057559
42,24,39165,120,0,0.0001281734109718619,3.7305423238934415e-05,8.316150184437263e-05,0.0,0.0043,0.005045182106870644
42,24,39167,120,0,0.001202699598103963,0.001138487927691236,6.0489294235634795e-05,0.0,0.0236,0.003920774441212416
42,24,39169,120,0,0.000716041992640274,0.0006665660798706404,1.9681259220781545e-05,0.0,0.0221,0.017939356649367254
42,24,39171,120,0,0.0030054953473484546,2.5000000000000004e-07,0.0030023130965040373,0.0,0.0018,0.01579291666009752
42,24,39173,120,0,0.0006322485703469068,4e-08,0.0006118920607125912,0.0,0.0057,0.00920902402255928
42,24,39175,120,0,0.0013719945355902402,2.8752828269346212e-06,0.0013237150058148163,0.0,0.0132,0.019641502809179343
42,24,42005,120,0,0.009390724609405678,0.00938508836884967,0.0,0.0,0.0467,0.0210821309994292
42,24,42007,120,12,0.0029371311022986894,0.002930336000099101,0.0,0.00019316344115058754,0.041,0.03402058671110029
42,24,42009,120,0,0.0010720978608758764,1.6e-07,0.001050988333740956,0.0,0.0013,0.00930799186080908
42,24,42013,120,0,0.00011934308354791908,1.2e-07,0.00010038160462972503,0.0,0.0008,0.0014420791256365968
42,24,42015,120,0,0.001499005393755992,0.001308616903057495,0.0001787863271117381,0.0,0.0138,0.002412425761576742
42,24,42019,120,0,0.0008147140035204021,0.0005945803809666114,3.180539332527583e-06,0.0,0.0279,0.028587657194982182
42,24,42021,120,0,0.0017626762504708965,0.001664954079293088,7.498862816881092e-05,0.0,0.036,0.011557768581681206
42,24,42023,120,1,0.008569663950997692,0.005950127867407855,0.0025280961236572356,0.000259870250884647,0.0729,0.017908655312918537
42,24,42025,120,0,4.667907110083546e-05,3.600342370779416e-05,0.0,0.0,0.0079,0.0035035356754272388
42,24,42027,120,0,0.00019800161756084743,0.00017354967006348622,1.212127500775092e-05,0.0,0.0069,0.002863227449192094
42,24,42029,120,0,0.01677610070967131,0.01677353608438935,0.0,0.0,0.0571,0.006775721907615662
42,24,42031,120,0,0.0018893504125225668,0.00013144748768735884,0.0017284044325289027,0.0,0.0177,0.017782752447030835
42,24,42033,120,0,0.001044978229969725,0.0006958860373775367,0.0003027772118390725,0.0,0.021,0.017486352141847978
42,24,42035,120,0,0.00421812595359723,2.63e-06,0.004181388250572725,0.0,0.0011,0.004651933669347618
42,24,42039,120,0,0.012951582983631617,0.0129385990842822,0.0,0.0,0.0635,0.014392976069521557
42,24,42041,120,0,0.0005635601813556461,3.900000000000001e-07,0.0005608841158439763,0.0,0.0074,0.010345281449987228
42,24,42043,120,0,0.00016963204153562942,2.086340342379037e-05,0.00012339995336622852,0.0,0.0105,0.009038981384946227
42,24,42045,120,0,0.0006530128264039901,7.6e-07,0.0006490349992806924,0.0,0.003,0.013888291083276272
42,24,42047,120,0,0.020387805027762825,0.02011340527403787,0.00019626754056126033,0.0,0.0673,0.004268363146583138
42,24,42049,120,0,0.00627657650218186,0.006037992980901754,0.00023541637347301915,0.0,0.0468,0.01623913202724988
42,24,42051,120,0,0.0011165561005773979,2.7120000000000005e-05,0.0010812584171500095,0.0,0.004,0.009130058269045017
42,24,42053,120,6,0.008434788554969354,0.005521983797717506,0.0028032671392454267,0.0007793008973852698,0.075,0.022576572373509407
42,24,42055,120,0,6.861306896221817e-05,1.2973376707813571e-05,3.864875082845303e-05,0.0,0.006,0.005419763043477611
42,24,42057,120,0,0.0008698706659181161,1.76886990833324e-05,0.0007087841099992844,0.0,0.0025,0.0022925236284684833
42,24,42059,120,0,0.017413227438704985,0.01739346932180103,1.0127010393109687e-05,0.0,0.0341,0.0021429408642453605
42,24,42061,120,0,5.250757145651101e-05,6.518306476301247e-06,9.566083890104456e-06,0.0,0.0044,0.0026621861997084962
42,24,42063,120,0,0.0027065712568102576,0.002348489324640841,0.00028422103254801683,0.0,0.0402,0.020517223755050735
42,24,42065,120,0,0.001382845701609558,0.0010822475581242213,0.00029137514689893347,0.0,0.031,0.010915366932749748
42,24,42067,120,0,0.0004665567288083967,0.00012700000000000002,0.00033373056851676206,0.0,0.0054,0.0
42,24,42069,120,0,2.251559536985119e-05,4.360490406997922e-06,3.4370230138048124e-06,0.0,0.0042,0.0024263644270270924
42,24,42075,120,0,0.005501408307497468,0.00550103969487572,0.0,0.0,0.028,0.001427919072020247
42,24,42077,120,0,0.0013105560011371755,0.0012261886123963118,4.046997389273277e-05,0.0,0.0382,0.019562734997353396
42,24,42079,120,0,0.0008400106554274005,7e-08,0.0008178601610721506,0.0,0.0042,0.010386946611106396
42,24,42081,120,0,0.00027681762680513053,3.2e-07,0.00025586260088804926,0.0,0.0041,0.00712253013625741
42,24,42083,120,4,0.001975783894432699,0.0003701504657714261,0.0013715088774604643,0.0002064478345274286,0.0342,0.019076049032270847
42,24,42085,120,0,0.0003975151533372582,0.00024373240613015373,0.00011654956970216268,0.0,0.0149,0.005186915921923537
42,24,42089,120,0,0.0034731891432210017,0.003455877824865492,1.0845314206949901e-05,0.0,0.0286,0.007133882492780685
42,24,42091,120,0,0.001027109244936183,0.0010104145742223147,8.050360190117045e-06,0.0,0.0239,0.014007853861887078
42,24,42095,120,0,0.0018678383642691948,0.0018183459266606478,2.7501017265353447e-05,0.0,0.0386,0.014824978700192224
42,24,42097,120,0,0.0006241185868989634,6.64536014021866e-05,0.0005492275323276952,0.0,0.0046,0.0011298467144762784
42,24,42101,120,0,0.0028879476277364744,1.5899999999999996e-06,0.0028779242187015972,0.0,0.0009,0.019218924015170554
42,24,42103,120,0,0.0011380713375059215,0.0010626040131142698,6.871821037565616e-05,0.0,0.0243,0.011353046587307163
42,24,42109,120,0,0.005342935809497785,0.0053120542308404935,2.2236628194924094e-05,0.0,0.0505,0.005490396171808243
42,24,42113,120,0,0.001985531153805794,0.00039501978367213183,0.0015874015076710714,0.0,0.024,0.006011597628648907
42,24,42115,120,0,0.0023029888693486284,0.002293949236677375,3.4158347016732713e-06,0.0,0.0337,0.0
42,24,42119,120,0,0.001478601580745398,7.8e-06,0.0014694717614262807,0.0,0.0017,0.001480774835362358
42,24,42121,120,0,0.001049820453429903,0.000972139331758322,6.020710643360153e-05,0.0,0.0201,0.010531451566316002
42,24,42125,120,16,0.0027067066843589086,0.00011719325626443795,0.0025581102682101786,0.0022940278311530398,0.0232,0.026062819652725014
42,24,42127,120,0,0.0007656147424406285,0.0007411351947453745,5.442716443811322e-06,0.0,0.0252,0.009582164373002354
42,24,42129,120,0,0.0003941655572971075,0.00036715833943988876,1.5551594534488763e-05,0.0,0.02,0.01199175035139393
42,24,42131,120,0,0.0009553810008858547,0.0009446419207402831,8.675640680909434e-06,0.0,0.0162,0.0023271066098886385
42,24,42133,120,0,0.0006188538372025295,1.2747150275544262e-05,0.0006031819756268964,0.0,0.0036,0.011483538433221448
42,24,54007,120,12,0.06696516132381293,0.06672882487720279,0.00021934337087416974,0.04131321757262028,0.1154,0.03452010771323031
42,24,54009,120,12,0.001708563444580705,5.8e-07,0.0016359463322043032,5.781020807377574e-05,0.0407,0.04989520116065353
42,24,54013,120,22,0.25775314105536484,0.25752060706832297,0.00022250755196426183,0.22353108587156365,0.191,0.043713260510804014
42,24,54015,120,27,0.3041491328661004,0.3029861312163183,0.0011088289336453098,0.24619306817073286,0.1817,0.049614390425183834
42,24,54019,120,0,0.004548193051665154,0.004341110550174834,0.00020272102637292283,0.0,0.0355,0.007700751535594463
42,24,54023,120,0,8.98135016796887e-05,4.53e-06,3.224894439908935e-05,0.0,0.0017,0.0022270084622200703
42,24,54025,120,0,0.00026472707088337857,5.819999999999999e-06,0.0002494314079101108,0.0,0.0014,0.001559886964969337
42,24,54027,120,0,9.633686364600327e-05,3.233999999999999e-05,5.178638899866791e-05,0.0,0.0036,0.0017490547085325992
42,24,54029,120,11,0.0014789864031598571,0.0,0.0014696952579986038,6.249604943311421e-06,0.031,0.036522987344142166
42,24,54031,120,0,0.00028897943532248165,3.0000000000000004e-08,0.00024706216646338717,0.0,0.0016,0.008711035214946606
