space,horizon,comparison,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
raw_D1,osi_target_t01h,G_minus_B,all_counties,34177,0.0163294826267756,0.005200667214711284,9.113365501683543,1.803971258607693e-05,0.01598856362271889,0.005156351910600098,8.736808915911855,4.016593693561431e-05,-0.0003409190040567084,-2.087751411656491,0.37655658577168793,761,239,2000,20260910,-0.000961984467833175,-7.0585509604501815e-06,0.9815,0.0
raw_D1,osi_target_t01h,G_minus_B,exclude_Morrow_diagnostic_only,34034,0.01563878798138818,0.005094580291789859,8.323752881355498,0.00010639198401234069,0.015554494944918899,0.005068546444606522,8.234264680352968,0.00011014352000645965,-8.429303646928163e-05,-0.5389998033709431,0.08948820100252952,757,238,2000,20260910,-0.00019377687425597813,1.7637368785796193e-05,0.9465,0.0
raw_D1,osi_target_t01h,G_minus_A,all_counties,34177,0.016414137704847488,0.005210192178050882,9.208101197422746,8.514749031910849e-06,0.01598856362271889,0.005156351910600098,8.736808915911855,4.016593693561431e-05,-0.00042557408212859707,-2.5927288401078497,0.4712922815108911,784,239,2000,20260910,-0.0012334721914484255,-9.008518254491443e-06,0.985,0.0
raw_D1,osi_target_t01h,G_minus_A,exclude_Morrow_diagnostic_only,34034,0.015640704672539352,0.005099954282799561,8.325793326072427,0.00010101799278716835,0.015554494944918899,0.005068546444606522,8.234264680352968,0.00011014352000645965,-8.620972762045376e-05,-0.5511882579805616,0.09152864571945862,780,238,2000,20260910,-0.0001965331853552237,1.5525053378744988e-05,0.9525,0.0
raw_D1,osi_target_t01h,G_minus_C,all_counties,34177,0.016214526977589912,0.005206117393301599,8.985505320301634,-9.381187769767311e-05,0.01598856362271889,0.005156351910600098,8.736808915911855,4.016593693561431e-05,-0.00022596335487102062,-1.3935858578133287,0.24869640438977925,30278,239,2000,20260910,-0.0007106881679243559,0.00013720986862655665,0.861,0.0
raw_D1,osi_target_t01h,G_minus_C,exclude_Morrow_diagnostic_only,34034,0.015604155579480673,0.005097954597168522,8.28692747467954,6.486564524999263e-06,0.015554494944918899,0.005068546444606522,8.234264680352968,0.00011014352000645965,-4.9660634561774636e-05,-0.3182526238528327,0.05266279432657228,30139,238,2000,20260910,-0.00033643470425924504,0.00019852239522681243,0.6545,0.0
aligned_D1,osi_target_t01h,G_minus_B,all_counties,34177,0.016390968965063528,0.005181320825802908,9.182124866724596,4.5037798218564206e-05,0.016051355938774752,0.005137005521691722,8.805568280952908,6.716402256810168e-05,-0.00033961302628877574,-2.0719521037020017,0.37655658577168793,761,239,2000,20260910,-0.0009436868056524625,-7.031796378463247e-06,0.9815,0.0
aligned_D1,osi_target_t01h,G_minus_B,exclude_Morrow_diagnostic_only,34034,0.015668660918990114,0.005071853361951024,8.355583025595603,0.00015391175124944466,0.015584529459017504,0.005045819514767686,8.266094824593075,0.00015766328724356384,-8.413145997260979e-05,-0.5369409703074535,0.08948820100252775,757,238,2000,20260910,-0.0001925678812829621,1.744052706815351e-05,0.9465,0.0
aligned_D1,osi_target_t01h,G_minus_A,all_counties,34177,0.016475308110903586,0.005190845789142505,9.276860562463797,3.551283466439818e-05,0.016051355938774752,0.005137005521691722,8.805568280952908,6.716402256810168e-05,-0.00042395217212883377,-2.57325792801566,0.4712922815108893,784,239,2000,20260910,-0.0012147950902603123,-8.81474632765493e-06,0.985,0.0
aligned_D1,osi_target_t01h,G_minus_A,exclude_Morrow_diagnostic_only,34034,0.01567057395633839,0.005077227352960725,8.357623470312532,0.00014853776002427235,0.015584529459017504,0.005045819514767686,8.266094824593075,0.00015766328724356384,-8.604449732088626e-05,-0.5490832534955303,0.09152864571945685,780,238,2000,20260910,-0.00019380412703518752,1.5328322551035204e-05,0.9525,0.0
aligned_D1,osi_target_t01h,G_minus_C,all_counties,34177,0.01618913731906255,0.0051639256238974985,8.957387288188745,-2.922805587409843e-07,0.016051355938774752,0.005137005521691722,8.805568280952908,6.716402256810168e-05,-0.0001377813802877978,-0.8510730224368546,0.15181900723583652,30278,239,2000,20260910,-0.0004281757716231468,6.154778399529816e-05,0.877,0.0
aligned_D1,osi_target_t01h,G_minus_C,exclude_Morrow_diagnostic_only,34034,0.015613973999474177,0.005061103442870997,8.297359328170604,0.00010449335892133288,0.015584529459017504,0.005045819514767686,8.266094824593075,0.00015766328724356384,-2.944454045667247e-05,-0.18857813172780125,0.0312645035775283,30139,238,2000,20260910,-0.000165082337816831,8.936324309466707e-05,0.69,0.0
