comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
G_minus_B,osi_target_t01h,v18_rule,39117,Morrow County,1,143,0.044982534937451434,0.018438474467254298,0.2893502682640625,-0.014972971822860087,0.039918943252115674,0.017339648954019522,0.22787365034228532,-0.013874146309625312,-0.00506359168533576,-11.256794870224018,0.061476617921777194,4,0.6522852714489853
G_minus_B,osi_target_t01h,v18_rule,42053,Forest County,2,143,0.09794362810702269,0.03559066246564284,1.3717924630076475,-0.03104579184728525,0.0975933609333586,0.03554693820586185,1.361998366052439,-0.031002067587504258,-0.00035026717366408444,-0.3576211954098185,0.009794096955208387,4,0.10391829295415313
G_minus_B,osi_target_t01h,v18_rule,39075,Holmes County,2,143,0.02171365845480102,0.01132634593594833,0.0674220637793205,-0.010081717626274925,0.02008117334027783,0.010759827278725573,0.05766525374928677,-0.009515198969052166,-0.001632485114523189,-7.518240732769,0.00975681003003373,4,0.10352266754515622
G_minus_B,osi_target_t01h,v18_rule,39149,Shelby County,0,143,0.01468038834296797,0.006503405194392366,0.030818473671750033,0.004402193514790868,0.01341472189729098,0.006201828445082241,0.02573353119217711,0.0041006167654807435,-0.0012656664456769905,-8.621477961672962,0.005084942479572922,4,0.05395275793816497
G_minus_B,osi_target_t01h,v18_rule,42063,Indiana County,1,143,0.011154565885059699,0.005673453115216241,0.017792680632031686,0.0023160703835835013,0.010268496924687344,0.005446045075188524,0.015078210160200821,0.0020886623435557835,-0.0008860689603723548,-7.943553962589844,0.0027144704718308644,4,0.02880134217551415
G_minus_B,osi_target_t01h,v18_rule,39097,Madison County,0,143,0.011321815293831496,0.004032297882536727,0.018330240721312056,0.0017678810501375463,0.010549235352764648,0.0038686894495865765,0.015913950413506784,0.0016042726171873968,-0.0007725799410668484,-6.8238168616633015,0.0024162903078052723,4,0.025637561606459164
G_minus_B,osi_target_t01h,v18_rule,39091,Logan County,4,143,0.013642343864134003,0.006767397541344957,0.02661423709334028,0.006709569521865562,0.013101485127117856,0.00668594477644769,0.02454579449266092,0.006492737434425284,-0.0005408587370161477,-3.964558747401725,0.002068442600679357,4,0.02194679357568953
G_minus_B,osi_target_t01h,v18_rule,42121,Venango County,3,143,0.024797255004486665,0.00942855636354387,0.08793125137332808,-0.007052552793888895,0.024643321312292736,0.009390202938844353,0.08684293979802889,-0.007014199369189381,-0.0001539336921939291,-0.6207690817635947,0.0010883115752991918,4,0.011547310755096664
G_minus_B,osi_target_t01h,v18_rule,39059,Guernsey County,2,143,0.01565860301251052,0.00932340128906514,0.0350624343073867,-0.008083198439137478,0.015429730685015425,0.009063885623264982,0.034044952228731246,-0.007823682773337318,-0.00022887232749509503,-1.461639504572898,0.0010174820786554573,4,0.010795788647884462
G_minus_B,osi_target_t01h,v18_rule,39125,Paulding County,3,143,0.021677196503313404,0.011616283567082528,0.0671958212987866,0.002896481642374092,0.021516958583930233,0.011532803794521082,0.06620606945846737,0.0029799614149355383,-0.00016023791938317086,-0.7392003821097393,0.000989751840319228,4,0.010501562539618266
G_minus_B,osi_target_t01h,v18_rule,42021,Cambria County,3,143,0.009282938000586423,0.0039027060975662066,0.012322730122950596,0.002774818123791929,0.008972747282727922,0.0037968681892413913,0.011512957713357289,0.002668980215467114,-0.0003101907178585002,-3.3415144843034095,0.0008097724095933075,4,0.008591927042498566
G_minus_B,osi_target_t01h,v18_rule,39029,Columbiana County,0,143,0.008486267477371629,0.005007577795685588,0.010298393204741844,0.0042004483015584074,0.008217316793063794,0.004893154592862925,0.009655974224692256,0.0040860250987357445,-0.0002689506843078348,-3.169245902571227,0.0006424189800495889,4,0.006816257187713434
G_minus_B,osi_target_t01h,v18_rule,54029,Hancock County,0,143,0.012663241198460542,0.007363657653313351,0.02293114790400554,0.0025921110090818436,0.01248965328643147,0.007270534440338621,0.02230677580778339,0.002685234222056573,-0.0001735879120290714,-1.370801592645765,0.0006243720962221498,4,0.006624774361980117
G_minus_B,osi_target_t01h,v18_rule,39171,Williams County,1,143,0.009125087243899644,0.005013408852835006,0.011907212060855541,0.004950471789897943,0.00890360996008503,0.004926729613819845,0.011336220655949523,0.004863792550882782,-0.0002214772838146136,-2.4271251100933533,0.0005709914049060183,4,0.006058389289047485
G_minus_B,osi_target_t01h,v18_rule,18149,Starke County,1,143,0.004633141469891682,0.00250281097971342,0.0030696379828442986,0.0021864965042800253,0.004250587404065941,0.0023552831425678127,0.0025836515389833776,0.0020389686671344184,-0.0003825540658257409,-8.25690448504014,0.000485986443860921,4,0.00515646127211651
G_minus_B,osi_target_t01h,v18_rule,54083,Randolph County,4,143,0.010049924818041034,0.007479285270106695,0.014443141405303627,0.007479285270106695,0.009888687698564451,0.007396067933572631,0.013983418649162804,0.007396067933572631,-0.00016123711947658298,-1.6043614494223868,0.0004597227561408228,4,0.004877795703760852
G_minus_B,osi_target_t01h,v18_rule,54103,Wetzel County,1,143,0.010343663774509756,0.006147119550209237,0.015299767380055071,0.004101265194132293,0.010209898681205346,0.006007251020940249,0.01490661044450845,0.003961396664863304,-0.0001337650933044103,-1.2932080568400894,0.0003931569355466215,4,0.00417151247245557
G_minus_B,osi_target_t01h,v18_rule,42065,Jefferson County,0,143,0.012136411691289668,0.005861027452835622,0.021062825889887574,0.004464903488525152,0.012023591202163649,0.005825456013650967,0.02067304459173484,0.004429332049340497,-0.00011282048912601879,-0.9296033456659192,0.0003897812981527339,4,0.0041356959518300054
G_minus_B,osi_target_t01h,v18_rule,39153,Summit County,0,143,0.005877160236275655,0.00281859275297526,0.004939364779328938,0.0026090231237567113,0.005655324572030043,0.0027570024770553333,0.00457352553014597,0.002547432847836785,-0.00022183566424561173,-3.7745383029779145,0.0003658392491829683,4,0.00388166366379556
G_minus_B,osi_target_t01h,v18_rule,39161,Van Wert County,4,143,0.006355093866426415,0.003396372956711981,0.005775372181305961,-0.0013129302284775708,0.006151715830898917,0.003292809844619719,0.005411635895970926,-0.0012093671163853092,-0.0002033780355274982,-3.2002365315472736,0.00036373628533503503,4,0.0038593505894793712
