horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,replicates
1,all,34177,0.010842440597617511,4.017797473543366,0.003230839171954998,-0.00011930306289499328,0.010840689291401098,1.7513062164128262e-06,0.016154934149814615,-0.0012978305682720404,-7.444190084419065e-06,1.1957026513671898e-05,2000
1,test_like,23317,0.011907471674589915,3.3060680371596347,0.003280616519079564,-0.00044361587980691814,0.011906475211728657,9.964628612576382e-07,0.008369083574599756,-0.0005533057332280933,-1.0832872745689983e-05,1.397896027625321e-05,2000
6,all,32982,0.009911048082685387,3.2397847254772048,0.0031041518489261246,-0.00010335530607026019,0.009909062742500467,1.985340184919651e-06,0.020035600101753204,-0.0012978305682720404,-8.434529518642695e-06,1.2956982516027893e-05,2000
6,test_like,22578,0.0106026722606956,2.5381433284310706,0.0031277534729209013,-0.0003681840907652349,0.01060151652629748,1.1557343981196538e-06,0.010901595024193078,-0.0005533057332285374,-1.21227637541695e-05,1.5358815456596973e-05,2000
24,all,28680,0.008445786144358721,2.0457817871402137,0.0027925226949120662,-6.74769861212298e-05,0.008434736596420678,1.1049547938042983e-05,0.13100050975785038,-0.005349455125582825,-3.7749246137879115e-05,6.419235674878187e-05,2000
24,test_like,19752,0.008737734602352259,1.5080258141395562,0.002793954435078046,-0.00027176371405679276,0.008729226744593158,8.507857759101206e-06,0.09746404816866061,-0.002935274059659987,-5.435179579774661e-05,7.846989794750392e-05,2000
48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0
48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0
