feature,is_new,total_gain,total_splits,share_total_gain_pct
gust_mean_next_6h,False,0.27709608132136054,134,0.1017240084423075
gust_mean_obs,False,0.6654796056973282,230,0.24430245532642272
gust_peak4h_mean_next_1h,False,0.045366382895736024,17,0.01665433265846427
gust_peak4h_mean_next_24h,False,1.360319260173128,432,0.49938320039106837
gust_peak4h_mean_next_48h,False,0.9683440269727726,306,0.35548621079414366
gust_peak4h_mean_next_6h,False,0.186862072601798,132,0.06859844051294087
gust_t,False,0.059582477872027084,65,0.02187316562964494
gust_trend_last6h_obs,False,0.879515280816122,313,0.32287652508199083
gust_x_hso,False,7.6064060424032505,291,2.7923675743926895
gust_x_phase,False,0.14648667501751333,59,0.053776335252051034
has_high_gust_48h,True,0.0,0,0.0
has_weather_at_t1h,False,0.0,0,0.0
has_weather_at_t24h,False,0.0,0,0.0
has_weather_at_t48h,False,0.0,0,0.0
has_weather_at_t6h,False,0.0,0,0.0
hcc_t,False,0.36413269412878435,66,0.13367578882762512
high_gust_episode_count_48h,True,3.906387835719215,158,1.4340636911381555
hour_cos,False,0.6336588538324577,282,0.23262082339605758
hour_of_day,False,0.23435746628092602,96,0.08603434868077643
hour_sin,False,0.24431124525290215,92,0.08968845411362764
hours_since_last_high_gust,True,0.3199935777083738,205,0.11747199471413647
hours_since_obs,False,23.752619014958327,426,8.71976105068894
hours_since_peak,False,0.617361428165168,227,0.22663791862792923
icing_risk_t,False,0.0,0,0.0
is_full_next_1h,False,0.0,0,0.0
is_full_next_24h,False,0.0,0,0.0
is_full_next_48h,False,0.0,0,0.0
is_full_next_6h,False,0.0,0,0.0
is_metro,False,0.00512736989185214,2,0.001882295179630148
is_snowing,False,0.0,0,0.0
is_worsening,False,0.0008522560237906873,1,0.00031286945143965206
last_D_t,False,4.282784168579383,214,1.5722415518965556
last_N_t,False,1.935237894183956,394,0.7104400572793909
last_P_t,False,7.268294045992661,346,2.668244174980816
last_R_t,False,0.6745070440956624,275,0.2476164943249734
last_osi,False,18.244382208002207,435,6.697646826694535
last_outage_pct,False,0.5972615655191476,58,0.21925911129242687
lcc_t,False,0.07411086700449232,51,0.027206644081294543
log_customers,False,2.657302181905834,895,0.9755151653424471
max_lull_between_episodes_48h,True,1.4718895866244566,689,0.5403414874073454
mcc_t,False,0.3711134103286895,182,0.13623846106126442
min_t2m_next_1h,False,0.17262301417213166,115,0.06337117748921715
min_t2m_next_24h,False,1.9943201644928195,792,0.7321295930354716
min_t2m_next_48h,False,4.210199766857841,384,1.5455952844419865
min_t2m_next_6h,False,0.9449682408885565,326,0.3469047878825052
mslma_t,False,14.708477900363505,327,5.399590362213947
n_utilities,False,0.30081517779035494,133,0.11043146311994208
nbr8_max_gust_at_t24h,False,0.3933671238992247,343,0.1444079629045491
nbr8_max_gust_max_next_6h,False,0.42424540562933544,218,0.1557436071201557
nbr8_max_gust_mean_next_6h,False,0.5194491085567279,252,0.19069358632644212
nbr8_max_gust_t,False,0.3607748812355567,130,0.13244311103056078
nbr8_max_last_D_t,False,1.1523296795712668,167,0.4230286963787276
nbr8_max_last_N_t,False,0.5654646763723576,122,0.2075862395412888
nbr8_max_last_P_t,False,0.7316302398612606,199,0.26858683941466904
nbr8_max_last_R_t,False,0.4894348364759935,142,0.17967512640463096
nbr8_max_osi_trend_last6h,False,0.9163065333268605,227,0.33638286433860787
nbr8_mean_gust_at_t24h,False,0.7741759360214928,316,0.28420567723709217
nbr8_mean_gust_max_next_6h,False,0.3926292467658641,183,0.14413708278460863
nbr8_mean_gust_mean_next_6h,False,0.3054881981588551,151,0.11214696324953463
nbr8_mean_gust_t,False,0.10897054086672142,112,0.04000388661661914
nbr8_mean_last_D_t,False,1.4170182761008618,200,0.5201978259440524
nbr8_mean_last_N_t,False,1.43338847529958,334,0.5262074464105411
nbr8_mean_last_P_t,False,2.269521736052411,334,0.83315811301731
nbr8_mean_last_R_t,False,1.4057865432623657,292,0.5160745742523047
nbr8_mean_osi_trend_last6h,False,1.309214480323135,300,0.4806222600265818
osi_max_72h,False,0.38046094379387796,109,0.13967000931194076
osi_mean_72h,False,0.43098535772878677,153,0.15821789308261286
osi_std_72h,False,0.2136241433545365,63,0.07842299341965621
osi_trend_last6h,False,1.7598060723394156,452,0.6460377458455202
outage_pct_max_72h,False,0.7211567826307146,65,0.26474195627283703
outage_pct_mean_72h,False,0.3617691936669871,86,0.13280813043353032
pct_agriculture,False,0.5345099517871859,201,0.19622253259164243
pct_developed,False,1.1187858871635399,474,0.41071452359866095
pct_forest,False,18.947296013524465,1190,6.95569165196305
pct_forest_classified,False,2.214769324818917,376,0.8130581003574656
pct_unmapped,False,1.7357780662714504,518,0.6372168881832466
pct_water,False,0.8777738659773604,336,0.32223723889318945
pct_wetland,False,2.102456500972039,552,0.771827237089034
pop_density,False,4.215512526861858,832,1.5475456376946324
pre_event_max_outage_pct,False,0.2950494199467357,210,0.10831481103029952
pre_event_mean_osi,False,0.624446528905537,346,0.22923891119372458
pressure_change_3h,False,0.3200786690431414,159,0.11750323236865325
pressure_change_6h,False,1.0030260655257734,292,0.3682182421016176
r2_t,False,0.17623282694694353,188,0.06469636629531307
rain_t,False,0.22299861141073052,42,0.08186442955669229
recent6_exposure_fraction,True,2.8850434093765216,670,1.0591206441186778
rural_urban_code,False,0.4937284295010613,175,0.1812513359672025
sdswrf_t,False,0.21982058424327988,125,0.08069775242120186
sdwe_t,False,0.0047429648984689265,9,0.001741177280720457
self_minus_nbr8_mean_gust_at_t24h,False,0.30043227555870544,207,0.11029089689591194
self_minus_nbr8_mean_last_P_t,False,0.9817640267938259,437,0.3604127913815804
soil_gust_x_phase,False,0.3273509715509135,62,0.12017294807942032
soil_moist_t,False,2.202797744801501,671,0.8086632453275704
soil_moist_x_gust,False,0.26685759965039324,120,0.09796538655574961
sp_t,False,2.5765814314654563,508,0.9458819844612514
storm_onset_max_osi,False,0.5711024973716121,80,0.2096559250748755
storm_onset_mean_osi,False,0.9425482115475461,147,0.34601637732129603
storm_phase,False,0.0,0,0.0
t2m_at_t1h,False,0.18561126488930313,136,0.06813925980674398
t2m_at_t24h,False,4.576200392621104,526,1.6799568047041713
t2m_at_t48h,False,3.2635917642255663,586,1.1980885279691427
t2m_at_t6h,False,0.7807636570942122,371,0.28662407807055507
t2m_t,False,0.24558693534345366,131,0.09015676932372449
tcc_t,False,0.07714788248995319,53,0.028321554791721198
temp_c_t,False,0.0368526837482932,34,0.013528891115516766
temp_change_6h,False,0.44030227926850785,270,0.1616382034704157
total_tp_next_1h,False,0.07902529468992725,32,0.029010766611567783
total_tp_next_24h,False,12.6004498602706,821,4.6257177721561344
total_tp_next_48h,False,3.458402411772113,668,1.26960494877588
total_tp_next_6h,False,0.4455623207904864,166,0.16356920338076117
tp_at_t1h,False,0.004048287235491443,10,0.0014861560039256757
tp_at_t24h,False,0.2578520172755816,297,0.09465937106410212
tp_at_t48h,False,0.1707395860357792,142,0.06267975717490169
tp_at_t6h,False,0.31868470819608774,124,0.11699149909441224
tp_rate_next_1h,False,0.0027704309977707453,4,0.0010170455852792208
tp_rate_next_24h,False,8.84737833160034,156,3.2479376243947757
tp_rate_next_48h,False,0.4021118468081113,138,0.14761821496862493
tp_rate_next_6h,False,0.03945086963358335,25,0.014482704253795765
tp_t,False,0.01608778553782031,10,0.0059059443354932475
tree_canopy_pct,False,0.9969475460748072,236,0.3659867729267442
tree_canopy_std,False,1.5288778360554716,402,0.5612622927055979
vpd_t,False,0.33954594085662393,245,0.12464981095922797
wind_change_1h,False,0.06887759750679834,160,0.02528547237787047
wind_cos_t,False,0.3843580791799468,163,0.14110067636079562
wind_sin_t,False,0.8963238574651768,374,0.3290470771330993
wind_speed_at_t1h,False,0.23667966237553628,157,0.08688684393804016
wind_speed_at_t24h,False,0.5472792098007631,354,0.20091022107782022
wind_speed_at_t48h,False,1.1020890687432257,408,0.4045849988148805
wind_speed_at_t6h,False,0.5229876852536108,261,0.19199262384465954
wind_speed_max_next_1h,False,0.34129326645779656,183,0.1252912670323617
wind_speed_max_next_24h,False,1.280936802380893,547,0.4702413165790653
wind_speed_max_next_48h,False,4.117344067504746,342,1.511507274608473
wind_speed_max_next_6h,False,0.8047516789156361,361,0.29543025722199107
wind_speed_t,False,0.19184614574623993,171,0.0704281304031934
window_len_next_1h,False,0.0,0,0.0
window_len_next_24h,False,0.0,0,0.0
window_len_next_48h,False,0.0,0,0.0
window_len_next_6h,False,0.0,0,0.0
