feature,is_new,total_gain,total_splits,share_total_gain_pct
N_t_max_72h,False,0.5364105524422484,128,0.19692025706381502
N_t_mean_72h,False,0.5914660111666308,162,0.21713152068532787
R_t_max_72h,False,0.7261721211762051,312,0.2665831239216528
R_t_mean_72h,False,0.8095319623898831,226,0.297185134426216
blh_t,False,0.2187767744253506,206,0.08031456216378331
csnow_t,False,0.0014530140033457428,8,0.0005334121220275062
cumul_gust_obs,False,0.04214510734891519,26,0.01547177872497946
cumul_gust_since_onset,False,24.498424967190658,726,8.99355189832355
cumul_tp_since_onset,False,2.0555901379848365,399,0.7546222507123359
d2m_t,False,3.7807520145288436,297,1.387941857604884
days_since_onset,False,0.0022795660188421607,3,0.0008368454430669778
dewpoint_c_t,False,0.7384780302963918,143,0.2711007136228957
diffuse_rad_t,False,0.5434680143589503,209,0.19951110321426363
direct_rad_t,False,0.2516238492098637,153,0.09237296478265623
et0_t,False,0.19394836908759316,165,0.07119987204567238
exposure_decay_24h,True,1.9906071525547304,489,0.7307665190578988
exposure_decay_6h,True,1.7510762782258098,511,0.6428329742519365
exposure_weighted_age_48h,True,1.5192954049707623,605,0.5577445118120157
forest_x_customers,False,0.6254207479869365,164,0.2295965541801875
frac_zero_72h,False,0.6113064925812068,297,0.22441510726400316
gust_at_t1h,False,0.07855519624717999,94,0.028838190017446703
gust_at_t24h,False,0.21073091834841762,256,0.07736086925122884
gust_at_t48h,False,1.2229490938480012,279,0.44895360249728833
gust_at_t6h,False,0.3934415781550342,214,0.14443529560918503
gust_change_1h,False,0.13273664365988225,195,0.04872859766140819
gust_change_3h,False,0.10043679011869244,192,0.0368710839836931
gust_exceed30_x_hso,False,0.047259799772291444,31,0.01734941991273748
gust_exceed_30,False,0.07914740309934132,24,0.029055593506307258
gust_gt30_frac_next_1h,False,0.0,0,0.0
gust_gt30_frac_next_24h,False,0.10460565851826686,28,0.038401506219370114
gust_gt30_frac_next_48h,False,0.06292680892511271,51,0.023100894144085424
gust_gt30_frac_next_6h,False,0.0004846480005653575,2,0.0001779178437528393
gust_gt30_next_1h,False,0.001660109031945467,2,0.0006094382294238301
gust_gt30_next_24h,False,0.46396187820937485,129,0.17032381616809636
gust_gt30_next_48h,False,1.1352680880809203,226,0.41676526071941783
gust_gt30_next_6h,False,0.019606452537118457,9,0.007197672857367085
gust_gt30_obs,False,0.16443574162985897,97,0.06036556955265548
gust_gt30_since_onset,False,1.793005177853047,343,0.6582253815329013
gust_gt40_next_1h,False,0.0,0,0.0
gust_gt40_next_24h,False,0.13019443351367954,38,0.04779533362843715
gust_gt40_next_48h,False,0.03269421019649599,31,0.012002284904873385
gust_gt40_next_6h,False,0.0023069539456628263,2,0.0008468997523370234
gust_gt40_obs,False,0.046242378441093024,39,0.01697591706278493
gust_last_obs,False,1.2417007505355286,335,0.45583747351449366
gust_max_last6h_obs,False,1.2321104298171122,191,0.45231679627837923
gust_max_next_1h,False,0.09342347540223273,75,0.03429644459498835
gust_max_next_24h,False,1.9290569466684246,528,0.7081709860090463
gust_max_next_48h,False,0.7690711373506929,331,0.2823316681186359
gust_max_next_6h,False,0.256657663579972,185,0.09422091504250868
gust_max_obs,False,0.5171673214790644,186,0.18985592551635438
gust_mean_next_1h,False,0.0658258882467635,61,0.02416516747478081
gust_mean_next_24h,False,1.0775486950296909,299,0.39557604722340034
gust_mean_next_48h,False,0.7166567240928998,297,0.2630899517027664
