horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,18013,Brown County,IN,1,143,0.0287353325832989,0.11807786543021033,0.013015094157807508,-0.008802389769658126,0.028703057474194202,3.2275109104699246e-05,0.11244484715162706,-0.0002650977337442656
1,39115,Morgan County,OH,2,143,0.03169196139644137,0.14362639965295476,0.006780987745075447,-0.005087116031489689,0.031686547474853145,5.4139215882251235e-06,0.017085867725175063,-4.906705766929975e-05
1,39117,Morrow County,OH,4,143,0.015525723187270647,0.03446987550974874,0.009738408852938071,-0.0004488800191864514,0.015593940218989697,-6.821703171904989e-05,-0.4374585945634002,0.00030357342239095697
1,39119,Muskingum County,OH,1,143,0.02192148079437232,0.06871883879117893,0.014797545625347136,0.01477097219877371,0.021970577270443388,-4.909647607106646e-05,-0.22346466124545383,0.0003081571891239421
1,42053,Forest County,PA,3,143,0.09427774014718197,1.2710257970781182,0.03396646351312864,-0.026015215025047504,0.09428224787377755,-4.507726595576189e-06,-0.004781097923767241,0.00012154669281927433
1,54007,Braxton County,WV,4,143,0.023861131678697998,0.08141756551330762,0.012421222908488728,-0.01112364535291833,0.023896510925303482,-3.537924660548461e-05,-0.1480519340922748,0.00024161700634264816
1,54013,Calhoun County,WV,2,143,0.04363221931512706,0.2722391904179587,0.021946029350644453,-0.020251645557762935,0.04354624820417804,8.597111094902493e-05,0.19742484024325435,-0.0010717606475960095
1,54015,Clay County,WV,2,143,0.05029113056044598,0.36167528726583875,0.02647665605483458,-0.024024003440737365,0.050379075649942304,-8.794508949632601e-05,-0.17456669929279967,0.0012660433921544145
1,54041,Lewis County,WV,4,143,0.014252596921486203,0.029048522217909187,0.0033125657257581653,-0.002724369314020501,0.014323462381127942,-7.086545964173942e-05,-0.4947509041885678,0.0002895829475438004
1,54087,Roane County,WV,0,143,0.009278661404330734,0.012311378716239,0.003980501400652649,-0.0021865274970900715,0.009062930107034578,0.0002157312972961567,2.3803703079284144,-0.000565830312364889
1,54109,Wyoming County,WV,3,143,0.009221801276619509,0.012160951486320954,0.0055384995997984415,0.005517520578819421,0.009298337940537171,-7.653666391766248e-05,-0.8231219859625938,0.00020269816294897144
6,18013,Brown County,IN,1,138,0.029233550460743156,0.11793486521063265,0.013302775465489821,-0.009305197010072394,0.029200675924885806,3.287453585735026e-05,0.11258142086132406,-0.0002650977337442795
6,39115,Morgan County,OH,2,138,0.03225223711489535,0.1435485382503298,0.006896988326640763,-0.005401119209944849,0.03224672449298572,5.512621909634086e-06,0.017095137556788487,-4.906705766932751e-05
6,39117,Morrow County,OH,4,138,0.013862474700046966,0.026519212263703025,0.00873128507361004,0.0008948208917992491,0.013941592886685233,-7.911818663826689e-05,-0.5674974680535128,0.00030357342239095003
6,39119,Muskingum County,OH,1,138,0.022005383877316737,0.06682469490315385,0.014666937393641343,0.014639401161757286,0.022056063626532847,-5.067974921611068e-05,-0.22977694512607005,0.00030815718912396983
6,42053,Forest County,PA,3,138,0.06920335402321247,0.6608963807125667,0.023663578875380772,-0.015424241673963357,0.0692097173899623,-6.363366749834176e-06,-0.009194325580008655,0.00012154669281927433
6,54007,Braxton County,WV,4,138,0.024289537545091364,0.08141746551330761,0.012866919390680352,-0.0115223281555603,0.024325552039500584,-3.6014494409219305e-05,-0.14805211553159392,0.00024161700634263428
6,54013,Calhoun County,WV,2,138,0.044415267869518237,0.27223481074910616,0.022709687344935916,-0.021008193176094935,0.044327752462951925,8.751540656631168e-05,0.1974280257936778,-0.001071760647595954
6,54015,Clay County,WV,2,138,0.051180418086421535,0.3614820569791249,0.02721275389433729,-0.025117639640929286,0.05126996609107798,-8.954800465644369e-05,-0.17465976961514862,0.0012660433921545255
6,54041,Lewis County,WV,4,138,0.014505095316625343,0.029034895039925332,0.003373996868623405,-0.002764488992692346,0.014577249991013426,-7.215467438808319e-05,-0.4949813883452947,0.0002895829475438004
6,54087,Roane County,WV,0,138,0.009444741524795804,0.012310033660887898,0.004113244207193021,-0.002269981389743275,0.00922512454199856,0.0002196169827972435,2.380639760443448,-0.0005658303123648855
6,54109,Wyoming County,WV,3,138,0.009387376462963346,0.012160951486320954,0.005739169875153457,0.0057174307447186755,0.0094652873239614,-7.791086099805458e-05,-0.8231219859625716,0.00020269816294897144
24,18013,Brown County,IN,1,120,0.03050710947878966,0.11168204745010296,0.014156962759836097,-0.010834570842605369,0.030400863198123913,0.0001062462806657484,0.3494844207986292,-0.0007765494671775619
24,39115,Morgan County,OH,2,120,0.034543293554117,0.14318869554790808,0.0074468429367807775,-0.006118891276123264,0.03451116753766287,3.21260164541301e-05,0.09308875574571829,-0.00026621337039184345
