horizon,outer_fold,model,alpha,n,mse,rmse,mae,medae,bias,error_std,r2,max_abs_error,rmse_improvement_vs_baseline,mae_improvement_vs_baseline
osi_target_t01h,0,baseline,0.0,6864,4.198531854286896e-05,0.0064796079003955915,0.002632071555191966,0.0005939155395142734,0.00014733745929815465,0.0064779325572250695,0.9142021363533133,0.0817410653591156,0.0,0.0
osi_target_t01h,0,gat,0.35,6864,4.275348367058634e-05,0.006538614812832022,0.002602975234706487,0.0003,0.00019072738043288614,0.0065358325205699345,0.9126323750850085,0.08241524024810643,-5.900691243643057e-05,2.9096320485479023e-05
osi_target_t01h,1,baseline,0.0,6721,8.98986527202102e-05,0.009481490005279244,0.003281937611822619,0.0004,-0.0004995166970687668,0.009468322754826205,0.7123308709424239,0.12193706029057502,0.0,0.0
osi_target_t01h,1,gat,0.35,6721,8.567867603345265e-05,0.009256277655378141,0.0033102806819361647,0.00036737665208056575,-0.0005175485807960331,0.00924179741716776,0.7258344884204411,0.11955275993271862,0.00022521234990110356,-2.834307011354573e-05
osi_target_t01h,2,baseline,0.0,6864,0.00015598218539790602,0.012489282821599727,0.0038297317684083173,0.000786164428666234,-0.000598456310358339,0.01247493629011781,0.7191352905596203,0.3277,0.0,0.0
osi_target_t01h,2,gat,0.2,6864,0.00015044774105549147,0.01226571404588789,0.0037248066025045287,0.0006,-0.0006831826243134796,0.01224667312200859,0.7291007241005142,0.3277,0.00022356877571183716,0.00010492516590378861
osi_target_t01h,3,baseline,0.0,6864,0.00023297430079744579,0.015263495693891547,0.0035166221626959622,0.0005,0.0003060833780333511,0.015260426395194121,0.6399506097650035,0.45292856873273846,0.0,0.0
osi_target_t01h,3,gat,0.35,6864,0.00020686049009856618,0.014382645448545485,0.0031975660572992433,0.0003,5.356914190937723e-05,0.014382545687241923,0.6803081152351811,0.4197809267163276,0.0008808502453460619,0.000319056105396719
osi_target_t01h,4,baseline,0.0,6864,6.618680778830762e-05,0.008135527505227157,0.002877229252482259,0.0006798711463809014,1.9281525153282487e-05,0.008135504656202674,0.886585367598072,0.11791172479055823,0.0,0.0
osi_target_t01h,4,gat,0.5,6864,7.68544726029898e-05,0.008766668272667205,0.0030319487827625566,0.0003,0.00019511371195351002,0.008764496747811452,0.8683057538204472,0.11706232647188008,-0.0006311407674400478,-0.00015471953028029775
osi_target_t06h,0,baseline,0.0,6624,4.081075500992189e-05,0.006388329594653198,0.002553319432978504,0.0005,0.00014680153094819782,0.006386642648562166,0.8882455996929705,0.0817410653591156,0.0,0.0
osi_target_t06h,0,gat,0.35,6624,4.595126979305954e-05,0.006778736592688901,0.002522141808400257,0.0003,1.636566283983073e-05,0.006778716837141035,0.8741690371123639,0.09163548863902687,-0.00039040699803570295,3.1177624578246615e-05
osi_target_t06h,1,baseline,0.0,6486,8.419036145047791e-05,0.009175530581414784,0.003158929113227578,0.0003881246511824427,-0.0004522798013968742,0.009164376925450322,0.6076286684826452,0.12193706029057502,0.0,0.0
osi_target_t06h,1,gat,0.5,6486,8.244660935318838e-05,0.009080011528251953,0.003194539303087769,0.0003,-0.00045404478037155396,0.009068652198127665,0.615755469703853,0.11900003559952602,9.551905316283055e-05,-3.561018986019109e-05
osi_target_t06h,2,baseline,0.0,6624,0.00015723375284528248,0.012539288370768195,0.003768545489285365,0.0007375309276394545,-0.0007440194908585476,0.012517195686035473,0.6632342660297628,0.3277,0.0,0.0
osi_target_t06h,2,gat,0.2,6624,0.00015084803490208703,0.012282020798797201,0.0036961238286355373,0.0006,-0.0007587136816652846,0.012258563882092425,0.6769112975268308,0.3277,0.0002572675719709934,7.242166064982784e-05
osi_target_t06h,3,baseline,0.0,6624,0.00014476602771900632,0.012031875486349014,0.0032402274380835365,0.0005,0.0004560699191470552,0.012023228682340511,0.6562148673477504,0.37953859754800795,0.0,0.0
osi_target_t06h,3,gat,0.2,6624,0.0001423274456206292,0.011930106689406814,0.0032506582232085897,0.0004178728766739369,0.0004595732900316589,0.011921251528749767,0.6620059240161094,0.3711568188011646,0.00010176879694220008,-1.0430785125053153e-05
osi_target_t06h,4,baseline,0.0,6624,6.365507565535064e-05,0.007978413103829022,0.00278257077317474,0.000630786323454231,4.779297357584253e-05,0.007978269955762805,0.8286626736500478,0.11791172479055823,0.0,0.0
osi_target_t06h,4,gat,0.35,6624,6.372286931461051e-05,0.007982660541110997,0.0027743272540994546,0.0004,2.3374563407226722e-05,0.007982626318724687,0.828480196695909,0.118,-4.247437281975144e-06,8.243519075285585e-06
osi_target_t24h,0,baseline,0.0,5760,2.0506146608427838e-05,0.004528371297544829,0.0019339837312122754,0.0001538628106936813,0.00018267119108647523,0.0045246853862312775,0.7737481739778056,0.04974966945648193,0.0,0.0
osi_target_t24h,0,gat,0.35,5760,2.4633459334911273e-05,0.004963210587403206,0.0019141071448029962,0.0001,0.00010045645598491541,0.004962193853061589,0.7282100210150383,0.06212818602323532,-0.0004348392898583771,1.987658640927926e-05
osi_target_t24h,1,baseline,0.0,5640,7.801108255464875e-05,0.008832388270148045,0.002762389207615365,0.0002,-0.0006707661073664797,0.008806881138283698,0.09773130798659346,0.12256463759541511,0.0,0.0
osi_target_t24h,1,gat,0.35,5640,7.061019858813784e-05,0.008402987479946512,0.002647297910750035,0.0002,-0.0007607585128701789,0.008368479256904052,0.18332922148214026,0.12053245595153421,0.0004294007902015326,0.00011509129686532995
osi_target_t24h,2,baseline,0.0,5760,0.00016372794490187746,0.012795622099057062,0.0036476534700420516,0.0003,-0.0011040298533667617,0.012747904258534124,0.44332694557497865,0.3277,0.0,0.0
osi_target_t24h,2,gat,0.5,5760,0.00015896422334531692,0.012608101496471106,0.003594331052599645,0.0003,-0.0011454186537028994,0.012555964298016555,0.4595235418915703,0.3277,0.00018752060258595687,5.332241744240634e-05
osi_target_t24h,3,baseline,0.0,5760,3.7692922603798336e-05,0.006139456214014262,0.0027136120922397174,0.0002,0.0009516051063754517,0.006065259295802488,0.5588385183201331,0.0642,0.0,0.0
osi_target_t24h,3,gat,0.35,5760,3.5012014702664456e-05,0.005917095123678886,0.002545140778824448,0.0002,0.0007683410936658407,0.005866998096680179,0.5902161144366067,0.0642,0.00022236109033537538,0.00016847131341526933
osi_target_t24h,4,baseline,0.0,5760,5.421373505664172e-05,0.007362997695004509,0.0023612571216848057,0.0002,-0.0004527083871294357,0.007349067299519333,0.5555870240006664,0.1199,0.0,0.0
osi_target_t24h,4,gat,0.35,5760,4.818430797503081e-05,0.006941491768707272,0.002264364949185152,0.0001,-0.00048572302783840484,0.006924476956078221,0.6050127946123042,0.1199,0.00042150592629723767,9.689217249965378e-05
osi_target_t48h,0,baseline,0.0,4608,1.299647687525402e-05,0.003605062672860767,0.0014543949917012165,0.0001,0.0002328568889624472,0.003597534509148835,0.6107461393708391,0.049446618953347204,0.0,0.0
osi_target_t48h,0,gat,0.5,4608,2.0720471271678388e-05,0.004551974436624,0.0014695986782123612,0.0001,0.0002990840545100033,0.004542138262978819,0.37940693358877775,0.08247796425819397,-0.0009469117637632331,-1.5203686511144681e-05
osi_target_t48h,1,baseline,0.0,4512,3.4171262705096374e-05,0.005845619103661851,0.0018744117693126397,0.0001,-0.0004592966934916619,0.005827547447463984,0.0737711971074021,0.08453597253412008,0.0,0.0
osi_target_t48h,1,gat,0.35,4512,3.2784258759803775e-05,0.005725753990506733,0.0017940339415822152,0.0001,-0.0004810190170590929,0.005705513076405248,0.11136661800076209,0.08526836667899042,0.00011986511315511747,8.037782773042453e-05
osi_target_t48h,2,baseline,0.0,4608,0.00016939491902828285,0.013015180330225274,0.0031744122972234942,0.0002,-0.0013364502998336524,0.012946382491814361,0.40832598892514493,0.3277,0.0,0.0
osi_target_t48h,2,gat,0.5,4608,0.0001553027761499681,0.012462053448367491,0.0031242938098330693,0.0001,-0.0012287692959992815,0.012401326629323877,0.45754797710095507,0.3277,0.0005531268818577822,5.011848739042493e-05
osi_target_t48h,3,baseline,0.0,4608,2.9236254507750696e-05,0.005407055992659101,0.002099696274168188,0.0001131103020161387,0.0003723134027125424,0.005394222579567078,0.17790545854358897,0.0642,0.0,0.0
osi_target_t48h,3,gat,0.35,4608,2.9781378686920043e-05,0.005457231778742776,0.0020865298340115635,0.0001,0.0003279515191839796,0.00544736876739449,0.16257710613811172,0.0642,-5.017578608367511e-05,1.3166440156624475e-05
osi_target_t48h,4,baseline,0.0,4608,4.718520229834324e-05,0.006869148586130834,0.0019262112782049369,0.0001,-0.0004942843663228511,0.00685134185861077,0.2938070911362891,0.1174660489872098,0.0,0.0
osi_target_t48h,4,gat,0.5,4608,4.2123288135333704e-05,0.00649024561440734,0.0019173626733134655,0.0001,-0.0003725607285244001,0.00647954370607183,0.369565755146926,0.117962584141735,0.0003789029717234946,8.848604891471433e-06
