horizon,replicates,seed,n_counties,base_rmse,gat_rmse,delta_rmse_gat_minus_base,delta_ci_low,delta_ci_high,gat_better_probability
osi_target_t01h,2000,20260910,239,0.01084068928916026,0.010612788285304547,-0.00022790100385571346,-0.0006101748779381152,0.00018866968533487124,0.825
osi_target_t06h,2000,20260910,239,0.009909062739813186,0.009854967606997618,-5.40951328155681e-05,-0.0003075695065599878,0.0001978710033905084,0.6665
osi_target_t24h,2000,20260910,239,0.00841429269204381,0.008213875287702902,-0.0002004174043409076,-0.0006924875059770373,0.00024253869439809205,0.776
osi_target_t48h,2000,20260910,239,0.007661528703877725,0.007499344474955805,-0.00016218422892191973,-0.000942319909132899,0.0003945249323607028,0.6235
