horizon,model,n,mse,rmse,mae,medae,bias,error_std,r2,max_abs_error,rmse_improvement_vs_baseline,mae_improvement_vs_baseline
osi_target_t01h,baseline,34177,0.000117520544264114,0.01084068928916026,0.0032272907749666584,0.000571895932406187,-0.00012348734000067982,0.010839985938227667,0.7734143278356128,0.45292856873273846,0.0,0.0
osi_target_t01h,gat,34177,0.00011263127518869744,0.010612788285304547,0.003172943232469016,0.00033963966547162277,-0.00015073580760779676,0.01061171776410409,0.7828410908478405,0.4197809267163276,0.00022790100385571346,5.434754249764246e-05
osi_target_t06h,baseline,32982,9.8189524381554e-05,0.009909062739813186,0.0031004748900868577,0.0005027572297491133,-0.00010769118782699073,0.009908477531367694,0.7337499309169979,0.37953859754800795,0.0,0.0
osi_target_t06h,gat,32982,9.712038653497237e-05,0.009854967606997618,0.003087110463320625,0.00039219364370219516,-0.0001413862452553068,0.009853953341914348,0.7366489980761937,0.3711568188011646,5.40951328155681e-05,1.336442676623268e-05
osi_target_t24h,baseline,28680,7.080032150738186e-05,0.00841429269204381,0.002683450212077435,0.0002,-0.00021675389251828256,0.008411500416540442,0.48097491608602216,0.3277,0.0,0.0
osi_target_t24h,gat,28680,6.746774724193643e-05,0.008213875287702902,0.002592821381694725,0.0002,-0.0003027120018227814,0.008208295358105048,0.5054054497466927,0.3277,0.0002004174043409076,9.062883038271023e-05
osi_target_t48h,baseline,22944,5.86990220803423e-05,0.007661528703877726,0.0021067935796652308,0.0001,-0.0003364603956871162,0.007654137213460206,0.3657737958479311,0.3277,0.0,0.0
osi_target_t48h,gat,22944,5.624016755405017e-05,0.007499344474955805,0.002079553452017348,0.0001,-0.0002902678972452005,0.007493724848290001,0.3923410182224014,0.3277,0.0001621842289219206,2.7240127647882705e-05
