horizon,fipsCode,outer_fold,n,base_sse,gat_sse,base_rmse,gat_rmse,gat_minus_base_sse,gat_better
osi_target_t01h,18009,0,143,0.004941386541434729,0.005128567429769443,0.00587836292171585,0.00598866495142996,0.0001871808883347134,False
osi_target_t01h,18013,1,143,0.11781276726849418,0.10859360321348183,0.0287030574220602,0.027557137490452542,-0.009219164055012358,True
osi_target_t01h,18023,3,143,0.00047389894543439743,0.0001834706830685058,0.0018204336404827781,0.0011327010946007912,-0.0002904282623658916,True
osi_target_t01h,18025,2,143,0.02008007419191749,0.018571186689846093,0.011849898701853035,0.011395983432355986,-0.0015088875020713953,True
osi_target_t01h,18027,2,143,0.0026527642879962824,0.0025957936871302766,0.004307063874236974,0.004260563742805103,-5.697060086600576e-05,True
osi_target_t01h,18029,1,143,0.00025962592645823905,0.00024435701468866614,0.0013474293745085065,0.0013072070656587483,-1.5268911769572905e-05,True
osi_target_t01h,18033,1,143,0.0015786198524768852,0.00155357349548114,0.003322544155864678,0.003296081054532781,-2.504635699574517e-05,True
osi_target_t01h,18035,1,143,0.0005232253279188834,0.0005910145723052255,0.0019128299393974177,0.0020329704958753038,6.778924438634207e-05,False
osi_target_t01h,18037,3,143,0.0008021110182782666,0.0005252750117010244,0.002368368206168095,0.0019165729388878196,-0.00027683600657724215,True
osi_target_t01h,18039,4,143,0.00035508866732302923,0.00032468633992308195,0.0015757974278845226,0.0015068290698071756,-3.040232739994728e-05,True
osi_target_t01h,18041,2,143,0.004029439130285871,0.004131756069887893,0.0053082856004537955,0.005375258048701022,0.00010231693960202192,False
osi_target_t01h,18043,4,143,0.0010630094185038067,0.0008737927399972656,0.0027264688329833183,0.0024719301651219073,-0.00018921667850654107,True
osi_target_t01h,18045,3,143,0.0013557231738060877,0.00205135566020336,0.0030790553153536566,0.0037874984458012087,0.0006956324863972721,False
osi_target_t01h,18047,4,143,0.0013313710153622553,0.0013038543165599915,0.003051276260962791,0.0030195798306331253,-2.7516698802263883e-05,True
osi_target_t01h,18051,1,143,0.0002480473352777917,0.0002898341709647894,0.0013170409068037133,0.0014236616116090075,4.178683568699772e-05,False
osi_target_t01h,18059,3,143,0.00018609892183841988,0.0001670636738369442,0.0011407852829551808,0.0010808688354371173,-1.9035248001475675e-05,True
osi_target_t01h,18061,3,143,0.0022448460114232816,0.0024644876034356647,0.003962098415752297,0.004151406875386301,0.00021964159201238315,False
osi_target_t01h,18065,3,143,0.0006325371858178695,0.0007170881143058698,0.0021031730703300012,0.0022393307477778144,8.455092848800032e-05,False
osi_target_t01h,18067,2,143,0.00039651935835946115,0.0004080811063016753,0.001665191474236629,0.0016892939442505691,1.1561747942214124e-05,False
osi_target_t01h,18069,0,143,0.00019589998874454108,0.0002227053546649986,0.0011704400844214824,0.0012479503606123274,2.6805365920457534e-05,False
osi_target_t01h,18071,0,143,0.0027991777793659744,0.0032177539970500795,0.004424327043266133,0.004743603714808754,0.00041857621768410505,False
osi_target_t01h,18073,2,143,0.001519983972552807,0.0018350131110382668,0.003260254368806264,0.003582214331632059,0.00031502913848545974,False
osi_target_t01h,18077,2,143,0.003384315259454651,0.003483200554753707,0.004864826849529863,0.004935387101073077,9.888529529905599e-05,False
osi_target_t01h,18083,2,143,0.001524622341477927,0.0013544526291239599,0.003265225060489681,0.003077612176210732,-0.00017016971235396723,True
osi_target_t01h,18085,3,143,0.0010173401980156937,0.0003540692739709815,0.0026672583525018468,0.001573533891877764,-0.0006632709240447122,True
osi_target_t01h,18087,2,143,0.001110004778079972,0.001334155297781217,0.00278608527783778,0.0030544651458383637,0.00022415051970124515,False
osi_target_t01h,18089,4,143,0.0009356078848480856,0.0006809199647584359,0.0025578726476224623,0.0021821269613003314,-0.00025468792008964973,True
osi_target_t01h,18091,0,143,0.00028048696878432694,0.00031259419675948676,0.0014005168096656792,0.0014785037720318791,3.2107227975159823e-05,False
osi_target_t01h,18093,1,143,0.00841330049704712,0.008264608018688696,0.007670350005711586,0.007602266877001341,-0.00014869247835842467,True
osi_target_t01h,18095,0,143,0.000280070644546228,0.0003364846662554358,0.001399477036556066,0.0015339620673810311,5.64140217092078e-05,False
osi_target_t01h,18097,1,143,5.141518153493587e-05,5.515333443617554e-05,0.0005996221510422464,0.0006210375619878631,3.738152901239674e-06,False
osi_target_t01h,18099,3,143,0.011187080733753171,0.011564121809897415,0.008844847867683747,0.008992662825025595,0.0003770410761442435,False
osi_target_t01h,18101,4,143,0.0014928760004553848,0.0018886433772585401,0.003231051270233392,0.0036341844125560435,0.0003957673768031553,False
osi_target_t01h,18103,0,143,0.0010206651169322588,0.00044563119962204257,0.0026716134264196207,0.0017653050997657712,-0.0005750339173102163,True
osi_target_t01h,18105,3,143,0.0006263909073406838,0.0008709717436185849,0.002092930002505912,0.0024679366875664088,0.0002445808362779011,False
osi_target_t01h,18107,1,143,0.00016612322141247782,0.0001767147134923355,0.0010778222715449456,0.0011116506767951564,1.0591492079857663e-05,False
osi_target_t01h,18109,2,143,0.0013345436162323682,0.0016206255872126959,0.0030549096289065234,0.003366458980059678,0.0002860819709803277,False
osi_target_t01h,18111,2,143,0.0017232796396933498,0.0007872848420478053,0.0034714415696194814,0.00234637772021657,-0.0009359947976455446,True
osi_target_t01h,18113,1,143,0.00015664700271477967,0.0001657749177383628,0.0010466296314446861,0.0010766917660173362,9.12791502358313e-06,False
osi_target_t01h,18117,4,143,0.024502361644254067,0.02059758831007657,0.013089888705541198,0.012001628185019087,-0.0039047733341774984,True
osi_target_t01h,18121,1,143,0.08511447895429775,0.08405766550144718,0.0243968470613223,0.024244913748402215,-0.0010568134528505663,True
osi_target_t01h,18123,3,143,0.0041133460966988455,0.006122298105249425,0.0053632693405117225,0.006543185268910142,0.002008952008550579,False
osi_target_t01h,18125,0,143,0.0010195028636919687,0.0008517973397862712,0.002670091881413183,0.0024406197478817034,-0.00016770552390569745,True
osi_target_t01h,18127,2,143,0.0008519643806171058,0.0006084651043038202,0.0024408590437483874,0.0020627653112744904,-0.00024349927631328561,True
osi_target_t01h,18129,4,143,0.00014290841737694992,0.00015499006807083971,0.0009996797297517704,0.001041079550210267,1.2081650693889797e-05,False
osi_target_t01h,18131,4,143,0.044373020595553765,0.047867430140442334,0.017615358166257953,0.0182958266746651,0.0034944095448885687,False
osi_target_t01h,18133,4,143,0.0001886947771217632,0.0028520541695136433,0.001148714018351124,0.00446591925048401,0.00266335939239188,False
osi_target_t01h,18135,0,143,0.0019417927138906635,0.0018128231255760924,0.003684965403800616,0.0035604894037531425,-0.00012896958831457115,True
osi_target_t01h,18137,0,143,0.0019196780310466184,0.0018824899731039934,0.003663921655198279,0.003628259299744407,-3.718805794262494e-05,True
osi_target_t01h,18139,2,143,0.0012507639099398951,0.001282467641013187,0.002957465260795206,0.00299471287136353,3.170373107329186e-05,False
osi_target_t01h,18141,4,143,0.0005063521158528979,0.0005260524526332242,0.0018817342764277855,0.001917990740319832,1.9700336780326382e-05,False
osi_target_t01h,18143,2,143,0.0023413414321687737,0.0028889068453215373,0.004046358487352949,0.004494679718453728,0.0005475654131527636,False
osi_target_t01h,18145,4,143,0.00023075027801671785,0.00040461771531792747,0.0012702906391094976,0.0016821101369151722,0.00017386743730120961,False
osi_target_t01h,18147,0,143,0.0004888044765642513,0.00044826280839144325,0.0018488410215123778,0.0017705098005338226,-4.054166817280805e-05,True
osi_target_t01h,18149,3,143,0.00247643208700081,0.0029698510151429207,0.004161454902086957,0.004557212845268845,0.0004934189281421107,False
osi_target_t01h,18151,1,143,0.019014705575677766,0.022595175506249777,0.011531260514821598,0.012570132072632531,0.003580469930572011,False
osi_target_t01h,18153,3,143,0.0006895829443923342,0.0006367342279388361,0.0021959641054429707,0.0021101390732990066,-5.284871645349807e-05,True
osi_target_t01h,18155,4,143,0.0012903870990480686,0.008214142278303726,0.003003945073953442,0.007579020675109177,0.006923755179255657,False
osi_target_t01h,18157,1,143,0.00012421489912789547,0.00016415108080921546,0.0009320062543980224,0.0010714054582689504,3.993618168131999e-05,False
osi_target_t01h,18159,0,143,0.0024528737560010772,0.0020633696295569454,0.004141613614121778,0.003798573185901513,-0.0003895041264441318,True
osi_target_t01h,18161,0,143,0.0010475985302818276,0.0012911781790832418,0.002706633305071943,0.003004865726708457,0.00024357964880141413,False
osi_target_t01h,18163,4,143,7.281470015954854e-05,4.433533878087645e-05,0.0007135781018286859,0.0005568099623138968,-2.8479361378672093e-05,True
osi_target_t01h,18165,4,143,0.027151625035095255,0.033213403137419786,0.013779386914588214,0.015240129933879729,0.006061778102324531,False
