case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,true_mean,baseline_mean,prediction_mean
H0_Huber,osi_target_t01h,model_raw,N=0,20721,0.0009727020435263941,0.000435549741096362,0.019605158930019843,0.0003677131546667773,0.0009727020435263941,0.0,0.0,0.0,0.0,0.0003677131546667773,0.0003677131546667773
H0_Huber,osi_target_t01h,model_raw,0<N<=1e-4,6747,0.0010586404145302764,0.0004965748692749073,0.00756149465053681,0.00043583810359892677,0.0010586404145302764,0.0,0.0,0.0,3.32849119608715e-05,0.0004691230155597982,0.0004691230155597982
H0_Huber,osi_target_t01h,model_raw,1e-4<N<=1e-3,4102,0.0017300853951891534,0.0008952634511067501,0.012278087837001213,0.0005948094889114562,0.0017300853951891534,0.0,0.0,0.0,0.0003547329246708923,0.0009495424135823484,0.0009495424135823484
H0_Huber,osi_target_t01h,model_raw,1e-3<N<=1e-2,2181,0.0034566562917986566,0.0025295489881079084,0.026059619001515735,-0.0012815621654962738,0.0034566562917986566,0.0,0.0,0.0,0.0032567292911508485,0.0019751671256545743,0.0019751671256545743
H0_Huber,osi_target_t01h,model_raw,N>1e-2,426,0.036483735034289505,0.02342249131667124,0.5670328047942557,-0.0233648639926509,0.036483735034289505,0.0,0.0,0.0,0.02721008561502347,0.00384522162237258,0.00384522162237258
H0_Huber,osi_target_t01h,component_clipped,N=0,20721,0.0009670371267858831,0.00040163144788156967,0.019377467031749758,0.00040163144788156967,0.0009670371267858831,0.0,0.0,0.0,0.0,0.00040163144788156967,0.00040163144788156967
H0_Huber,osi_target_t01h,component_clipped,0<N<=1e-4,6747,0.0010545294746826348,0.0004744994902517728,0.007502882690338504,0.0004579134826220612,0.0010545294746826348,0.0,0.0,0.0,3.32849119608715e-05,0.0004911983945829327,0.0004911983945829327
H0_Huber,osi_target_t01h,component_clipped,1e-4<N<=1e-3,4102,0.0017219956255401718,0.0008711836458864707,0.012163533168824656,0.0006188892941317355,0.0017219956255401718,0.0,0.0,0.0,0.0003547329246708923,0.0009736222188026278,0.0009736222188026278
H0_Huber,osi_target_t01h,component_clipped,1e-3<N<=1e-2,2181,0.0034449239396483196,0.0025145578643733305,0.025883019571867335,-0.001266571041761696,0.0034449239396483196,0.0,0.0,0.0,0.0032567292911508485,0.0019901582493891522,0.0019901582493891522
H0_Huber,osi_target_t01h,component_clipped,N>1e-2,426,0.036478022082231984,0.023412148249788572,0.5668552364835485,-0.023354520925768223,0.036478022082231984,0.0,0.0,0.0,0.02721008561502347,0.0038555646892552494,0.0038555646892552494
H0_Huber,osi_target_t01h,aligned,N=0,20721,0.0009012984877851892,0.0004114788610697481,0.016832475674781848,0.0004114788610697481,0.0009012984877851892,0.0,0.0,0.0,0.0,0.0004114788610697481,0.0004114788610697481
H0_Huber,osi_target_t01h,aligned,0<N<=1e-4,6747,0.0009490026964200876,0.00046300807599000926,0.006076389476881591,0.00045681531081611694,0.0009490026964200876,0.0,0.0,0.0,3.32849119608715e-05,0.0004901002227769885,0.0004901002227769885
H0_Huber,osi_target_t01h,aligned,1e-4<N<=1e-3,4102,0.0015804981522043323,0.0008253281987565222,0.010246691026215608,0.000626977993175248,0.0015804981522043323,0.0,0.0,0.0,0.0003547329246708923,0.0009817109178461402,0.0009817109178461402
H0_Huber,osi_target_t01h,aligned,1e-3<N<=1e-2,2181,0.0033269832642409463,0.002402374691940611,0.024141091274016306,-0.0012456730088829084,0.0033269832642409463,0.0,0.0,0.0,0.0032567292911508485,0.00201105628226794,0.00201105628226794
H0_Huber,osi_target_t01h,aligned,N>1e-2,426,0.03660239973148035,0.02356169788933654,0.5707273937599089,-0.023541487968820517,0.03660239973148035,0.0,0.0,0.0,0.02721008561502347,0.003668597646202957,0.003668597646202957
H0_Huber,osi_target_t06h,model_raw,N=0,19976,0.00096124077748762,0.0004293946984158351,0.018457501034124763,0.00039184761568234475,0.00096124077748762,0.0,0.0,0.0,0.0,0.00039184761568234475,0.00039184761568234475
H0_Huber,osi_target_t06h,model_raw,0<N<=1e-4,6531,0.001030851749868334,0.0004899458545862132,0.006940201961579346,0.00044584484777887676,0.001030851749868334,0.0,0.0,0.0,3.319455535140101e-05,0.0004790394031302778,0.0004790394031302778
H0_Huber,osi_target_t06h,model_raw,1e-4<N<=1e-3,3985,0.0016410705955628591,0.0008743726612617345,0.010732054107989834,0.0006226230221162366,0.0016410705955628591,0.0,0.0,0.0,0.0003538448735257214,0.000976467895641958,0.000976467895641958
H0_Huber,osi_target_t06h,model_raw,1e-3<N<=1e-2,2092,0.0033017424244422985,0.002445271654294644,0.022805944354161528,-0.0013002452298173167,0.0033017424244422985,0.0,0.0,0.0,0.003231420052581262,0.0019311748227639454,0.0019311748227639454
H0_Huber,osi_target_t06h,model_raw,N>1e-2,398,0.032049558425567816,0.022166115808606758,0.4088153297190062,-0.022112539750834704,0.032049558425567816,0.0,0.0,0.0,0.025416071062814072,0.0033035313119793713,0.0033035313119793713
H0_Huber,osi_target_t06h,component_clipped,N=0,19976,0.0009587810341503486,0.00041062115704908994,0.018363159163213523,0.00041062115704908994,0.0009587810341503486,0.0,0.0,0.0,0.0,0.00041062115704908994,0.00041062115704908994
