domain,space,case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,bootstrap_replicates,bootstrap_seed,unit
N,component_clipped,L2_all,osi_target_t06h,32982,0.003764674357115683,0.0008692645215085704,0.46744639958483236,6.758078480495541e-05,0.003764674357115683,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
N,aligned,L2_all,osi_target_t06h,32982,0.0037119168268373607,0.0008398729692391173,0.45443676559129687,5.1090419584349694e-05,0.0037119168268373607,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,L2_all,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
N,model_raw,L2_all,osi_target_t24h,28680,0.0037968080880991526,0.0008937177834621394,0.41344375754728546,4.376861976768117e-05,0.0037968080880991526,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
N,component_clipped,L2_all,osi_target_t24h,28680,0.003795218919999953,0.0008733654239528911,0.4130977331428105,6.412097927692928e-05,0.003795218919999953,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
N,aligned,L2_all,osi_target_t24h,28680,0.003751278596995849,0.0008524173122341514,0.4035875731001658,5.152600198449813e-05,0.003751278596995849,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,L2_all,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
N,model_raw,L2_all,osi_target_t48h,22944,0.003480128171274755,0.000684873145665952,0.277881485678548,3.936141662041916e-06,0.003480128171274755,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
N,component_clipped,L2_all,osi_target_t48h,22944,0.0034787655866815458,0.0006693169615643348,0.2776639288024389,1.9492325763659062e-05,0.0034787655866815458,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
N,aligned,L2_all,osi_target_t48h,22944,0.00345547652882615,0.0006780784321407472,0.2739586571388626,5.04093323061344e-05,0.00345547652882615,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
