model,stage,horizon,horizon_hours,rmse,mae,n,prediction_mean,prediction_max,zero_pct,evaluation_status
B0_lightgbm,raw,osi_target_t01h,1,0.011978157400213442,0.0036814675582226017,34177,0.005680670961737633,0.2943422496318817,0.0,diagnostic_only
B0_lightgbm,raw,osi_target_t06h,6,0.01067593221148422,0.0036294458640718738,32982,0.0050551737658679485,0.26501592993736267,0.0,diagnostic_only
B0_lightgbm,raw,osi_target_t24h,24,0.008465723590732605,0.0030580001899206586,28680,0.003187357448041439,0.12017063796520233,0.0,diagnostic_only
B0_lightgbm,raw,osi_target_t48h,48,0.007640919805350417,0.0024074150057414715,22944,0.0021892068907618523,0.061604373157024384,0.0,diagnostic_only
B0_lightgbm,clipped,osi_target_t01h,1,0.01197558426547613,0.0036401376118251768,34177,0.005722000729292631,0.2943422496318817,16.15121280393247,diagnostic_only
B0_lightgbm,clipped,osi_target_t06h,6,0.01067398837649265,0.0035952833663759572,32982,0.005089337006211281,0.26501592993736267,13.513431568734461,diagnostic_only
B0_lightgbm,clipped,osi_target_t24h,24,0.008462137342081719,0.0030322065191525764,28680,0.0032131513580679893,0.12017063796520233,8.800557880055788,diagnostic_only
B0_lightgbm,clipped,osi_target_t48h,48,0.0076402477218260765,0.002397205303424541,22944,0.0021994165144860744,0.061604373157024384,7.195781032078104,diagnostic_only
B0_lightgbm,postprocessed,osi_target_t01h,1,0.01197937916843673,0.003589460368401187,34177,0.005601587467500176,0.2943422496318817,51.40006437077567,diagnostic_only
B0_lightgbm,postprocessed,osi_target_t06h,6,0.010676993477222679,0.0035510141209233095,32982,0.0049929519280053495,0.26501592993736267,41.525680674307196,diagnostic_only
B0_lightgbm,postprocessed,osi_target_t24h,24,0.008463831831463754,0.0029427287087676946,28680,0.003062296512171709,0.12017063796520233,43.333333333333336,diagnostic_only
B0_lightgbm,postprocessed,osi_target_t48h,48,0.007644415220276423,0.002303061663867313,22944,0.002038248749843786,0.061604373157024384,46.90115062761506,diagnostic_only
B1_equal_mean,raw,osi_target_t01h,1,0.011812384308878194,0.0036475432965601246,34177,0.005742881912738085,0.2943422496318817,0.0,diagnostic_only
B1_equal_mean,raw,osi_target_t06h,6,0.010415988928405649,0.003439164673816236,32982,0.004930609837174416,0.27748316526412964,0.0,diagnostic_only
B1_equal_mean,raw,osi_target_t24h,24,0.008393291396857688,0.002907814498817335,28680,0.003197310259565711,0.13068795204162598,0.0,diagnostic_only
B1_equal_mean,raw,osi_target_t48h,48,0.007718594425079227,0.00238187364134668,22944,0.0022631578613072634,0.05217931792140007,0.0,diagnostic_only
B1_equal_mean,raw,unique_trajectory,0,0.011812384308878194,0.0036475432965601246,34177,0.005742881912738085,0.2943422496318817,0.0,diagnostic_only
B1_equal_mean,clipped,osi_target_t01h,1,0.011811943662805515,0.003636484318737477,34177,0.005753940902650356,0.2943422496318817,5.682183924861749,diagnostic_only
B1_equal_mean,clipped,osi_target_t06h,6,0.010415502454134837,0.0034285906275048133,32982,0.004941183608025312,0.27748316526412964,5.596992298829664,diagnostic_only
B1_equal_mean,clipped,osi_target_t24h,24,0.0083929164096304,0.0028999681773096827,28680,0.0032051564194262028,0.13068795204162598,5.031380753138075,diagnostic_only
B1_equal_mean,clipped,osi_target_t48h,48,0.007718451331578347,0.00237767002263327,22944,0.0022673613857477903,0.05217931792140007,4.515341701534171,diagnostic_only
B1_equal_mean,clipped,unique_trajectory,0,0.011811943662805515,0.003636484318737477,34177,0.005753940902650356,0.2943422496318817,5.682183924861749,diagnostic_only
B1_equal_mean,postprocessed,osi_target_t01h,1,0.01181303929640512,0.0035542253459284585,34177,0.005614890716969967,0.2943422496318817,41.60107674752026,diagnostic_only
B1_equal_mean,postprocessed,osi_target_t06h,6,0.010416806053698345,0.0033454116282894335,32982,0.004800266586244106,0.27748316526412964,42.032017464071316,diagnostic_only
B1_equal_mean,postprocessed,osi_target_t24h,24,0.008394669526236938,0.002813632573060238,28680,0.003060850314795971,0.13068795204162598,43.16248256624826,diagnostic_only
B1_equal_mean,postprocessed,osi_target_t48h,48,0.0077209900300695454,0.002281394923266465,22944,0.002104170387610793,0.05217931792140007,48.05177824267782,diagnostic_only
B1_equal_mean,postprocessed,unique_trajectory,0,0.01181303929640512,0.0035542253459284585,34177,0.005614890587229405,0.2943422496318817,41.60107674752026,diagnostic_only
B2_static_convex,raw,osi_target_t01h,1,0.011814040095336658,0.0036507275426659377,34177,0.005747139919549227,0.2943422496318817,0.0,diagnostic_only
B2_static_convex,raw,osi_target_t06h,6,0.010417934683656153,0.0034424642911577673,32982,0.004935021512210369,0.27748316526412964,0.0,diagnostic_only
B2_static_convex,raw,osi_target_t24h,24,0.008393763148779746,0.002910507415617531,28680,0.0031997861806303263,0.13068795204162598,0.0,diagnostic_only
B2_static_convex,raw,osi_target_t48h,48,0.00772009228555,0.002386078265784897,22944,0.0022654251661151648,0.05217931792140007,0.0,diagnostic_only
B2_static_convex,raw,unique_trajectory,0,0.011814040095336658,0.0036507275426659377,34177,0.005747139919549227,0.2943422496318817,0.0,diagnostic_only
B2_static_convex,clipped,osi_target_t01h,1,0.011813599511024647,0.00363966856484329,34177,0.005758199375122786,0.2943422496318817,5.682183924861749,diagnostic_only
B2_static_convex,clipped,osi_target_t06h,6,0.01041744830024827,0.0034318902448463445,32982,0.004945595283061266,0.27748316526412964,5.596992298829664,diagnostic_only
B2_static_convex,clipped,osi_target_t24h,24,0.008393388182628681,0.002902661094109879,28680,0.003207632340490818,0.13068795204162598,5.031380753138075,diagnostic_only
B2_static_convex,clipped,osi_target_t48h,48,0.007719949219812787,0.0023818746470714875,22944,0.0022696289233863354,0.05217931792140007,4.515341701534171,diagnostic_only
B2_static_convex,clipped,unique_trajectory,0,0.011813599511024647,0.00363966856484329,34177,0.005758199375122786,0.2943422496318817,5.682183924861749,diagnostic_only
B2_static_convex,postprocessed,osi_target_t01h,1,0.011814979723712194,0.003564874690215706,34177,0.005627539940178394,0.2943422496318817,40.76133071948971,diagnostic_only
B2_static_convex,postprocessed,osi_target_t06h,6,0.010419086235823658,0.00335644681838419,32982,0.00481337308883667,0.27748316526412964,41.16184585531502,diagnostic_only
B2_static_convex,postprocessed,osi_target_t24h,24,0.008395626054327377,0.002825432642383825,28680,0.0030736983753740788,0.13068795204162598,42.08856345885635,diagnostic_only
B2_static_convex,postprocessed,osi_target_t48h,48,0.007723184137672118,0.002297617100764839,22944,0.002120080403983593,0.05217931792140007,46.63528591352859,diagnostic_only
