model,stage,horizon,horizon_hours,rmse,mae,n,prediction_mean,prediction_max,zero_pct,evaluation_status
B2_static_convex,postprocessed,unique_trajectory,0,0.011814979723712194,0.003564874690215706,34177,0.005627539477511199,0.2943422496318817,40.76133071948971,diagnostic_only
B3_mlp_convex,raw,osi_target_t01h,1,0.011812967858259481,0.0036477129538827146,34177,0.005743013229221106,0.2943422496318817,0.0,diagnostic_only
B3_mlp_convex,raw,osi_target_t06h,6,0.010416674681938536,0.0034393404781432675,32982,0.0049307458102703094,0.27748316526412964,0.0,diagnostic_only
B3_mlp_convex,raw,osi_target_t24h,24,0.008393686153426023,0.002907979674533271,28680,0.003197494661435485,0.13068795204162598,0.0,diagnostic_only
B3_mlp_convex,raw,osi_target_t48h,48,0.007719274395088436,0.00238218917559483,22944,0.0022635317873209715,0.05217931792140007,0.0,diagnostic_only
B3_mlp_convex,raw,unique_trajectory,0,0.011812967858259481,0.0036477129538827146,34177,0.005743013229221106,0.2943422496318817,0.0,diagnostic_only
B3_mlp_convex,clipped,osi_target_t01h,1,0.01181252698016414,0.0036366516438724045,34177,0.005754074547439814,0.2943422496318817,5.679257980513211,diagnostic_only
B3_mlp_convex,clipped,osi_target_t06h,6,0.010416187941454087,0.003428764015144629,32982,0.004941321909427643,0.27748316526412964,5.59396034200473,diagnostic_only
B3_mlp_convex,clipped,osi_target_t24h,24,0.00839331078867324,0.0029001299902806405,28680,0.0032053443137556314,0.13068795204162598,5.0278940027894,diagnostic_only
B3_mlp_convex,clipped,osi_target_t48h,48,0.0077191314841427985,0.00237799007861317,22944,0.002267730887979269,0.05217931792140007,4.510983263598326,diagnostic_only
B3_mlp_convex,clipped,unique_trajectory,0,0.01181252698016414,0.0036366516438724045,34177,0.005754074547439814,0.2943422496318817,5.679257980513211,diagnostic_only
B3_mlp_convex,postprocessed,osi_target_t01h,1,0.011813629235138822,0.0035545396261861123,34177,0.005615152884274721,0.2943422496318817,41.58644702577757,diagnostic_only
B3_mlp_convex,postprocessed,osi_target_t06h,6,0.010417499299624506,0.003345737295512944,32982,0.004800538066774607,0.27748316526412964,42.01685767994664,diagnostic_only
B3_mlp_convex,postprocessed,osi_target_t24h,24,0.0083950750305708,0.002813971022696476,28680,0.0030611935071647167,0.13068795204162598,43.14504881450488,diagnostic_only
B3_mlp_convex,postprocessed,osi_target_t48h,48,0.0077216853455334316,0.0022819438606926255,22944,0.002104741521179676,0.05217931792140007,48.02998605299861,diagnostic_only
B3_mlp_convex,postprocessed,unique_trajectory,0,0.011813629235138822,0.0035545396261861123,34177,0.005615152905458175,0.2943422496318817,41.58644702577757,diagnostic_only
B4_gru_no_future,raw,osi_target_t01h,1,0.011812688720617739,0.003647932508408541,34177,0.005743516609072685,0.2943422496318817,0.0,diagnostic_only
B4_gru_no_future,raw,osi_target_t06h,6,0.010416346656908253,0.0034395679875432184,32982,0.0049312664195895195,0.27748316526412964,0.0,diagnostic_only
B4_gru_no_future,raw,osi_target_t24h,24,0.00839376183787785,0.0029082944180042632,28680,0.0031979428604245186,0.13068795204162598,0.0,diagnostic_only
B4_gru_no_future,raw,osi_target_t48h,48,0.007719497920462831,0.0023827125848706423,22944,0.002264389069750905,0.05217931792140007,0.0,diagnostic_only
B4_gru_no_future,raw,unique_trajectory,0,0.011812688720617739,0.003647932508408541,34177,0.005743516609072685,0.2943422496318817,0.0,diagnostic_only
B4_gru_no_future,clipped,osi_target_t01h,1,0.011812247533667728,0.003636863813621167,34177,0.00575458537787199,0.2943422496318817,5.682183924861749,diagnostic_only
B4_gru_no_future,clipped,osi_target_t06h,6,0.01041585955038681,0.0034289838722031296,32982,0.004941850900650024,0.27748316526412964,5.596992298829664,diagnostic_only
B4_gru_no_future,clipped,osi_target_t24h,24,0.008393385821491755,0.0029004348713714714,28680,0.0032058025244623423,0.13068795204162598,5.03486750348675,diagnostic_only
B4_gru_no_future,clipped,osi_target_t48h,48,0.007719354838317616,0.0023785093768420693,22944,0.0022685923613607883,0.05217931792140007,4.528417015341701,diagnostic_only
B4_gru_no_future,clipped,unique_trajectory,0,0.011812247533667728,0.003636863813621167,34177,0.00575458537787199,0.2943422496318817,5.682183924861749,diagnostic_only
B4_gru_no_future,postprocessed,osi_target_t01h,1,0.01181334195091911,0.003554703675413095,34177,0.005615671165287495,0.2943422496318817,41.58352108142903,diagnostic_only
B4_gru_no_future,postprocessed,osi_target_t06h,6,0.010417161709032419,0.0033459072885524987,32982,0.0048010749742388725,0.27748316526412964,42.0138257231217,diagnostic_only
B4_gru_no_future,postprocessed,osi_target_t24h,24,0.00839513661584638,0.002814221647924894,28680,0.0030616659205406904,0.13068795204162598,43.14156206415621,diagnostic_only
B4_gru_no_future,postprocessed,osi_target_t48h,48,0.007721890955399324,0.0022824035079233853,22944,0.002105626044794917,0.05217931792140007,48.02562761506276,diagnostic_only
B4_gru_no_future,postprocessed,unique_trajectory,0,0.01181334195091911,0.003554703675413095,34177,0.005615671145129322,0.2943422496318817,41.58352108142903,diagnostic_only
B5_gru_future,raw,osi_target_t01h,1,0.011812165712224126,0.003647608899546259,34177,0.00574241578578949,0.2943422496318817,0.0,diagnostic_only
B5_gru_future,raw,osi_target_t06h,6,0.01041573204334005,0.0034392326537221584,32982,0.0049301255494356155,0.27748316526412964,0.0,diagnostic_only
B5_gru_future,raw,osi_target_t24h,24,0.008393992887775818,0.0029079443032044004,28680,0.003196609439328313,0.13068795204162598,0.0,diagnostic_only
B5_gru_future,raw,osi_target_t48h,48,0.007718369930659839,0.0023817697256919247,22944,0.0022627748548984528,0.05217931792140007,0.0,diagnostic_only
B5_gru_future,raw,unique_trajectory,0,0.011812165712224126,0.003647608899546259,34177,0.00574241578578949,0.2943422496318817,0.0,diagnostic_only
B5_gru_future,clipped,osi_target_t01h,1,0.01181172541425421,0.003636556870704136,34177,0.005753467790782452,0.2943422496318817,5.676332036164672,diagnostic_only
B5_gru_future,clipped,osi_target_t06h,6,0.01041524597573409,0.003428665808165916,32982,0.004940692335367203,0.27748316526412964,5.590928385179795,diagnostic_only
B5_gru_future,clipped,osi_target_t24h,24,0.008393618314925138,0.0029001036955594115,28680,0.003204450011253357,0.13068795204162598,5.024407252440725,diagnostic_only
B5_gru_future,clipped,osi_target_t48h,48,0.007718227310317948,0.0023775730239429045,22944,0.0022669716272503138,0.05217931792140007,4.506624825662483,diagnostic_only
B5_gru_future,clipped,unique_trajectory,0,0.01181172541425421,0.003636556870704136,34177,0.005753467790782452,0.2943422496318817,5.676332036164672,diagnostic_only
B5_gru_future,postprocessed,osi_target_t01h,1,0.011812820050659567,0.003554254678128226,34177,0.005614378023892641,0.2943422496318817,41.60107674752026,diagnostic_only
B5_gru_future,postprocessed,osi_target_t06h,6,0.01041654841177255,0.003345442023250062,32982,0.004799735266715288,0.27748316526412964,42.032017464071316,diagnostic_only
B5_gru_future,postprocessed,osi_target_t24h,24,0.008395369542828508,0.0028137193572374893,28680,0.0030601012986153364,0.13068795204162598,43.16248256624826,diagnostic_only
B5_gru_future,postprocessed,osi_target_t48h,48,0.007720764053100129,0.0022812422281439032,22944,0.00210373243317008,0.05217931792140007,48.05177824267782,diagnostic_only
B5_gru_future,postprocessed,unique_trajectory,0,0.011812820050659567,0.003554254678128226,34177,0.005614378220123155,0.2943422496318817,41.60107674752026,diagnostic_only
