outer_fold,model,horizon,rmse,mae,rmse_change_vs_B0_pct,mae_change_vs_B0_pct,evaluation_status
0,B2_static_convex,osi_target_t01h,0.006517649863074581,0.0026368967008478105,-3.3987104519237032,-4.393489218779701,diagnostic_only
0,B2_static_convex,osi_target_t06h,0.006353238667483042,0.002538632400287036,-2.698464889261576,-4.179289451188717,diagnostic_only
0,B2_static_convex,osi_target_t24h,0.004518153356406699,0.002010952027486231,-3.389788426930873,-1.554803243851588,diagnostic_only
0,B2_static_convex,osi_target_t48h,0.0034803515312204327,0.0014948119850449377,-4.376632700394789,-7.248484455889026,diagnostic_only
0,B3_mlp_convex,osi_target_t01h,0.006518114959525892,0.002637769634415901,-3.391817029002131,-4.361839085286745,diagnostic_only
0,B3_mlp_convex,osi_target_t06h,0.006353733085660303,0.002539536961882956,-2.6908927437540586,-4.145146762847385,diagnostic_only
0,B3_mlp_convex,osi_target_t24h,0.004518826774100235,0.002011962199909097,-3.3753889542442406,-1.5053507350063167,diagnostic_only
0,B3_mlp_convex,osi_target_t48h,0.003483454317701738,0.0014967274632624594,-4.291383009755034,-7.1296310419183495,diagnostic_only
0,B4_gru_no_future,osi_target_t01h,0.00652038065766312,0.0026392783830733965,-3.35823600418782,-4.307136072179485,diagnostic_only
0,B4_gru_no_future,osi_target_t06h,0.006356141577705007,0.002541100375346882,-2.6540060493424056,-4.086135702806537,diagnostic_only
0,B4_gru_no_future,osi_target_t24h,0.004522472563743218,0.0020138851294164953,-3.2974322137409473,-1.4112146387113333,diagnostic_only
0,B4_gru_no_future,osi_target_t48h,0.0034902895785836247,0.0014998338961491856,-4.103582824620267,-6.936880140090884,diagnostic_only
0,B5_gru_future,osi_target_t01h,0.006517649863074581,0.0026368967008478105,-3.3987104519237032,-4.393489218779701,diagnostic_only
0,B5_gru_future,osi_target_t06h,0.006353238667483042,0.002538632400287036,-2.698464889261576,-4.179289451188717,diagnostic_only
0,B5_gru_future,osi_target_t24h,0.004518153356406699,0.002010952027486231,-3.389788426930873,-1.554803243851588,diagnostic_only
