outer_fold,model,horizon,rmse,mae,rmse_change_vs_B0_pct,mae_change_vs_B0_pct,evaluation_status
0,B5_gru_future,osi_target_t48h,0.0034803515312204327,0.0014948119850449377,-4.376632700394789,-7.248484455889026,diagnostic_only
1,B2_static_convex,osi_target_t01h,0.010405454450721984,0.004006450525094647,-1.5677818417311085,5.772767600525186,diagnostic_only
1,B2_static_convex,osi_target_t06h,0.009942703531305686,0.0038319409981225324,-1.7196839866555291,-5.062681731661877,diagnostic_only
1,B2_static_convex,osi_target_t24h,0.008638257410208565,0.0032472702271422885,-1.203310499019794,-8.600940769385556,diagnostic_only
1,B2_static_convex,osi_target_t48h,0.0056292528467304925,0.0024482097843789,-2.4869525761980427,0.3402416473827552,diagnostic_only
1,B3_mlp_convex,osi_target_t01h,0.010394245430209422,0.003952297476485025,-1.6738155337392868,4.343093681037513,diagnostic_only
1,B3_mlp_convex,osi_target_t06h,0.00993054691308218,0.0037758258825342996,-1.8398481127302913,-6.452948072107834,diagnostic_only
1,B3_mlp_convex,osi_target_t24h,0.00863352895961592,0.0031872656193053257,-1.2573903027161104,-10.289856172840228,diagnostic_only
1,B3_mlp_convex,osi_target_t48h,0.005613926681248147,0.0023657182860361056,-2.752440935345557,-3.0406846647268115,diagnostic_only
1,B4_gru_no_future,osi_target_t01h,0.010394245430209422,0.003952297476485025,-1.6738155337392868,4.343093681037513,diagnostic_only
1,B4_gru_no_future,osi_target_t06h,0.00993054691308218,0.0037758258825342996,-1.8398481127302913,-6.452948072107834,diagnostic_only
1,B4_gru_no_future,osi_target_t24h,0.00863352895961592,0.0031872656193053257,-1.2573903027161104,-10.289856172840228,diagnostic_only
1,B4_gru_no_future,osi_target_t48h,0.005613926681248147,0.0023657182860361056,-2.752440935345557,-3.0406846647268115,diagnostic_only
1,B5_gru_future,osi_target_t01h,0.010394245430209422,0.003952297476485025,-1.6738155337392868,4.343093681037513,diagnostic_only
1,B5_gru_future,osi_target_t06h,0.00993054691308218,0.0037758258825342996,-1.8398481127302913,-6.452948072107834,diagnostic_only
1,B5_gru_future,osi_target_t24h,0.00863352895961592,0.0031872656193053257,-1.2573903027161104,-10.289856172840228,diagnostic_only
1,B5_gru_future,osi_target_t48h,0.005613926681248147,0.0023657182860361056,-2.752440935345557,-3.0406846647268115,diagnostic_only
2,B2_static_convex,osi_target_t01h,0.012891238320513327,0.004009203677829892,-2.389151088753827,-1.4490799202206972,diagnostic_only
2,B2_static_convex,osi_target_t06h,0.012812910852234462,0.003914989953309355,-2.910037340383631,-4.2495805948808645,diagnostic_only
2,B2_static_convex,osi_target_t24h,0.012900429937968298,0.0037093056493858966,-0.3174210102844799,-4.200026286615954,diagnostic_only
2,B2_static_convex,osi_target_t48h,0.013523426842705046,0.0033256883368295576,3.6659234103048055,0.4109223908472348,diagnostic_only
2,B3_mlp_convex,osi_target_t01h,0.012891238320513327,0.004009203677829892,-2.389151088753827,-1.4490799202206972,diagnostic_only
2,B3_mlp_convex,osi_target_t06h,0.012812910852234462,0.003914989953309355,-2.910037340383631,-4.2495805948808645,diagnostic_only
2,B3_mlp_convex,osi_target_t24h,0.012900429937968298,0.0037093056493858966,-0.3174210102844799,-4.200026286615954,diagnostic_only
2,B3_mlp_convex,osi_target_t48h,0.013523426842705046,0.0033256883368295576,3.6659234103048055,0.4109223908472348,diagnostic_only
2,B4_gru_no_future,osi_target_t01h,0.012891238320513327,0.004009203677829892,-2.389151088753827,-1.4490799202206972,diagnostic_only
2,B4_gru_no_future,osi_target_t06h,0.012812910852234462,0.003914989953309355,-2.910037340383631,-4.2495805948808645,diagnostic_only
2,B4_gru_no_future,osi_target_t24h,0.012900429937968298,0.0037093056493858966,-0.3174210102844799,-4.200026286615954,diagnostic_only
2,B4_gru_no_future,osi_target_t48h,0.013523426842705046,0.0033256883368295576,3.6659234103048055,0.4109223908472348,diagnostic_only
2,B5_gru_future,osi_target_t01h,0.012891238320513327,0.004009203677829892,-2.389151088753827,-1.4490799202206972,diagnostic_only
2,B5_gru_future,osi_target_t06h,0.012812910852234462,0.003914989953309355,-2.910037340383631,-4.2495805948808645,diagnostic_only
2,B5_gru_future,osi_target_t24h,0.012900429937968298,0.0037093056493858966,-0.3174210102844799,-4.200026286615954,diagnostic_only
2,B5_gru_future,osi_target_t48h,0.013523426842705046,0.0033256883368295576,3.6659234103048055,0.4109223908472348,diagnostic_only
3,B2_static_convex,osi_target_t01h,0.016034562801926264,0.003929829546657195,-0.6332000112144076,-1.4239486979436111,diagnostic_only
3,B2_static_convex,osi_target_t06h,0.0125871024336142,0.003532282822794549,-2.503441632718839,-8.562937286775995,diagnostic_only
3,B2_static_convex,osi_target_t24h,0.005812974450353548,0.002710202658017301,-3.7332392049528984,-2.2172919774719024,diagnostic_only
3,B2_static_convex,osi_target_t48h,0.00502824117505115,0.0021824459535382504,0.9097511025390581,6.915975945770958,diagnostic_only
3,B3_mlp_convex,osi_target_t01h,0.016034562801926264,0.003929829546657195,-0.6332000112144076,-1.4239486979436111,diagnostic_only
3,B3_mlp_convex,osi_target_t06h,0.0125871024336142,0.003532282822794549,-2.503441632718839,-8.562937286775995,diagnostic_only
3,B3_mlp_convex,osi_target_t24h,0.005812974450353548,0.002710202658017301,-3.7332392049528984,-2.2172919774719024,diagnostic_only
3,B3_mlp_convex,osi_target_t48h,0.00502824117505115,0.0021824459535382504,0.9097511025390581,6.915975945770958,diagnostic_only
3,B4_gru_no_future,osi_target_t01h,0.016034562801926264,0.003929829546657195,-0.6332000112144076,-1.4239486979436111,diagnostic_only
3,B4_gru_no_future,osi_target_t06h,0.0125871024336142,0.003532282822794549,-2.503441632718839,-8.562937286775995,diagnostic_only
3,B4_gru_no_future,osi_target_t24h,0.005812974450353548,0.002710202658017301,-3.7332392049528984,-2.2172919774719024,diagnostic_only
3,B4_gru_no_future,osi_target_t48h,0.00502824117505115,0.0021824459535382504,0.9097511025390581,6.915975945770958,diagnostic_only
3,B5_gru_future,osi_target_t01h,0.01603375853682235,0.003929975596568538,-0.6381840728758248,-1.4202851742761702,diagnostic_only
3,B5_gru_future,osi_target_t06h,0.012586040750384376,0.003532434164369347,-2.5116651664137457,-8.559019642079878,diagnostic_only
3,B5_gru_future,osi_target_t24h,0.005818005983971685,0.002710634770899863,-3.6499136291420653,-2.2017015685025454,diagnostic_only
3,B5_gru_future,osi_target_t48h,0.005026513166007355,0.0021816856590738277,0.8750723835910801,6.878729834572583,diagnostic_only
4,B2_static_convex,osi_target_t01h,0.011102781278546447,0.003251192497208965,-0.6067835579329217,-2.973229795337673,diagnostic_only
4,B2_static_convex,osi_target_t06h,0.00898653878097563,0.0029742940461520285,-1.9092126460360515,-4.905313955452439,diagnostic_only
4,B2_static_convex,osi_target_t24h,0.00756794701698762,0.002458220932903209,1.11476232756762,-1.165426717414464,diagnostic_only
4,B2_static_convex,osi_target_t48h,0.0067592727340990465,0.002040066791607842,-4.488850663344812,-3.463976281923009,diagnostic_only
4,B3_mlp_convex,osi_target_t01h,0.011105633268070784,0.003251884417423776,-0.5812522604164427,-2.952580515499559,diagnostic_only
4,B3_mlp_convex,osi_target_t06h,0.00899018978046025,0.00297501103593984,-1.869360882993154,-4.882390223732869,diagnostic_only
4,B3_mlp_convex,osi_target_t24h,0.0075697844170523184,0.0024588959576274444,1.1393116895578093,-1.138286853913173,diagnostic_only
4,B3_mlp_convex,osi_target_t48h,0.0067616288457507156,0.0020408845643247434,-4.455557890487583,-3.4252792516495156,diagnostic_only
4,B4_gru_no_future,osi_target_t01h,0.011102781278546447,0.003251192497208965,-0.6067835579329217,-2.973229795337673,diagnostic_only
4,B4_gru_no_future,osi_target_t06h,0.00898653878097563,0.0029742940461520285,-1.9092126460360515,-4.905313955452439,diagnostic_only
4,B4_gru_no_future,osi_target_t24h,0.00756794701698762,0.002458220932903209,1.11476232756762,-1.165426717414464,diagnostic_only
4,B4_gru_no_future,osi_target_t48h,0.0067592727340990465,0.002040066791607842,-4.488850663344812,-3.463976281923009,diagnostic_only
4,B5_gru_future,osi_target_t01h,0.011102781278546447,0.003251192497208965,-0.6067835579329217,-2.973229795337673,diagnostic_only
4,B5_gru_future,osi_target_t06h,0.00898653878097563,0.0029742940461520285,-1.9092126460360515,-4.905313955452439,diagnostic_only
4,B5_gru_future,osi_target_t24h,0.00756794701698762,0.002458220932903209,1.11476232756762,-1.165426717414464,diagnostic_only
4,B5_gru_future,osi_target_t48h,0.0067592727340990465,0.002040066791607842,-4.488850663344812,-3.463976281923009,diagnostic_only
