split_seed,domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction,focus_name
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18013,1,Brown County,143,0.029068761046036333,0.013334569077871639,0.12083398023147299,-0.008542919227232416,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,-0.00022527535523824901,-0.7749740516339143,0.001865606879748835,91,0.004565019282006008,Brown IN
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,39115,1,Morgan County,143,0.03169976357303805,0.006702296103241579,0.14369712651387098,-0.00524039855745086,0.03165796843854411,0.006586400532790727,0.14331845608878732,-0.005619263004166435,-4.179513449394101e-05,-0.13184683348708148,0.00037867042508366033,94,0.0009265820204656652,Morgan OH
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,39117,1,Morrow County,143,0.04365322055336542,0.018625304965808717,0.27250132404934946,-0.015764922960086653,0.01889602213156497,0.010603645932844916,0.05105953029271281,-0.0056717663451987576,-0.024757198421800453,-56.7133377743233,0.22144179375663664,143,0.5418537363440354,Morrow OH
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,39119,1,Muskingum County,143,0.028529161104556663,0.01941326610679801,0.11638956376615407,0.019389489883021787,0.02570617896463824,0.017602908567665814,0.09449549208556737,0.017576335141092386,-0.0028229821399184223,-9.895075882436434,0.0218940716805867,121,0.05357337629294963,Muskingum OH
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,42053,1,Forest County,143,0.09508783745392434,0.03465426344235957,1.2929626469279427,-0.026517586342145835,0.09523359914620216,0.03442158667300922,1.296929692106551,-0.02674722685808619,0.00014576169227782654,0.15329162612247593,-0.003967045178608242,143,-0.00970710278221834,Forest PA
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,54013,1,Calhoun County,143,0.04320677581767739,0.021767162864810737,0.2669560431479415,-0.020236099457478635,0.04308755682068436,0.021623101967256114,0.26548487004692556,-0.02012593412255579,-0.00011921899699302713,-0.2759266220097145,0.0014711731010159657,110,0.0035998653554550654,Calhoun WV
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,54015,1,Clay County,143,0.05007668878821752,0.026550088740170747,0.35859749067885455,-0.0239320964355485,0.05073104312598738,0.026853356181596132,0.36803033934106305,-0.024117463079891346,0.0006543543377698566,1.3067044838711794,-0.009432848662208504,114,-0.023081570128549098,Clay WV
42,OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,18013,1,Brown County,143,0.029011771952107804,0.013445112392466057,0.12036065638755859,-0.008328726338841583,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,-0.00016828626130972052,-0.5800619885869995,0.0013922830358344407,92,0.003398686774114388,Brown IN
42,OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,39115,1,Morgan County,143,0.031690122167604265,0.006678311589631365,0.14360972954866869,-0.005331572949344253,0.03165796843854411,0.006586400532790727,0.14331845608878732,-0.005619263004166435,-3.215372906015257e-05,-0.10146293816759577,0.00029127345988136377,94,0.0007110244327267992,Morgan OH
42,OSI,v18_rule,osi_target_t01h,E2_minus_E0,county,39117,1,Morrow County,143,0.04363246610813674,0.01869800775473918,0.2722422701109113,-0.015916039379035112,0.01889602213156497,0.010603645932844916,0.05105953029271281,-0.0056717663451987576,-0.024736443976571768,-56.69274781596365,0.22118273981819847,143,0.5399267484660245,Morrow OH
