split_seed,D_reference,domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E1,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
42,B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E0,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
42,B,OSI,C0_direct_osi,osi_target_t01h,E1_minus_E0,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
42,B,OSI,C1_component_osi,osi_target_t01h,E2_minus_E1,34177,0.011879555835505774,0.0035425370843933275,4.823189713754831,-0.00010767683101466022,0.011237333497017828,0.003382693984817583,4.31579172673857,-0.00012688579729967938,-0.0006422223384879456,-5.406114061676137,0.5073979870162617,18144
42,B,OSI,C1_component_osi,osi_target_t01h,E2_minus_E0,34177,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,0.011237333497017828,0.003382693984817583,4.31579172673857,-0.00012688579729967938,-0.000641569037743343,-5.400911707676048,0.5068675114946863,17951
42,B,OSI,C1_component_osi,osi_target_t01h,E1_minus_E0,34177,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,0.011879555835505774,0.0035425370843933275,4.823189713754831,-0.00010767683101466022,6.533007446025973e-07,0.005499672572373271,-0.0005304755215753687,13990
42,B,OSI,C2_equal_blend,osi_target_t01h,E2_minus_E1,34177,0.011934556306310079,0.003545931314506473,4.867954317026955,-0.0001311599065926376,0.011469334098572564,0.003419800293997046,4.495834814164747,-0.00014391753327170958,-0.0004652222077375142,-3.8981106276363198,0.3721195028622084,17311
42,B,OSI,C2_equal_blend,osi_target_t01h,E2_minus_E0,34177,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,0.011469334098572564,0.003419800293997046,4.495834814164747,-0.00014391753327170958,-0.0004649062499569555,-3.895566340041401,0.3718617559225077,17258
42,B,OSI,C2_equal_blend,osi_target_t01h,E1_minus_E0,34177,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,0.011934556306310079,0.003545931314506473,4.867954317026955,-0.0001311599065926376,3.159577805587205e-07,0.002647489671159242,-0.0002577469397007093,13638
42,B,OSI,C3_aligned_component,osi_target_t01h,E2_minus_E1,34177,0.011754412690205624,0.003492332379116821,4.722106822048103,-0.00011382845594347968,0.011151840395194438,0.003350989278217248,4.250372850119655,-0.00012431675719591957,-0.0006025722950111865,-5.126349660270824,0.47173397192844746,17510
42,B,OSI,C3_aligned_component,osi_target_t01h,E2_minus_E0,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011151840395194438,0.003350989278217248,4.250372850119655,-0.00012431675719591957,-0.0006032998760688111,-5.132221837825657,0.47231857311597647,17532
42,B,OSI,C3_aligned_component,osi_target_t01h,E1_minus_E0,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011754412690205624,0.003492332379116821,4.722106822048103,-0.00011382845594347968,-7.275810576246045e-07,-0.006189471506379274,0.0005846011875290102,13658
42,B,OSI,v18_rule,osi_target_t01h,E2_minus_E1,34177,0.011754412690205624,0.003492332379116821,4.722106822048103,-0.00011382845594347968,0.011151840395194438,0.003350989278217248,4.250372850119655,-0.00012431675719591957,-0.0006025722950111865,-5.126349660270824,0.47173397192844746,17510
42,B,OSI,v18_rule,osi_target_t01h,E2_minus_E0,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011151840395194438,0.003350989278217248,4.250372850119655,-0.00012431675719591957,-0.0006032998760688111,-5.132221837825657,0.47231857311597647,17532
42,B,OSI,v18_rule,osi_target_t01h,E1_minus_E0,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011754412690205624,0.003492332379116821,4.722106822048103,-0.00011382845594347968,-7.275810576246045e-07,-0.006189471506379274,0.0005846011875290102,13658
42,B,OSI,C0_direct_osi,osi_target_t06h,E2_minus_E1,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.0,0.0,0.0,0
