horizon,comparison,fipsCode,countyName,improved_splits,worsened_splits,minimum_rmse_change_pct,maximum_rmse_change_pct,mean_sse_reduction_diagnostic_only
osi_target_t01h,E1_minus_E0,18109,Morgan County,2,1,-1.5313311080063952,1.6038178709896878,5.819988108587507e-07
osi_target_t01h,E1_minus_E0,18111,Newton County,1,2,-1.9027704039386917,9.72643205809469,-4.325522731506232e-05
osi_target_t01h,E1_minus_E0,18113,Noble County,1,1,-4.312496979811686,5.0705992541395295,4.5941194349993157e-07
osi_target_t01h,E1_minus_E0,18117,Orange County,0,2,0.0,0.42333738553312905,-7.692819096434544e-05
osi_target_t01h,E1_minus_E0,18121,Parke County,2,1,-0.4554069609175371,0.10739386373121995,0.000307065991190722
osi_target_t01h,E1_minus_E0,18123,Perry County,0,1,0.0,3.1070804370847416,-7.630425228088902e-05
osi_target_t01h,E1_minus_E0,18125,Pike County,2,1,-4.846525202363283,2.6021603163948637,5.569393819590367e-05
osi_target_t01h,E1_minus_E0,18127,Porter County,1,1,-1.653940742861859,1.4305280749787652,-1.907996897943854e-06
osi_target_t01h,E1_minus_E0,18129,Posey County,1,2,-1.283880905400736,6.199732945489389,-9.169063062346955e-06
osi_target_t01h,E1_minus_E0,18131,Pulaski County,1,2,-0.08338695285418085,0.2346713143868362,-7.293567401520327e-05
osi_target_t01h,E1_minus_E0,18133,Putnam County,1,1,-5.867332000328396,1.3193767343837814,2.8862918284520956e-06
osi_target_t01h,E1_minus_E0,18135,Randolph County,1,2,-2.516729067382051,2.6685134865238824,1.1412618668537548e-05
osi_target_t01h,E1_minus_E0,18137,Ripley County,3,0,-0.9746270334085483,-0.0008766209324329033,1.4308421315188162e-05
osi_target_t01h,E1_minus_E0,18139,Rush County,0,3,0.05705642377589193,0.8452111701136023,-1.0120234743874187e-05
osi_target_t01h,E1_minus_E0,18141,St. Joseph County,2,1,-2.6475846274991888,1.1478527054174181,4.260150087632606e-06
osi_target_t01h,E1_minus_E0,18143,Scott County,1,2,-0.6985221513712836,1.921637862284542,-1.9393219084885794e-05
osi_target_t01h,E1_minus_E0,18145,Shelby County,2,1,-1.9768055586284694,4.859158211325765,-4.83721819317821e-06
osi_target_t01h,E1_minus_E0,18147,Spencer County,1,2,-2.9685559589308963,1.5138943024531892,2.7000794415742613e-06
osi_target_t01h,E1_minus_E0,18149,Starke County,1,1,-2.8891029460820894,1.799116074925955,3.78382435943892e-05
