split_seed,case,space,horizon,n,P_weighted_rmse,other_weighted_rmse,two_mean_P_other_product,P_other_covariance,official_truth_rounding_rmse,linear_osi_rmse,postprocessed_osi_rmse,postprocessing_mse_change
42,E0,raw,osi_target_t01h,34177,0.007627213669328862,0.004496285140031371,5.9641431167208105e-05,2.982028764616184e-05,2.423938157445867e-05,0.011748860451333469,0.011753906771635035,1.1860249138026004e-07
42,E0,aligned,osi_target_t01h,34177,0.007542264201356989,0.004429970913537574,5.866619661847542e-05,2.933232765460325e-05,2.423938157445867e-05,0.011626684769041664,0.011628814288783167,4.9523044342171096e-08
42,E1,raw,osi_target_t01h,34177,0.007629062571416396,0.004496285140031371,5.964523212205197e-05,2.9822467982765563e-05,2.423938157445867e-05,0.01175021222560968,0.01175407644389428,9.082570204320493e-08
42,E1,aligned,osi_target_t01h,34177,0.007541384610811963,0.004429970913537574,5.864697485596008e-05,2.932282353863885e-05,2.423938157445867e-05,0.011625283841159377,0.011627582891197898,5.345950415672402e-08
42,E2,raw,osi_target_t01h,34177,0.007320333364573766,0.004496285140031371,5.126844670132388e-05,2.5634454012119555e-05,2.423938157445867e-05,0.011183756957392581,0.011187368590210009,8.079629119049636e-08
42,E2,aligned,osi_target_t01h,34177,0.007097454083186332,0.004429970913537574,5.3191851797904156e-05,2.6595545905010377e-05,2.423938157445867e-05,0.01109929121265102,0.011101490712958732,4.883062667681171e-08
42,E0,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
42,E0,aligned,osi_target_t06h,32982,0.0065415385567572345,0.004164242044690143,4.854600320307799e-05,2.4271636715106158e-05,2.415995982099207e-05,0.010425032696228156,0.010427511705922264,5.169365971975507e-08
42,E1,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
42,E1,aligned,osi_target_t06h,32982,0.006538916896870463,0.004164242044690143,4.8531369674889895e-05,2.426436148978508e-05,2.415995982099207e-05,0.01042268371282712,0.010425352686841189,5.564286739504485e-08
42,E2,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
42,E2,aligned,osi_target_t06h,32982,0.0063320050064460285,0.004164242044690143,4.546894110814747e-05,2.2733432449509027e-05,2.415995982099207e-05,0.010144311052699608,0.010146817077991867,5.0850080303974695e-08
20260917,E0,raw,osi_target_t01h,34177,0.008075082934429687,0.004662540491048039,6.620012721163772e-05,3.3100056634661016e-05,2.423938157445867e-05,0.012375364596367833,0.012377906467915173,6.291963542185124e-08
20260917,E0,aligned,osi_target_t01h,34177,0.007948164238676905,0.004721764218438741,6.630853798565379e-05,3.315427443640864e-05,2.423938157445867e-05,0.012319931450941695,0.01232246237425789,6.236800909902485e-08
20260917,E1,raw,osi_target_t01h,34177,0.008077957905906605,0.004662540491048039,6.617077429805274e-05,3.3085300139624945e-05,2.423938157445867e-05,0.01237605681900904,0.012379254009328504,7.91474401356997e-08
20260917,E1,aligned,osi_target_t01h,34177,0.007952007073574843,0.004721764218438741,6.631354006102216e-05,3.315678170161985e-05,2.423938157445867e-05,0.01232261508115055,0.01232526989373838,6.543551529471963e-08
20260917,E2,raw,osi_target_t01h,34177,0.007323806130805913,0.004662540491048039,5.250282948404791e-05,2.6251396193925056e-05,2.423938157445867e-05,0.011308591514561603,0.011312143773707869,8.035471382299717e-08
20260917,E2,aligned,osi_target_t01h,34177,0.007152520727919952,0.004721764218438741,5.6564023320094597e-05,2.8282028954586715e-05,2.423938157445867e-05,0.011402711731435313,0.01140564895985692,6.699336527272504e-08
20260917,E0,raw,osi_target_t06h,32982,0.0067150976631588375,0.004562221288660437,5.4271027650580565e-05,2.7135948691746597e-05,2.415995982099207e-05,0.01096267771250578,0.010966347987999515,8.04855656300345e-08
20260917,E0,aligned,osi_target_t06h,32982,0.006730844190346807,0.004407168682501191,5.3374896446854195e-05,2.668741848449896e-05,2.415995982099207e-05,0.01086762253996573,0.010870630226386284,6.53818476519072e-08
20260917,E1,raw,osi_target_t06h,32982,0.0067150976631588375,0.004562221288660437,5.4271027650580565e-05,2.7135948691746597e-05,2.415995982099207e-05,0.01096267771250578,0.010966347987999515,8.04855656300345e-08
20260917,E1,aligned,osi_target_t06h,32982,0.00672701129170809,0.004407168682501191,5.333141060799464e-05,2.6665650829321578e-05,2.415995982099207e-05,0.010863249445583305,0.010866399917108627,6.845864157240672e-08
20260917,E2,raw,osi_target_t06h,32982,0.0067150976631588375,0.004562221288660437,5.4271027650580565e-05,2.7135948691746597e-05,2.415995982099207e-05,0.01096267771250578,0.010966347987999515,8.04855656300345e-08
20260917,E2,aligned,osi_target_t06h,32982,0.0063998821383690245,0.004407168682501191,4.8431207090275935e-05,2.4215585594383007e-05,2.415995982099207e-05,0.010431493703753318,0.01043484686574168,6.996822003386743e-08
20260918,E0,raw,osi_target_t01h,34177,0.0073357752681931015,0.004279570600787588,5.392614875259795e-05,2.6961202662301937e-05,2.423938157445867e-05,0.01122762654145006,0.011229805868044099,4.894207968384563e-08
20260918,E0,aligned,osi_target_t01h,34177,0.0073595287490342,0.004289725135719231,5.517016580382355e-05,2.7583620387918944e-05,2.423938157445867e-05,0.01130218653223741,0.011304946679319743,6.239901277380424e-08
20260918,E1,raw,osi_target_t01h,34177,0.007314089808384612,0.004279570600787588,5.367124528890067e-05,2.6833442632186287e-05,2.423938157445867e-05,0.011202083716502378,0.011204763682491214,6.004958894633501e-08
20260918,E1,aligned,osi_target_t01h,34177,0.007347179814353127,0.004289725135719231,5.505149076724227e-05,2.752418329311098e-05,2.423938157445867e-05,0.011288886137712567,0.011291286096635588,5.419148583717917e-08
20260918,E2,raw,osi_target_t01h,34177,0.006997774960226107,0.004279570600787588,4.556022228541842e-05,2.2776496238458498e-05,2.423938157445867e-05,0.010623027489817782,0.010625859276603061,6.017231674704899e-08
20260918,E2,aligned,osi_target_t01h,34177,0.00688448583556777,0.004289725135719231,4.9679732132865316e-05,2.483814780232067e-05,2.423938157445867e-05,0.010746270907161978,0.010748603143167522,5.013111919480791e-08
20260918,E0,raw,osi_target_t06h,32982,0.006388407557583936,0.004055859777985826,4.5115186486423937e-05,2.2553703015679012e-05,2.415995982099207e-05,0.010118307782573395,0.010121851237145981,7.172008402828677e-08
