split_seed,horizon,n,E0_rmse,E1_rmse,E2_rmse,E1_vs_E0_pct,E2_vs_E0_pct,E2_vs_E1_pct
42,osi_target_t01h,34177,0.011628814288783167,0.011627582891197898,0.011101490712958732,-0.010589192970922312,-4.534628920276729,-4.524518837336499
42,osi_target_t06h,32982,0.010427511705922264,0.010425352686841189,0.010146817077991867,-0.020705026682910077,-2.69186586260054,-2.6717140150173235
42,osi_target_t24h,28680,0.008492701524253245,0.008492701524253245,0.008492701524253245,0.0,0.0,0.0
42,osi_target_t48h,22944,0.007691202257793633,0.007691202257793633,0.007691202257793633,0.0,0.0,0.0
20260917,osi_target_t01h,34177,0.01232246237425789,0.01232526989373838,0.01140564895985692,0.022783753727306788,-7.440180270432217,-7.461264068129292
20260917,osi_target_t06h,32982,0.010870630226386284,0.010866399917108627,0.01043484686574168,-0.03891503242735572,-4.008814131004346,-3.971444587526063
20260917,osi_target_t24h,28680,0.008710411518259539,0.008710411518259539,0.008710411518259539,0.0,0.0,0.0
20260917,osi_target_t48h,22944,0.007895792270846023,0.007895792270846023,0.007895792270846023,0.0,0.0,0.0
20260918,osi_target_t01h,34177,0.011304946679319743,0.011291286096635588,0.010748603143167522,-0.12083721464289932,-4.921239807083266,-4.806210283076318
20260918,osi_target_t06h,32982,0.01001049575133449,0.010000027928479375,0.009754537404413665,-0.10456847607892561,-2.556899810748181,-2.4548983844992156
20260918,osi_target_t24h,28680,0.008094958237266874,0.008094958237266874,0.008094958237266874,0.0,0.0,0.0
20260918,osi_target_t48h,22944,0.007386039443917857,0.007386039443917857,0.007386039443917857,0.0,0.0,0.0
