split_seed,domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18009,1,Blackford County,143,0.006305132300683593,0.0036014399407539857,0.0056849211460646715,0.001747931455543114,0.0059461257980235206,0.003486191612752256,0.005055966916846682,0.0018711301163226418,-0.0003590065026600727,-5.693877392884361,0.0006289542292179894,74,0.0015390102893841672
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18013,1,Brown County,143,0.029068761046036333,0.013334569077871639,0.12083398023147299,-0.008542919227232416,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,-0.00022527535523824901,-0.7749740516339143,0.001865606879748835,91,0.004565019282006008
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18023,1,Clinton County,143,0.0018648830251016303,0.0007643397442438763,0.0004973237837156458,0.0007178056835917629,0.001859751687062818,0.0007535821914909488,0.0004945907162672187,0.0007043875387518195,-5.131338038812236e-06,-0.27515602693271024,2.733067448427149e-06,36,6.687639146556212e-06
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18025,1,Crawford County,143,0.012025809071662221,0.0021778322133073932,0.020680671987414495,-0.0014079499456084415,0.011993908425578542,0.002184827404572575,0.020571099022926444,-0.0013826185781196773,-3.190064608367925e-05,-0.26526819021973624,0.00010957296448805068,51,0.00026811795191377763
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18027,1,Daviess County,143,0.0032834244407820515,0.0013115362207974611,0.0015416652763404644,0.0012924521677548212,0.003030777119222342,0.0012431797833830003,0.0013135422223354402,0.0012135893281933292,-0.00025264732155970936,-7.694628766895983,0.0002281230540050242,39,0.0005582023477224924
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18029,1,Dearborn County,143,0.0014528928044230123,0.000479351635158701,0.0003018583426636156,-1.7381905039410123e-05,0.0013694611856816502,0.0004524058123252966,0.0002681856232896685,-1.3293727145553124e-05,-8.34316187413621e-05,-5.742448340811713,3.3672719373947075e-05,25,8.239496481720758e-05
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18033,1,DeKalb County,143,0.003330154868432231,0.0013157592680527893,0.0015858601970272332,-0.0009992319819739468,0.0033140517092979083,0.0013054383895069687,0.0015705602386617556,-0.0009933446375546872,-1.6103159134322857e-05,-0.4835558636317683,1.5299958365477557e-05,46,3.7438007819577345e-05
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18035,1,Delaware County,143,0.002099629219352898,0.0010121360269811329,0.0006304073288027457,-0.0008649223107357875,0.0019687881612673597,0.0009423011874407864,0.0005542861358243511,-0.0005968106291206536,-0.00013084105808553815,-6.231626845327631,7.612119297839462e-05,61,0.00018626363221948167
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18037,1,Dubois County,143,0.0029844865185504367,0.0012519829849771153,0.0012737238484555307,0.0009009340339281644,0.002825015879913677,0.0011706674337306057,0.0011412422052123159,0.000819618482681655,-0.0001594706386367599,-5.343319115216327,0.00013248164324321482,30,0.00032417400604704984
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18039,1,Elkhart County,143,0.002034050601972945,0.0015439051127665755,0.0005916427447482694,0.0015006862649263862,0.0018511904435158605,0.0013964427687825614,0.0004900475663175161,0.0013479601118326038,-0.00018286015845708444,-8.989951296182975,0.00010159517843075336,98,0.0002485968257994786
