case,reference,pair,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G1,G0,G1_minus_G0,1,18009,Blackford County,IN,0,143,0.005508805317235971,0.004339611851318645,0.003124477499957556,0.0014508743788891826,0.005878362949702138,-0.00036955763246616664,-6.2867440412962665,0.0006017747371669623
G1,G0,G1_minus_G0,1,18013,Brown County,IN,1,143,0.02868145431624478,0.11763549250236158,0.012834504576143494,-0.008927981016947261,0.028703057474194202,-2.1603157949422885e-05,-0.07526430927731198,0.000177275194104487
G1,G0,G1_minus_G0,1,18023,Clinton County,IN,3,143,0.001837332421011781,0.00048273803081804486,0.000780003772942652,0.000733849926788806,0.0018204336337540904,1.6898787257690678e-05,0.9282836212404,-8.839088886898453e-06
G1,G0,G1_minus_G0,1,18025,Crawford County,IN,2,143,0.01184989873863019,0.02008007431655788,0.0021582445809910557,-0.0014421780063523784,0.01184989873863019,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18027,Daviess County,IN,2,143,0.004307063902533763,0.0026527643228528392,0.0017358675821350512,0.001731671777939247,0.004307063902533763,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18029,Dearborn County,IN,1,143,0.0013474293754659344,0.0002596259268271981,0.0004293369835911871,-3.9907119927806946e-05,0.0013474293754659344,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18033,DeKalb County,IN,1,143,0.0033216347833506872,0.001577755841657019,0.0013102936288508693,-0.0009959977083395563,0.0033225441643735306,-9.093810228433773e-07,-0.027370020618366908,8.640189053832781e-07
G1,G0,G1_minus_G0,1,18035,Delaware County,IN,1,143,0.0019100244162696856,0.0005216916377167285,0.0008760611436922513,-0.00046388498366599275,0.0019128299496315709,-2.805533361885295e-06,-0.14666925109707574,1.5336958009465503e-06
G1,G0,G1_minus_G0,1,18037,Dubois County,IN,3,143,0.0023683682249262005,0.0008021110309841316,0.0009427404649773259,0.0005916915139283749,0.0023683682249262005,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18039,Elkhart County,IN,4,143,0.0016062539259476263,0.00036894738947096926,0.0011630982354783764,0.0011077833874111082,0.0015757974308356377,3.045649511198862e-05,1.9327671511583544,-1.3858720817937187e-05
G1,G0,G1_minus_G0,1,18041,Fayette County,IN,2,143,0.005305891055150503,0.004025804624145035,0.00195918735113174,-0.0018467395599393764,0.005308285608189181,-2.394553038677534e-06,-0.04510972497379084,3.6345178844633674e-06
G1,G0,G1_minus_G0,1,18043,Floyd County,IN,4,143,0.002726468804350704,0.0010630093961769506,0.0011481459166726735,0.0008143128593897192,0.002726468804350704,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18045,Fountain County,IN,3,143,0.0030790553189015556,0.0013557231769304023,0.0012226234877403227,0.0012194641687331457,0.0030790553189015556,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18047,Franklin County,IN,4,143,0.0030475902007637817,0.0013281562625461739,0.0012470630916245938,0.00041332792871195804,0.0030512762275782105,-3.686026814428856e-06,-0.12080279002975036,3.2147236825260956e-06
G1,G0,G1_minus_G0,1,18051,Gibson County,IN,1,143,0.0013170408996169749,0.00024804733257073635,0.00042996307485179236,4.398459805605796e-05,0.0013170408996169749,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18059,Hancock County,IN,3,143,0.0011407852775998945,0.00018609892009117962,0.0003337559048150342,0.00011226659809405983,0.0011407852775998945,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,18061,Harrison County,IN,3,143,0.00396209843912687,0.0022448460379104157,0.0016013658183748755,-0.00037385989582044315,0.00396209843912687,0.0,0.0,0.0
