case,n,b_increment_rmse,P1_early_rmse,a_squared_term,b_squared_term,two_ab_cross_term,raw_b_below_zero,raw_b_above_one,increment_capped_at_remaining
G0,5497,0.02447124608709959,0.03127357803608131,0.00031550357040534174,0.0005988418850553871,6.369122771813821e-05,2282,0,0
G1,5497,0.025571710293026507,0.03171594652142742,0.00031550357040534174,0.0006539123673104778,3.648532603422458e-05,2224,0,0
G2,5497,0.017022048845808997,0.025692431805997985,0.00031550357040534174,0.00028975014690910746,5.4847334791407676e-05,2405,0,0
