candidate,outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
F2,3,a,P_anchor_a_t01h,4,29,106,106,16588,116,4862,0.010937549815432624,2067.1821921702644,3670150aa1ae1b0d96ab679efbae02509ce3fb8b9429dfccc422d619b2d9be45
F2,3,b,P_excess_b_t01h,0,50,314,314,20449,143,6864,0.9204651599909434,19922.83189464363,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
F2,3,b,P_excess_b_t01h,1,306,314,314,20592,144,6721,0.9186471589018724,20021.742738366444,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
F2,3,b,P_excess_b_t01h,2,408,314,314,20449,143,6864,0.9174713248895636,19892.87152234544,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
F2,3,b,P_excess_b_t01h,4,495,314,314,20449,143,6864,0.9201413915006307,19974.465411472796,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
F2,4,a,P_anchor_a_t01h,0,250,135,135,16159,113,5577,0.010857478494929452,1510.0733136440367,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
F2,4,a,P_anchor_a_t01h,1,124,135,135,16016,112,5720,0.012074071081176505,1580.9525651858198,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
F2,4,a,P_anchor_a_t01h,2,119,135,135,16445,115,5291,0.011349418542867133,1645.5655098931245,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
F2,4,a,P_anchor_a_t01h,3,48,135,135,16588,116,5148,0.010937549815432624,2067.1821921702644,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
F2,4,b,P_excess_b_t01h,0,104,237,237,20449,143,6864,0.9243763103631262,20002.429142041503,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
F2,4,b,P_excess_b_t01h,1,171,237,237,20592,144,6721,0.9225311485075818,20101.340374147465,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
F2,4,b,P_excess_b_t01h,2,295,237,237,20449,143,6864,0.9213824752617462,19972.45083298586,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
F2,4,b,P_excess_b_t01h,3,380,237,237,20449,143,6864,0.9201413915006307,19974.465411472796,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
