model,horizon,target_day,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E2_profile_huber_all,osi_target_t01h,2026-03-15,0.010792912462093648,0.005024563205794282,5736,0.6039539996120089,0.0071324048903316185,0.12218745158169939,27.16178521617852
E2_profile_huber_all,osi_target_t01h,2026-03-16,0.010239432413680413,0.004593754601121931,5736,0.2384614080622922,0.004890192639253123,0.05449304281672638,13.162482566248258
E2_profile_huber_all,osi_target_t01h,2026-03-17,0.01116349772590997,0.003559494984622653,5736,0.33874968516820747,0.0029292084714531252,0.043583852562725615,41.84100418410041
E2_profile_huber_all,osi_target_t01h,2026-03-18,0.005471814535242711,0.0008375593657683338,5736,-0.03352748076771839,0.0004768824461951129,0.011660342842649218,79.98605299860529
E2_profile_huber_all,osi_target_t01h,2026-03-19,0.001361608051161395,0.00039431511951484226,5736,-1.1015313411786578,0.0002576200676949178,0.024892117421246623,88.89470013947002
E2_profile_huber_all,osi_target_t06h,2026-03-14,0.01833505272081834,0.006842869535673324,4302,0.8088469308980039,0.01649432482642526,0.26658980304577384,28.661087866108787
E2_profile_huber_all,osi_target_t06h,2026-03-15,0.01086427073626408,0.005104241492077245,5736,0.5986997024557799,0.007116012384803211,0.1525659862327851,23.587866108786613
E2_profile_huber_all,osi_target_t06h,2026-03-16,0.01024559175284196,0.004482800980029302,5736,0.2375449538983332,0.0047907700285794155,0.0488471683479587,14.103905160390514
E2_profile_huber_all,osi_target_t06h,2026-03-17,0.011038800261998433,0.003629187945258197,5736,0.35343965363284524,0.0030111476523388097,0.04635975283177394,36.576011157601116
E2_profile_huber_all,osi_target_t06h,2026-03-18,0.005527758360545166,0.0010062422490103372,5736,-0.05476908302111205,0.0006908907487701906,0.01272539239321441,65.70781032078104
E2_profile_huber_all,osi_target_t06h,2026-03-19,0.0013008085262555162,0.0005404677409360068,5736,-0.9180432662875628,0.0004389723769297469,0.0068272328323360516,72.6115760111576
E2_profile_huber_all,osi_target_t24h,2026-03-15,0.01075915379362892,0.005016972428293543,5736,0.6064276740683812,0.006652782658548084,0.12219748463502357,21.739888423988845
E2_profile_huber_all,osi_target_t24h,2026-03-16,0.010205144343988564,0.004522781289702436,5736,0.24355309050520924,0.004533743750467948,0.04528296107223289,12.343096234309623
E2_profile_huber_all,osi_target_t24h,2026-03-17,0.010763405303125608,0.0035552268918134424,5736,0.3852978901126821,0.002978941476873871,0.04965654690698749,36.45397489539749
E2_profile_huber_all,osi_target_t24h,2026-03-18,0.005489813272683547,0.001013581763012074,5736,-0.040337939799899525,0.0006917416993223015,0.012245594782292606,67.25941422594143
E2_profile_huber_all,osi_target_t24h,2026-03-19,0.0014304252918608874,0.000616984294140219,5736,-1.3193271435995158,0.000510826196932564,0.00792688640347646,75.01743375174338
E2_profile_huber_all,osi_target_t48h,2026-03-16,0.009758654785960337,0.004231076276711717,5736,0.30829636297974305,0.0041208986461227235,0.05569292893471417,12.011854951185494
E2_profile_huber_all,osi_target_t48h,2026-03-17,0.010612887680281216,0.0035586428562136463,5736,0.4023699159518579,0.0028655681434162487,0.053833329510583866,31.171548117154813
