model,horizon,fold,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C0,osi_target_t01h,0,0.0067469594960947645,0.0027580723020106143,6864,0.9069759534251531,0.005698563291196271,0.25246718501723364,49.723193473193476
V18_C0,osi_target_t01h,1,0.010571187648977265,0.003787790201269374,6721,0.6424081274862554,0.00489041104825353,0.21395060666507099,51.569706888855826
V18_C0,osi_target_t01h,2,0.013206768052934397,0.004068154497334365,6864,0.6859380854038108,0.006043957134896822,0.294342243199764,51.777389277389275
V18_C0,osi_target_t01h,3,0.016136740602161116,0.003986596635134533,6864,0.5975743091247555,0.005770228724180268,0.28026598927927676,53.58391608391608
V18_C0,osi_target_t01h,4,0.011170562285658898,0.003350820073388493,6864,0.7861802964819409,0.005589960966202482,0.2402775819550439,50.349650349650354
V18_C0,osi_target_t06h,0,0.006529433148236702,0.002649356683160755,6624,0.8832542814856854,0.004925466542675002,0.23277619421804283,52.264492753623195
V18_C0,osi_target_t06h,1,0.010116678439245042,0.00403628527441689,6486,0.5230083392106708,0.004473991031713057,0.17155635576687825,0.0
V18_C0,osi_target_t06h,2,0.013196947012427233,0.004088744442385513,6624,0.6269826253824118,0.005289310590094259,0.2650159300735802,53.39673913043478
V18_C0,osi_target_t06h,3,0.01291030434777477,0.003863075553207695,6624,0.6041839556220736,0.005381457194161638,0.2557444588087321,50.875603864734295
V18_C0,osi_target_t06h,4,0.009161450343277783,0.0031277184543612277,6624,0.774083780996358,0.004883722597693941,0.22337960956658492,50.22644927536232
V18_C0,osi_target_t24h,0,0.004676682993211646,0.002042712177853166,5760,0.7586852324751436,0.002855380414547744,0.10055140601864812,58.454861111111114
V18_C0,osi_target_t24h,1,0.008743468525111582,0.003552848654410227,5640,0.11580697355329761,0.0028564829623386246,0.051490962632215836,0.0
V18_C0,osi_target_t24h,2,0.01294150909584878,0.003871927631508058,5760,0.4305609670440065,0.003467553903964496,0.1201706406684069,54.63541666666667
V18_C0,osi_target_t24h,3,0.006038402494602367,0.0027716584191973394,5760,0.5732417851971147,0.003270805234449554,0.08522292705513032,48.125
V18_C0,osi_target_t24h,4,0.00748451248944393,0.0024872075143957777,5760,0.5407972958823251,0.0028569722798584027,0.1120336722551267,54.548611111111114
V18_C0,osi_target_t48h,0,0.003639645418708036,0.001611630788902187,4608,0.6032422287155047,0.002002104038824337,0.06160437370759144,60.807291666666664
V18_C0,osi_target_t48h,1,0.005772820147779022,0.0024399082030299116,4512,0.09669729787354764,0.0020061376470167157,0.022602805539689977,0.0
V18_C0,osi_target_t48h,2,0.013045199895381785,0.0033120782708388977,4608,0.40559344432678557,0.0024291054402705123,0.06070923698494792,60.26475694444444
V18_C0,osi_target_t48h,3,0.00498290913178981,0.002041272071917311,4608,0.301822312145258,0.001973468749615792,0.0325462677327371,53.27690972222222
V18_C0,osi_target_t48h,4,0.007076946288214522,0.0021132699621036117,4608,0.250434947538446,0.00177975889409877,0.03959434637963103,59.1796875
V18_C1_E0,osi_target_t01h,0,0.006792135675419083,0.0027117181343635556,6864,0.9057260450983667,0.005674582590557294,0.25354177484764984,50.96153846153846
V18_C1_E0,osi_target_t01h,1,0.010394031007585717,0.003736048291987056,6721,0.6542930651913534,0.004934394502929604,0.21299322433429202,52.135098943609584
V18_C1_E0,osi_target_t01h,2,0.013199582726079857,0.004058094431534855,6864,0.6862797319932407,0.006093173597021704,0.2926764026968674,51.13636363636363
V18_C1_E0,osi_target_t01h,3,0.01598384731890706,0.00388308347644183,6864,0.605164032641532,0.005713019165101155,0.2771631912829391,54.10839160839161
V18_C1_E0,osi_target_t01h,4,0.010926029142568386,0.003250011719113783,6864,0.7954392236878599,0.005707816988789496,0.24654275190486313,49.60664335664335
V18_C1_E0,osi_target_t06h,0,0.006460413653255098,0.0026348069137584877,6624,0.8857093623956654,0.004876312084842283,0.2333140183738141,50.93599033816425
V18_C1_E0,osi_target_t06h,1,0.010015997135935885,0.003603339288412284,6486,0.5324551500287232,0.0041518315337079085,0.18253441060762993,36.401480111008325
V18_C1_E0,osi_target_t06h,2,0.013236500382429165,0.004054925000934751,6624,0.6247432885999485,0.005264181809596815,0.257321594928204,52.309782608695656
V18_C1_E0,osi_target_t06h,3,0.012486283687207729,0.003675960414701846,6624,0.6297570231780136,0.005104572397391592,0.23464297044408008,48.70169082125604
V18_C1_E0,osi_target_t06h,4,0.008898765770182658,0.002980969110041736,6624,0.7868533564376858,0.004732782081331873,0.2222914366775441,49.124396135265705
V18_C1_E0,osi_target_t24h,0,0.004676006104653076,0.002068686988798557,5760,0.7587550817185048,0.0029229391331474846,0.10096009802026333,56.14583333333333
V18_C1_E0,osi_target_t24h,1,0.008690387584105909,0.003610778243058664,5640,0.12651012458732347,0.0029551196169604853,0.045575361459356735,0.0
V18_C1_E0,osi_target_t24h,2,0.012820869372120618,0.0038387573473299555,5760,0.44112801502293486,0.003453035595228477,0.12131757109497565,53.57638888888889
V18_C1_E0,osi_target_t24h,3,0.005827216074762783,0.0026500630695669306,5760,0.6025705751489241,0.0032204858127871804,0.08897938832118714,48.15972222222222
V18_C1_E0,osi_target_t24h,4,0.007410450047646712,0.0024700706125642463,5760,0.549840344039539,0.0028253170476675643,0.11319217718612504,54.37499999999999
V18_C1_E0,osi_target_t48h,0,0.003637505972180902,0.0016125080878000183,4608,0.6037085337844058,0.002028016188659154,0.05918885925226993,61.154513888888886
V18_C1_E0,osi_target_t48h,1,0.005771282327149259,0.0025272190094480502,4512,0.09717849509476628,0.0020797500058155082,0.019264817252095546,0.0
V18_C1_E0,osi_target_t48h,2,0.012997021644656546,0.00326727110669638,4608,0.409975835805898,0.0023581858557281676,0.061932949881020403,59.982638888888886
V18_C1_E0,osi_target_t48h,3,0.004975131815818199,0.0020181512944894894,4608,0.3040000403807783,0.00200373094423524,0.030438147692580898,53.515625
V18_C1_E0,osi_target_t48h,4,0.006897809540513561,0.0021127583284630555,4608,0.2879017339600368,0.001862529249898588,0.04174960769874526,57.942708333333336
V18_C3,osi_target_t01h,0,0.006541321178004252,0.002647253429183568,6864,0.9125600363289674,0.005732876100707605,0.25354177484764984,48.586829836829835
V18_C3,osi_target_t01h,1,0.01026302044858961,0.0038598805322090255,6721,0.6629530016681426,0.004981303249420626,0.21299322433429202,16.53027823240589
V18_C3,osi_target_t01h,2,0.012899847398152354,0.0040243548612994865,6864,0.7003658437976806,0.0061143051744030185,0.2926764026968674,50.145687645687644
V18_C3,osi_target_t01h,3,0.015796981008485887,0.003823243061489669,6864,0.6143420798215709,0.0055982019167352525,0.2771631912829391,47.2027972027972
V18_C3,osi_target_t01h,4,0.010816713121384675,0.0031640663767522376,6864,0.7995120490457087,0.005587849478080051,0.24654275190486313,48.10606060606061
V18_C3,osi_target_t06h,0,0.006391079868926069,0.002547593902723483,6624,0.8881493549992444,0.004830136720481979,0.24186756147163213,49.51690821256038
V18_C3,osi_target_t06h,1,0.009842708287427995,0.0036942997724429536,6486,0.548493380269015,0.004228259170547198,0.19445498679607043,15.97286463151403
V18_C3,osi_target_t06h,2,0.012832778950453254,0.0039346099358838465,6624,0.6472853145690849,0.005276122267225474,0.2724774255106815,50.58876811594203
V18_C3,osi_target_t06h,3,0.012394881928140122,0.003438409401754992,6624,0.6351576691560974,0.004848122230331376,0.2531673837370529,47.43357487922705
V18_C3,osi_target_t06h,4,0.008736992392214486,0.002897691349513629,6624,0.7945326299439451,0.004759192663458433,0.22731661388561467,48.92814009661836
V18_C3,osi_target_t24h,0,0.004514862600042286,0.0020206050071437877,5760,0.7750960354995466,0.0029365401588073714,0.10692958324045752,52.760416666666664
V18_C3,osi_target_t24h,1,0.008550246531666049,0.0031140521539965416,5640,0.15445474361945777,0.0027137939800541537,0.07702214482383857,14.27304964539007
V18_C3,osi_target_t24h,2,0.012871017169192546,0.0037122406836255224,5760,0.43674749928945744,0.0034349137065203565,0.13341913184272436,52.11805555555556
V18_C3,osi_target_t24h,3,0.005628429621264626,0.002618825160450663,5760,0.6292234544601564,0.0033085899658709325,0.11902689375013996,47.604166666666664
V18_C3,osi_target_t24h,4,0.007493181384331496,0.0024344632844855384,5760,0.5397329419012711,0.00286506194544374,0.12669744976320305,51.11111111111111
V18_C3,osi_target_t48h,0,0.0035504896394874886,0.0015283259124396883,4608,0.622441901999129,0.0019138791055906433,0.04882786898780141,58.59375
V18_C3,osi_target_t48h,1,0.00555068590684626,0.0023007543665404975,4512,0.16487677709608795,0.002052515177992335,0.027612147370266456,16.555851063829788
V18_C3,osi_target_t48h,2,0.013447139127618725,0.0033047031066822624,4608,0.36840030674119684,0.0022958850519625602,0.05405995210824589,58.420138888888886
V18_C3,osi_target_t48h,3,0.004944064227660822,0.002112559792856215,4608,0.31266534917805755,0.0023960167313612506,0.04087412394900451,52.5390625
V18_C3,osi_target_t48h,4,0.006681419611960746,0.002013448103073295,4608,0.3318791483354425,0.0018281934830294316,0.047072645923407576,57.26996527777778
E2_profile_huber_all,osi_target_t01h,0,0.006577286143223382,0.002756345778655399,6864,0.9115958823480287,0.005869151392900142,0.26536548624739653,47.74184149184149
E2_profile_huber_all,osi_target_t01h,1,0.011085266172607106,0.003967763311817052,6721,0.6067829628534561,0.004988416842238262,0.2144694807212356,38.58056836780241
E2_profile_huber_all,osi_target_t01h,2,0.013403449315564149,0.0040645207124453036,6864,0.6765141221785649,0.006010401066876035,0.30192190279859404,50.276806526806524
E2_profile_huber_all,osi_target_t01h,3,0.015511239458571779,0.003915172171417548,6864,0.6281677388570281,0.006008013599026993,0.28077613645001365,50.80128205128205
E2_profile_huber_all,osi_target_t01h,4,0.011315589365050876,0.0033157834537675926,6864,0.7805922258039025,0.00569263493151679,0.2314156335361467,48.10606060606061
E2_profile_huber_all,osi_target_t06h,0,0.00634672293658833,0.0025733380703282065,6624,0.8896965534703551,0.004890864012861453,0.2520522844364255,50.739734299516904
E2_profile_huber_all,osi_target_t06h,1,0.010360487676107442,0.004161537431100184,6486,0.4997405616808357,0.004442627673745112,0.165956431325016,0.0
E2_profile_huber_all,osi_target_t06h,2,0.013355027291272885,0.003978902474323794,6624,0.617992688810012,0.005307938938615602,0.26658980304577384,52.264492753623195
E2_profile_huber_all,osi_target_t06h,3,0.012104485134656432,0.0036770214717570713,6624,0.6520530161099145,0.005421097945944227,0.2447573748640876,46.92028985507246
E2_profile_huber_all,osi_target_t06h,4,0.008638540021688245,0.002923896066424149,6624,0.7991371380876835,0.004638831599161396,0.2404763293121081,52.77777777777778
E2_profile_huber_all,osi_target_t24h,0,0.004463622207838633,0.002023479745337778,5760,0.7801720579276945,0.0029226764998594866,0.10277996306980572,56.232638888888886
E2_profile_huber_all,osi_target_t24h,1,0.008729423831972276,0.0036005602637521512,5640,0.11864526271993359,0.00290200894848811,0.048229922921121916,0.0
E2_profile_huber_all,osi_target_t24h,2,0.013462214083984984,0.003960477063459415,5760,0.38381606023993553,0.0034391596533492564,0.12219748463502357,53.05555555555556
E2_profile_huber_all,osi_target_t24h,3,0.0058674645056469715,0.0027265441436910773,5760,0.5970615457247073,0.003338808249857039,0.08957501911807386,46.44097222222222
E2_profile_huber_all,osi_target_t24h,4,0.007497252048118853,0.0024281406784371204,5760,0.5392327267687488,0.0027618074679254395,0.11091458987976455,56.19791666666667
E2_profile_huber_all,osi_target_t48h,0,0.0036775403517404935,0.0017215397575202223,4608,0.594937364898606,0.0020457108455638803,0.052766575016795894,57.356770833333336
E2_profile_huber_all,osi_target_t48h,1,0.005778252370707027,0.002412259337384248,4512,0.09499648259108917,0.0019824051913338698,0.02096919386197511,0.0
E2_profile_huber_all,osi_target_t48h,2,0.01335252288911886,0.0032639863672769566,4608,0.3772571122824213,0.002257732987176017,0.05569292893471417,61.28472222222222
E2_profile_huber_all,osi_target_t48h,3,0.005088992967397846,0.0021218679449204396,4608,0.2717781055084605,0.0019765711108493973,0.0279768833258745,43.20746527777778
E2_profile_huber_all,osi_target_t48h,4,0.006862224171591133,0.002020262290942605,4608,0.2952301227470483,0.0017165116181063695,0.04222849559529671,60.11284722222222
E1_best_subset,osi_target_t01h,0,0.006969171687554707,0.0029246831046897156,6864,0.9007475241957381,0.00601175468407984,0.23944574304254634,46.561771561771565
E1_best_subset,osi_target_t01h,1,0.010581751891749862,0.003944047003472288,6721,0.6416930564681214,0.005321500669542117,0.21318752443650069,49.0700788573129
E1_best_subset,osi_target_t01h,2,0.01273006611108947,0.004060831928783398,6864,0.708201207043013,0.006299763471171529,0.31542849066124673,48.98018648018648
E1_best_subset,osi_target_t01h,3,0.016123904616031522,0.004124285706004872,6864,0.598214274313561,0.006087909602165299,0.28569638460874586,51.078088578088575
E1_best_subset,osi_target_t01h,4,0.010692769514436389,0.0033745463841725826,6864,0.8040803188873132,0.00595500002985606,0.2602135305862962,46.18298368298368
E1_best_subset,osi_target_t06h,0,0.006460413653255098,0.0026348069137584877,6624,0.8857093623956654,0.004876312084842283,0.2333140183738141,50.93599033816425
E1_best_subset,osi_target_t06h,1,0.010015997135935885,0.003603339288412284,6486,0.5324551500287232,0.0041518315337079085,0.18253441060762993,36.401480111008325
E1_best_subset,osi_target_t06h,2,0.013236500382429165,0.004054925000934751,6624,0.6247432885999485,0.005264181809596815,0.257321594928204,52.309782608695656
E1_best_subset,osi_target_t06h,3,0.012486283687207729,0.003675960414701846,6624,0.6297570231780136,0.005104572397391592,0.23464297044408008,48.70169082125604
E1_best_subset,osi_target_t06h,4,0.008898765770182658,0.002980969110041736,6624,0.7868533564376858,0.004732782081331873,0.2222914366775441,49.124396135265705
E1_best_subset,osi_target_t24h,0,0.004685920425420879,0.00208282460568548,5760,0.757730996189137,0.002937011454560903,0.10092317907224757,55.57291666666667
E1_best_subset,osi_target_t24h,1,0.008678691184303502,0.003631200865868582,5640,0.12885980378949446,0.0029907215514177864,0.04569197335626234,0.0
E1_best_subset,osi_target_t24h,2,0.012809123153253183,0.0038520524973485433,5760,0.4421516001282404,0.003487821415157207,0.12134283903376612,53.35069444444444
E1_best_subset,osi_target_t24h,3,0.005835055673589984,0.00266339311469804,5760,0.6015004987881039,0.003237422120478179,0.08902268225904543,47.552083333333336
E1_best_subset,osi_target_t24h,4,0.007404605207587219,0.002479520819091796,5760,0.5505501723376847,0.0028513924618318205,0.1131697262085055,53.97569444444444
E1_best_subset,osi_target_t48h,0,0.0036559081164339066,0.0016285653379875659,4608,0.5996887139139309,0.0020488304851513876,0.05932703489780576,60.63368055555556
E1_best_subset,osi_target_t48h,1,0.00576389966607126,0.0025404161450545753,4512,0.0994868077739346,0.002108132756807626,0.01928479155543003,0.0
E1_best_subset,osi_target_t48h,2,0.012988033131756097,0.0032836024785207643,4608,0.41079165439468945,0.002393052415845547,0.06225349433347234,59.592013888888886
E1_best_subset,osi_target_t48h,3,0.0049817832253469425,0.0020324851379942745,4608,0.30213778807592606,0.002020790895674461,0.03047562052244753,52.864583333333336
E1_best_subset,osi_target_t48h,4,0.006903404410306528,0.0021287491859103887,4608,0.28674608800554624,0.0018880480012458698,0.04206897192322485,57.443576388888886
E3_best_subset,osi_target_t01h,0,0.006604771621148448,0.002785654835395258,6864,0.9108554838569504,0.0058096797983014275,0.2556360521082559,48.26631701631702
E3_best_subset,osi_target_t01h,1,0.01049758880930137,0.003823861423127047,6721,0.6473700543429847,0.005110592786107345,0.20534382284575625,50.21574170510341
E3_best_subset,osi_target_t01h,2,0.013059522869278695,0.004088707397524499,6864,0.6929021376573827,0.006193054226269013,0.28441276668246857,42.11829836829837
E3_best_subset,osi_target_t01h,3,0.015868134093903814,0.003982662662140175,6864,0.610860078986349,0.005895596851725484,0.27927076868336836,49.155011655011656
E3_best_subset,osi_target_t01h,4,0.011147185620920933,0.003307484428699981,6864,0.7870742821779797,0.005737865089181797,0.2359548050689636,48.86363636363637
E3_best_subset,osi_target_t06h,0,0.006243031435247307,0.0025810006870287464,6624,0.8932713425507238,0.004969846769412312,0.2451375049851149,49.47161835748793
E3_best_subset,osi_target_t06h,1,0.010151837368149563,0.0037063987660202677,6486,0.5196871587186318,0.004139820730081356,0.18042439129987523,32.40826395312982
E3_best_subset,osi_target_t06h,2,0.013235996810455328,0.003993703654992839,6624,0.624771840734246,0.0053222922103880075,0.2625449995059635,51.222826086956516
E3_best_subset,osi_target_t06h,3,0.012197949524326701,0.0036053538566456463,6624,0.6466589484224698,0.005204876342369867,0.23883849224563308,47.66002415458937
E3_best_subset,osi_target_t06h,4,0.008827783971995979,0.0029108515468727293,6624,0.7902401611691268,0.004639595181962091,0.2328110605357941,53.10990338164251
E3_best_subset,osi_target_t24h,0,0.004689608117243491,0.0020878977815954746,5760,0.7573495279228812,0.002948198516424949,0.10095847378597636,55.46875
E3_best_subset,osi_target_t24h,1,0.008677159476746958,0.0036256929885307176,5640,0.1291672727947789,0.00298113099960922,0.04571490443176606,0.0
E3_best_subset,osi_target_t24h,2,0.012806754147312428,0.003853181865415728,5760,0.4423579255651465,0.0034916278958866498,0.12133925926551027,53.333333333333336
E3_best_subset,osi_target_t24h,3,0.005834621853282538,0.0026622297037253205,5760,0.6015597512646293,0.0032372678034666247,0.0889783838971341,47.58680555555556
E3_best_subset,osi_target_t24h,4,0.007405047146941905,0.0024827433932597663,5760,0.550496520457868,0.002858171964261107,0.11315170058196822,53.87152777777777
E3_best_subset,osi_target_t48h,0,0.003654209591072724,0.0016271473062328366,4608,0.6000605946621462,0.0020479384739479065,0.05940211912926474,60.7421875
E3_best_subset,osi_target_t48h,1,0.005762528450653586,0.0025373541808343105,4512,0.09991521588896224,0.002104695987836518,0.019250417632847395,0.0
E3_best_subset,osi_target_t48h,2,0.01298530449303372,0.0032833190847344294,4608,0.4110392003945216,0.00239222136821517,0.062368074966302915,59.635416666666664
E3_best_subset,osi_target_t48h,3,0.004981318912226444,0.002029406275380637,4608,0.30226786659064486,0.0020182480491104946,0.030462952561772477,53.146701388888886
E3_best_subset,osi_target_t48h,4,0.006902499418547896,0.002130314937562591,4608,0.28693308171592136,0.001891347516936,0.04203081823254672,57.291666666666664
E1_aligned,osi_target_t01h,0,0.006646631854082401,0.0027250484623532294,6864,0.9097219290062131,0.005819232267367118,0.23944574304254634,47.654428904428904
E1_aligned,osi_target_t01h,1,0.010317910353487909,0.0039122327953797715,6721,0.6593380910278221,0.005091071137004599,0.21318752443650069,17.780092248177354
E1_aligned,osi_target_t01h,2,0.01265325561286941,0.003992214543198682,6864,0.7117118867536372,0.006179312852279829,0.31542849066124673,48.921911421911425
E1_aligned,osi_target_t01h,3,0.015853364369125694,0.003906107406817902,6864,0.611584148329158,0.005728304516946497,0.28569638460874586,45.51282051282051
E1_aligned,osi_target_t01h,4,0.010568307863839476,0.0031792352809770835,6864,0.8086147047903143,0.005666391331770198,0.2602135305862962,46.88228438228438
E1_aligned,osi_target_t06h,0,0.006414066244971592,0.002598295538581975,6624,0.8873433364275352,0.004930262305079676,0.2322606421439392,48.70169082125604
E1_aligned,osi_target_t06h,1,0.009888702886520126,0.003754121563018306,6486,0.5442637746078482,0.004361723848221271,0.1944847322528138,17.298797409805736
E1_aligned,osi_target_t06h,2,0.012653648509202553,0.003918631110138235,6624,0.6570635496434467,0.005359763628710176,0.28078105475604925,49.57729468599034
E1_aligned,osi_target_t06h,3,0.012378104182788197,0.003522600075942606,6624,0.6361447037883184,0.004976249440399335,0.25662433594417666,45.848429951690825
E1_aligned,osi_target_t06h,4,0.008698779947356223,0.0029394177922209344,6624,0.7963259795502334,0.004837696078148072,0.23223387599017817,47.58454106280193
E1_aligned,osi_target_t24h,0,0.004503385603322929,0.002059872788378446,5760,0.7762380154427386,0.0030376209018181393,0.10852919671978775,51.85763888888889
E1_aligned,osi_target_t24h,1,0.008545465949150574,0.0031592857115719268,5640,0.15539999562453566,0.0028053318121476324,0.07678069654676656,16.20567375886525
E1_aligned,osi_target_t24h,2,0.01280296081124886,0.003723993120720152,5760,0.4426882216713667,0.0035113110482178343,0.13347403599068747,51.09375000000001
E1_aligned,osi_target_t24h,3,0.0057463912422369414,0.002709887232687899,5760,0.6135189921495587,0.0034379398841125446,0.11415617230984289,46.05902777777778
E1_aligned,osi_target_t24h,4,0.007490261587002136,0.002480659291510859,5760,0.5400915678648821,0.002955085852139335,0.12428242300526623,49.73958333333333
E1_aligned,osi_target_t48h,0,0.003575698521141551,0.0015709631492803935,4608,0.6170614575112805,0.0020003590150526286,0.04987669299113123,57.443576388888886
E1_aligned,osi_target_t48h,1,0.005552823730333755,0.0023379188679834187,4512,0.16423336477547412,0.0021056406471195678,0.027936602953676854,18.949468085106382
E1_aligned,osi_target_t48h,2,0.013372869274470199,0.003316760989934673,4608,0.3753578127285109,0.002371006890365074,0.05579837781892648,57.248263888888886
E1_aligned,osi_target_t48h,3,0.004975623091103343,0.0021622216939971672,4608,0.30386257891310153,0.00249071804247447,0.041156561361531695,50.93315972222222
E1_aligned,osi_target_t48h,4,0.006691934169743639,0.0020614338860752623,4608,0.3297746485941545,0.0019058418504515934,0.04652002964909931,55.70746527777778
E3_aligned,osi_target_t01h,0,0.006293502160464111,0.002623482101587155,6864,0.9190598895239697,0.0058243786204589705,0.2556360521082559,47.2027972027972
E3_aligned,osi_target_t01h,1,0.01036423202708668,0.0039840440494699056,6721,0.6562724602968677,0.0051190118765297166,0.20534382284575625,9.492635024549918
E3_aligned,osi_target_t01h,2,0.01273679006206899,0.003971884397471932,6864,0.7078928725957008,0.006140148249900972,0.28441276668246857,46.78030303030303
E3_aligned,osi_target_t01h,3,0.015629801889792964,0.0038221576954736106,6864,0.6224617057097338,0.00572161038591625,0.27927076868336836,44.79895104895105
E3_aligned,osi_target_t01h,4,0.010991153703692053,0.003178236250659807,6864,0.7929933884683832,0.005576505507585793,0.2359548050689636,48.6013986013986
E3_aligned,osi_target_t06h,0,0.006183062426235827,0.002535036614926129,6624,0.8953119125858033,0.004920344928947106,0.24776273941410434,48.26388888888889
E3_aligned,osi_target_t06h,1,0.009971656551383608,0.003826960206097583,6486,0.5365856072117079,0.004354015956514941,0.1918681142004822,8.834412580943571
E3_aligned,osi_target_t06h,2,0.012743095585138624,0.0039025813433960516,6624,0.6521980627616355,0.0053312814550676,0.27330678533015684,47.44867149758454
E3_aligned,osi_target_t06h,3,0.012177586213644023,0.003435545622877129,6624,0.6478377019091802,0.0049577166467356226,0.2579266616049424,45.04830917874396
E3_aligned,osi_target_t06h,4,0.008770391534851606,0.0029020617068467656,6624,0.7929587357938034,0.00476192549785443,0.2262124170171779,49.45652173913043
E3_aligned,osi_target_t24h,0,0.004499227081310032,0.0020622768428364214,5760,0.776651077787285,0.0029909353933258182,0.10746030889167477,51.354166666666664
E3_aligned,osi_target_t24h,1,0.008543801263261722,0.003215826288943608,5640,0.15572902549164702,0.0028260016717103777,0.0752242168556141,6.436170212765957
E3_aligned,osi_target_t24h,2,0.012908094191184185,0.003727537492881393,5760,0.43349774761326476,0.0035042244930294053,0.13060398780968957,49.02777777777778
E3_aligned,osi_target_t24h,3,0.005657416239301914,0.002662433561167577,5760,0.6253945949074511,0.003382457281894085,0.11676750100299901,45.260416666666664
E3_aligned,osi_target_t24h,4,0.007467779843277368,0.002416349376292537,5760,0.5428482210228728,0.002857001025899422,0.12513177026682834,51.822916666666664
E3_aligned,osi_target_t48h,0,0.003602485901082393,0.0015832594407493104,4608,0.6113023903947937,0.0019632692360956362,0.04775002187308521,57.07465277777778
E3_aligned,osi_target_t48h,1,0.005567279335630001,0.0024092518911987136,4512,0.15987621640524585,0.0021821497690676797,0.027616365026785904,7.535460992907801
E3_aligned,osi_target_t48h,2,0.01351002143665806,0.0033346224833582694,4608,0.36247944745285865,0.0023713763498349545,0.049214771784270535,55.12152777777778
E3_aligned,osi_target_t48h,3,0.004907403433180032,0.0021292292735407676,4608,0.32282088492387273,0.0024440784288560268,0.040256525709922344,50.73784722222222
E3_aligned,osi_target_t48h,4,0.006659721495106579,0.0019991029889505837,4608,0.33621158829063025,0.0018204945992784235,0.045927116508448745,57.57378472222222
V18_current_rule,osi_target_t01h,0,0.006541321178004252,0.002647253429183568,6864,0.9125600363289674,0.005732876100707605,0.25354177484764984,48.586829836829835
V18_current_rule,osi_target_t01h,1,0.01026302044858961,0.0038598805322090255,6721,0.6629530016681426,0.004981303249420626,0.21299322433429202,16.53027823240589
V18_current_rule,osi_target_t01h,2,0.012899847398152354,0.0040243548612994865,6864,0.7003658437976806,0.0061143051744030185,0.2926764026968674,50.145687645687644
V18_current_rule,osi_target_t01h,3,0.015796981008485887,0.003823243061489669,6864,0.6143420798215709,0.0055982019167352525,0.2771631912829391,47.2027972027972
V18_current_rule,osi_target_t01h,4,0.010816713121384675,0.0031640663767522376,6864,0.7995120490457087,0.005587849478080051,0.24654275190486313,48.10606060606061
V18_current_rule,osi_target_t06h,0,0.006391079868926069,0.002547593902723483,6624,0.8881493549992444,0.004830136720481979,0.24186756147163213,49.51690821256038
V18_current_rule,osi_target_t06h,1,0.009842708287427995,0.0036942997724429536,6486,0.548493380269015,0.004228259170547198,0.19445498679607043,15.97286463151403
V18_current_rule,osi_target_t06h,2,0.012832778950453254,0.0039346099358838465,6624,0.6472853145690849,0.005276122267225474,0.2724774255106815,50.58876811594203
V18_current_rule,osi_target_t06h,3,0.012394881928140122,0.003438409401754992,6624,0.6351576691560974,0.004848122230331376,0.2531673837370529,47.43357487922705
V18_current_rule,osi_target_t06h,4,0.008736992392214486,0.002897691349513629,6624,0.7945326299439451,0.004759192663458433,0.22731661388561467,48.92814009661836
V18_current_rule,osi_target_t24h,0,0.004676006104653076,0.002068686988798557,5760,0.7587550817185048,0.0029229391331474846,0.10096009802026333,56.14583333333333
V18_current_rule,osi_target_t24h,1,0.008690387584105909,0.003610778243058664,5640,0.12651012458732347,0.0029551196169604853,0.045575361459356735,0.0
V18_current_rule,osi_target_t24h,2,0.012820869372120618,0.0038387573473299555,5760,0.44112801502293486,0.003453035595228477,0.12131757109497565,53.57638888888889
V18_current_rule,osi_target_t24h,3,0.005827216074762783,0.0026500630695669306,5760,0.6025705751489241,0.0032204858127871804,0.08897938832118714,48.15972222222222
V18_current_rule,osi_target_t24h,4,0.007410450047646712,0.0024700706125642463,5760,0.549840344039539,0.0028253170476675643,0.11319217718612504,54.37499999999999
V18_current_rule,osi_target_t48h,0,0.003637505972180902,0.0016125080878000183,4608,0.6037085337844058,0.002028016188659154,0.05918885925226993,61.154513888888886
V18_current_rule,osi_target_t48h,1,0.005771282327149259,0.0025272190094480502,4512,0.09717849509476628,0.0020797500058155082,0.019264817252095546,0.0
V18_current_rule,osi_target_t48h,2,0.012997021644656546,0.00326727110669638,4608,0.409975835805898,0.0023581858557281676,0.061932949881020403,59.982638888888886
V18_current_rule,osi_target_t48h,3,0.004975131815818199,0.0020181512944894894,4608,0.3040000403807783,0.00200373094423524,0.030438147692580898,53.515625
V18_current_rule,osi_target_t48h,4,0.006897809540513561,0.0021127583284630555,4608,0.2879017339600368,0.001862529249898588,0.04174960769874526,57.942708333333336
V19_best_by_horizon,osi_target_t01h,0,0.006646631854082401,0.0027250484623532294,6864,0.9097219290062131,0.005819232267367118,0.23944574304254634,47.654428904428904
V19_best_by_horizon,osi_target_t01h,1,0.010317910353487909,0.0039122327953797715,6721,0.6593380910278221,0.005091071137004599,0.21318752443650069,17.780092248177354
V19_best_by_horizon,osi_target_t01h,2,0.01265325561286941,0.003992214543198682,6864,0.7117118867536372,0.006179312852279829,0.31542849066124673,48.921911421911425
V19_best_by_horizon,osi_target_t01h,3,0.015853364369125694,0.003906107406817902,6864,0.611584148329158,0.005728304516946497,0.28569638460874586,45.51282051282051
