feature_set,component,candidate,horizon,rmse,mae,n,best_rounds,final_rounds,fold_train_q95,final_train_q95,classification_rounds,magnitude_rounds,final_classification_rounds,final_magnitude_rounds,positive_rows
base,P_t,l2,osi_target_t01h,0.019015694046351946,0.005589108064343094,34177,"[179, 356, 140, 271, 360]",261.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,P_t,l2,osi_target_t06h,0.01652157662305222,0.0054301636924241935,32982,"[175, 35, 201, 99, 269]",155.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,P_t,l2,osi_target_t24h,0.01350204992139251,0.004607591748952404,28680,"[218, 12, 303, 39, 331]",180.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,P_t,l2,osi_target_t48h,0.012221488099174468,0.003660085672865705,22944,"[310, 9, 336, 27, 194]",175.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,P_t,weighted_l2,osi_target_t01h,0.019036103406955062,0.006211726100027746,34177,"[100, 206, 244, 141, 190]",176.0,"[0.042559359799999946, 0.04184933575, 0.040003796199999886, 0.043476921999999994, 0.04180986039999986]",0.041948447,,,,,
base,P_t,weighted_l2,osi_target_t06h,0.016962222376487396,0.006152605813623342,32982,"[265, 51, 286, 349, 181]",226.0,"[0.03566994304999992, 0.034185903499999996, 0.03200717899999994, 0.03607305154999982, 0.03441929]",0.03441795089999992,,,,,
base,P_t,weighted_l2,osi_target_t24h,0.014100273747055981,0.005414399960653334,28680,"[170, 22, 342, 178, 147]",171.0,"[0.02316009814999999, 0.022516476299999987, 0.021759778599999988, 0.023205545499999997, 0.022708591899999995]",0.022742339099999998,,,,,
base,P_t,weighted_l2,osi_target_t48h,0.01254030064179061,0.004591709671883832,22944,"[345, 19, 529, 26, 117]",207.0,"[0.014525994, 0.01425066785000005, 0.01271782075, 0.0141162935, 0.0141162935]",0.01397942999999997,,,,,
base,N_t,tweedie,osi_target_t01h,0.004331282789481653,0.0006391719076034554,34177,"[266, 195, 221, 86, 163]",186.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,N_t,tweedie,osi_target_t06h,0.003739131060217888,0.0006223395708053994,32982,"[237, 105, 145, 88, 108]",136.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,N_t,tweedie,osi_target_t24h,0.003770001070300621,0.0006272196116499151,28680,"[265, 107, 149, 77, 170]",153.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,N_t,tweedie,osi_target_t48h,0.003446315603750291,0.00047380422448649995,22944,"[249, 50, 205, 85, 100]",137.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,N_t,hurdle,osi_target_t01h,0.00438371216737224,0.0006273868842841017,34177,,,,,"[128, 131, 185, 87, 202]","[420, 89, 452, 138, 112]",146.0,242.0,13456.0
base,N_t,hurdle,osi_target_t06h,0.00376709643915525,0.0005924812046903068,32982,,,,,"[172, 80, 172, 154, 109]","[935, 70, 172, 147, 189]",137.0,302.0,13006.0
base,N_t,hurdle,osi_target_t24h,0.003820137338340891,0.0006068687421842256,28680,,,,,"[128, 111, 199, 95, 160]","[368, 102, 253, 144, 134]",138.0,200.0,11297.0
base,N_t,hurdle,osi_target_t48h,0.0034514426683510736,0.0004692362075009977,22944,,,,,"[80, 94, 115, 122, 115]","[632, 20, 542, 8, 180]",105.0,276.0,8669.0
