model,horizon,component,component_key,raw_rmse,weighted_error_rmse,weighted_error_correlation_with_osi_error,n
E1_best_subset,osi_target_t06h,P_t,base__P_t__huber__osi_target_t06h,0.01652157662305222,0.006608630649220889,0.9811615063625565,32982
E1_best_subset,osi_target_t06h,N_t,base__N_t__huber__osi_target_t06h,0.0037219957474193405,0.0013026985115967692,0.42425154260570086,32982
E1_best_subset,osi_target_t06h,D_t,base__D_t__huber__osi_target_t06h,0.016202205544816124,0.004050551386204031,0.9025025634071177,32982
E1_best_subset,osi_target_t06h,R_t,base__R_t__huber__osi_target_t06h,0.004051399038536567,0.00040513990385365674,-0.4588953503888609,32982
E1_best_subset,osi_target_t24h,P_t,base__P_t__huber__osi_target_t24h,0.01350204992139251,0.005400819968557004,0.9803217796632235,28680
E1_best_subset,osi_target_t24h,N_t,base__N_t__huber__osi_target_t24h,0.0037461377320231674,0.0013111482062081086,0.5306839391490474,28680
E1_best_subset,osi_target_t24h,D_t,base__D_t__huber__osi_target_t24h,0.011650479869733367,0.0029126199674333417,0.866330280463125,28680
E1_best_subset,osi_target_t24h,R_t,base__R_t__tweedie__osi_target_t24h,0.003475774998975908,0.00034757749989759083,-0.43871568081564133,28680
E1_best_subset,osi_target_t48h,P_t,base__P_t__huber__osi_target_t48h,0.012221488099174468,0.004888595239669787,0.9792826884148504,22944
E1_best_subset,osi_target_t48h,N_t,base__N_t__huber__osi_target_t48h,0.003435584367091952,0.0012024545284821833,0.5423669486116489,22944
E1_best_subset,osi_target_t48h,D_t,base__D_t__huber__osi_target_t48h,0.010598166807220042,0.0026495417018050104,0.8675497338619288,22944
E1_best_subset,osi_target_t48h,R_t,base__R_t__hurdle__osi_target_t48h,0.0032937924323971557,0.00032937924323971557,-0.4705042559527831,22944
E2_profile_huber_all,osi_target_t01h,P_t,profile__P_t__huber__osi_target_t01h,0.01916478173682131,0.007665912694728524,0.9837886775913686,34177
E2_profile_huber_all,osi_target_t01h,N_t,profile__N_t__huber__osi_target_t01h,0.00426717822943568,0.0014935123803024876,0.45701107362541027,34177
E2_profile_huber_all,osi_target_t01h,D_t,profile__D_t__huber__osi_target_t01h,0.017349839511146076,0.004337459877786519,0.8977892198849841,34177
E2_profile_huber_all,osi_target_t01h,R_t,profile__R_t__huber__osi_target_t01h,0.0040717591372742565,0.0004071759137274256,-0.4091519245582099,34177
E2_profile_huber_all,osi_target_t06h,P_t,profile__P_t__huber__osi_target_t06h,0.01644360079150773,0.006577440316603093,0.9812124333798696,32982
E2_profile_huber_all,osi_target_t06h,N_t,profile__N_t__huber__osi_target_t06h,0.0037204715240219317,0.001302165033407676,0.4300694484443644,32982
E2_profile_huber_all,osi_target_t06h,D_t,profile__D_t__huber__osi_target_t06h,0.01610495862636507,0.0040262396565912675,0.9003861894754105,32982
E2_profile_huber_all,osi_target_t06h,R_t,profile__R_t__huber__osi_target_t06h,0.004047605959615675,0.0004047605959615675,-0.45463468068390134,32982
E2_profile_huber_all,osi_target_t24h,P_t,profile__P_t__huber__osi_target_t24h,0.013794760267163498,0.005517904106865399,0.9814415550904734,28680
E2_profile_huber_all,osi_target_t24h,N_t,profile__N_t__huber__osi_target_t24h,0.0037575952851821234,0.001315158349813743,0.5252023820420253,28680
E2_profile_huber_all,osi_target_t24h,D_t,profile__D_t__huber__osi_target_t24h,0.011965426954501864,0.002991356738625466,0.8731899172620915,28680
E2_profile_huber_all,osi_target_t24h,R_t,profile__R_t__huber__osi_target_t24h,0.0034564120045368556,0.0003456412004536856,-0.42420276716832284,28680
E2_profile_huber_all,osi_target_t48h,P_t,profile__P_t__huber__osi_target_t48h,0.012377525851893879,0.004951010340757552,0.9800966599659718,22944
E2_profile_huber_all,osi_target_t48h,N_t,profile__N_t__huber__osi_target_t48h,0.00344272859769716,0.001204955009194006,0.5395717966638203,22944
E2_profile_huber_all,osi_target_t48h,D_t,profile__D_t__huber__osi_target_t48h,0.010870149743212584,0.002717537435803146,0.8723731459130971,22944
E2_profile_huber_all,osi_target_t48h,R_t,profile__R_t__huber__osi_target_t48h,0.0032859819781058015,0.00032859819781058013,-0.4663224140468237,22944
E3_best_subset,osi_target_t01h,P_t,base__P_t__huber__osi_target_t01h,0.019011034549594547,0.007604413819837818,0.9802929754679669,34177
E3_best_subset,osi_target_t01h,N_t,base__N_t__huber__osi_target_t01h,0.0042650244372151695,0.0014927585530253094,0.4653340869914373,34177
E3_best_subset,osi_target_t01h,D_t,profile__D_t__weighted_l2__osi_target_t01h,0.01739762394529831,0.004349405986324577,0.8868727390668244,34177
E3_best_subset,osi_target_t01h,R_t,base__R_t__huber__osi_target_t01h,0.004083139896598338,0.0004083139896598338,-0.417480558983876,34177
E3_best_subset,osi_target_t06h,P_t,profile__P_t__l2__osi_target_t06h,0.01644360079150773,0.006577440316603093,0.978089984111362,32982
E3_best_subset,osi_target_t06h,N_t,base__N_t__huber__osi_target_t06h,0.0037219957474193405,0.0013026985115967692,0.4284116648284243,32982
E3_best_subset,osi_target_t06h,D_t,base__D_t__huber__osi_target_t06h,0.016202205544816124,0.004050551386204031,0.8934002407238382,32982
E3_best_subset,osi_target_t06h,R_t,base__R_t__huber__osi_target_t06h,0.004051399038536567,0.00040513990385365674,-0.45726293453949984,32982
E3_best_subset,osi_target_t24h,P_t,base__P_t__huber__osi_target_t24h,0.01350204992139251,0.005400819968557004,0.9803331444702819,28680
E3_best_subset,osi_target_t24h,N_t,base__N_t__huber__osi_target_t24h,0.0037461377320231674,0.0013111482062081086,0.5308086038975288,28680
E3_best_subset,osi_target_t24h,D_t,base__D_t__huber__osi_target_t24h,0.011650479869733367,0.0029126199674333417,0.8662356624527183,28680
E3_best_subset,osi_target_t24h,R_t,profile__R_t__hurdle__osi_target_t24h,0.00348623732065957,0.00034862373206595706,-0.43936960771404454,28680
E3_best_subset,osi_target_t48h,P_t,base__P_t__huber__osi_target_t48h,0.012221488099174468,0.004888595239669787,0.9793110870860644,22944
E3_best_subset,osi_target_t48h,N_t,base__N_t__huber__osi_target_t48h,0.003435584367091952,0.0012024545284821833,0.542461355366129,22944
E3_best_subset,osi_target_t48h,D_t,base__D_t__huber__osi_target_t48h,0.010598166807220042,0.0026495417018050104,0.8674425499076632,22944
E3_best_subset,osi_target_t48h,R_t,profile__R_t__hurdle__osi_target_t48h,0.003302335378728354,0.0003302335378728354,-0.47369723822017945,22944
