model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,family,mask,components_replaced
E1_subset_0000,osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213,E1,0000,none
E1_subset_0001,osi_target_t01h,0.011867310981700052,0.0035493901097180267,34177,0.7284665756585271,0.005670724855755917,0.29271118462081047,51.048951048951054,E1,0001,R_t
E1_subset_0010,osi_target_t01h,0.011842047664998964,0.0035909431663389145,34177,0.7296214342853689,0.005761411979243343,0.29598118311486843,49.97220352868889,E1,0010,D_t
E1_subset_0011,osi_target_t01h,0.0118457026119999,0.0036145710471660562,34177,0.7294545084531869,0.005804552985433101,0.2960159650388115,49.4718670450888,E1,0011,D_t+R_t
E1_subset_0100,osi_target_t01h,0.01187346073541773,0.003461723805660112,34177,0.7281850803209503,0.005505066772296618,0.2928637500076441,53.22585364426369,E1,0100,N_t
E1_subset_0101,osi_target_t01h,0.011873861529425333,0.0034833268893921594,34177,0.7281667295414933,0.0055475618643440975,0.29289853193158716,52.681627995435534,E1,0101,N_t+R_t
E1_subset_0110,osi_target_t01h,0.011847448326404645,0.0035238780245465864,34177,0.7293747613957882,0.005639814942871631,0.2961685304256451,51.46736109079205,E1,0110,N_t+D_t
E1_subset_0111,osi_target_t01h,0.011849627666700176,0.0035464136267219066,34177,0.7292751891137725,0.005682076995884119,0.2962033123495882,50.9845802732832,E1,0111,N_t+D_t+R_t
E1_subset_1000,osi_target_t01h,0.011813005992705973,0.0037575609826910068,34177,0.7309459716324453,0.006063195667346087,0.31524114335047004,46.90873979576908,E1,1000,P_t
E1_subset_1001,osi_target_t01h,0.011819195530771699,0.003781582921746542,34177,0.7306639508781009,0.006106286917165686,0.3152759252744131,46.53421891915615,E1,1001,P_t+R_t
E1_subset_1010,osi_target_t01h,0.011861933984801046,0.0038432421996288384,34177,0.7287125797646213,0.006195532480677153,0.3185459237684711,45.84369605290107,E1,1010,P_t+D_t
E1_subset_1011,osi_target_t01h,0.011869701511894721,0.0038685643035223,34177,0.7283571702121843,0.00623930987749595,0.31858070569241415,45.42821195540861,E1,1011,P_t+D_t+R_t
E1_subset_1100,osi_target_t01h,0.011810897028430155,0.003684597787022698,34177,0.7310420309561265,0.005937753411119542,0.31542849066124673,48.37171197003833,E1,1100,P_t+N_t
E1_subset_1101,osi_target_t01h,0.01181581497595573,0.0037077528890030395,34177,0.7308180011369607,0.0059811074790986594,0.3154632725851898,47.91819059601487,E1,1101,P_t+N_t+R_t
E1_subset_1110,osi_target_t01h,0.011857479288517374,0.00377150179800497,34177,0.7289163030597123,0.006071231676862377,0.31873327107924776,47.15744506539485,E1,1110,P_t+N_t+D_t
E1_subset_1111,osi_target_t01h,0.01186376747443223,0.003795325261895052,34177,0.7286287079247888,0.006114694516925148,0.31876805300319083,46.71855341311408,E1,1111,P_t+N_t+D_t+R_t
E1_subset_0000,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,E1,0000,none
E1_subset_0001,osi_target_t06h,0.01051379097673492,0.0034117069114940712,32982,0.7002610028022134,0.004873152200237119,0.2576487123049928,47.01655448426415,E1,0001,R_t
E1_subset_0010,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,E1,0010,D_t
E1_subset_0011,osi_target_t06h,0.01051379097673492,0.0034117069114940712,32982,0.7002610028022134,0.004873152200237119,0.2576487123049928,47.01655448426415,E1,0011,D_t+R_t
E1_subset_0100,osi_target_t06h,0.010521936167580938,0.0033371819121035193,32982,0.6997963983511208,0.004734849414549461,0.257410652750843,49.3117458007398,E1,0100,N_t
E1_subset_0101,osi_target_t06h,0.010522133537484228,0.003359557964593951,32982,0.6997851358400019,0.004779695243372322,0.2577377701276318,48.668970953853616,E1,0101,N_t+R_t
E1_subset_0110,osi_target_t06h,0.010521936167580938,0.0033371819121035193,32982,0.6997963983511208,0.004734849414549461,0.257410652750843,49.3117458007398,E1,0110,N_t+D_t
E1_subset_0111,osi_target_t06h,0.010522133537484228,0.003359557964593951,32982,0.6997851358400019,0.004779695243372322,0.2577377701276318,48.668970953853616,E1,0111,N_t+D_t+R_t
