model,horizon,severity,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C3,osi_target_t01h,0.01_0.05,0.01581963473256895,0.011666076874313886,2641,-1.1580717768773123,0.016966423058332725,0.13829794484514585,1.1737978038621735
V18_C3,osi_target_t01h,ge_0.05,0.06174058621351865,0.039665586649732215,951,0.24634044676511757,0.08547627833638408,0.2926764026968674,0.6309148264984227
V18_C3,osi_target_t06h,lt_0.001,0.002330827849243401,0.0011294214128826283,23277,-123.4413449570558,0.0011715917956639146,0.02343550810649563,57.57614812905443
V18_C3,osi_target_t06h,0.001_0.01,0.0059464475059290665,0.003581359208402078,6529,-5.069054214740574,0.005505154552368541,0.06681102667905356,9.358247817429929
V18_C3,osi_target_t06h,0.01_0.05,0.015680499056383513,0.011750759128640684,2435,-1.215915820035887,0.015714665438911476,0.11923228318828492,1.273100616016427
V18_C3,osi_target_t06h,ge_0.05,0.05874338787632735,0.04127441693635241,741,0.0651807127376336,0.07628568924072121,0.2724774255106815,0.8097165991902834
V18_C3,osi_target_t24h,lt_0.001,0.002278404105803543,0.0011263004034455606,21007,-118.54670421223392,0.0011696478590555951,0.021075888997452472,56.95720474127671
V18_C3,osi_target_t24h,0.001_0.01,0.005199010718050173,0.0033953470599688068,5585,-3.7130753472670577,0.005220430546581238,0.038235704220141026,9.525514771709938
V18_C3,osi_target_t24h,0.01_0.05,0.014774212043431207,0.011607445378104663,1776,-1.1694580495978442,0.011594014184329093,0.07702214482383857,1.6328828828828827
V18_C3,osi_target_t24h,ge_0.05,0.06558819077229065,0.05273512138969131,312,-2.059867176660737,0.04246070817871821,0.13341913184272436,1.9230769230769231
V18_C3,osi_target_t48h,lt_0.001,0.0020584889829400694,0.0010001892960444362,17970,-102.51035257987826,0.0010336394908134956,0.020333711322048656,59.398998330550924
V18_C3,osi_target_t48h,0.001_0.01,0.004530648337403255,0.002976576961500932,3828,-2.7972336003822225,0.004330089677187907,0.030122499030158904,12.826541274817139
V18_C3,osi_target_t48h,0.01_0.05,0.015175840456460931,0.012017433123302754,994,-1.2856906086383368,0.009178567885418362,0.04882786898780141,2.8169014084507045
V18_C3,osi_target_t48h,ge_0.05,0.0796805126276074,0.06809986199526863,152,-2.1018726069142764,0.025336322215257678,0.05405995210824589,3.9473684210526314
