split_seed,horizon,fipsCode,countyName,stateAbbr,fold,N_sse,N_weighted_sse,N_signed_allocation,OSI_sse,oracle_N_sse_reduction
20260917,1,18009,Blackford County,IN,3,0.00014201533159000166,1.73968781197752e-05,4.224031397451271e-05,0.004102643892405102,5.9801873989081626e-05
20260917,1,18013,Brown County,IN,0,0.015425399709892079,0.0018896114644617796,0.008941047240551014,0.11159421366500893,0.015993591383155783
20260917,1,18023,Clinton County,IN,1,4.8982481981350975e-05,6.000354042715493e-06,3.439286696451753e-05,0.00032586298362590176,6.412384486981365e-05
20260917,1,18025,Crawford County,IN,1,0.020106609632175185,0.0024630596799414596,0.005349108410661981,0.02047877772840338,0.008249448763523997
20260917,1,18027,Daviess County,IN,4,9.450034906994902e-05,1.1576292761068752e-05,6.58545103927009e-05,0.000689846620435453,0.00012182217277770198
20260917,1,18029,Dearborn County,IN,3,0.00010458214712836774,1.2811313023225048e-05,4.6353430069668905e-05,0.0003241199228962505,8.094859901608538e-05
20260917,1,18033,DeKalb County,IN,4,0.00048399990518082546,5.9289988384651116e-05,0.00022353799164411025,0.0016238887285451322,0.00038548184828676816
20260917,1,18035,Delaware County,IN,0,0.0001611347229304908,1.973900355898512e-05,6.338799668785952e-05,0.00046908510490483146,0.00011701461322633327
20260917,1,18037,Dubois County,IN,4,0.0003502047203327673,4.290007824076399e-05,0.000133629581426881,0.0008044699417581068,0.000226328419101874
20260917,1,18039,Elkhart County,IN,2,4.250277704494879e-05,5.206590188006226e-06,1.700912364670241e-05,0.0001267229685022206,3.269910233394231e-05
20260917,1,18041,Fayette County,IN,1,0.0005483008399202722,6.716685289023333e-05,0.00021386118153339116,0.004506171915035553,0.0003779695835439398
20260917,1,18043,Floyd County,IN,4,0.0001906950629855384,2.3360145215728453e-05,9.514738839843679e-05,0.0005194823982993428,0.00018231039833556596
20260917,1,18045,Fountain County,IN,1,0.0008862967185008584,0.00010857134801635516,0.00033741322209279327,0.0015064078933356507,0.0005708985350964115
20260917,1,18047,Franklin County,IN,4,0.001517467949551178,0.0001858898238200193,0.00022705344118123806,0.001452121022704595,0.00027303495622749775
20260917,1,18051,Gibson County,IN,2,4.92630891165034e-05,6.034728416771666e-06,2.2988524146960736e-05,0.0002488048024017966,4.028230188624159e-05
20260917,1,18059,Hancock County,IN,1,0.00018180273698770614,2.2270835280994005e-05,3.736565407683449e-05,0.0002022848453925802,5.380232122014071e-05
20260917,1,18061,Harrison County,IN,3,0.0010535116714800474,0.0001290551797563058,0.00035833254181899055,0.002147299323668161,0.0005971273798547138
20260917,1,18065,Henry County,IN,3,0.00031072704381368966,3.806406286717698e-05,0.00012055082429394338,0.000795419616636556,0.0002064841530911391
20260917,1,18067,Howard County,IN,3,0.0002072459703810072,2.5387631371673384e-05,7.849864770475887e-05,0.00038826950457174046,0.00013309565386804154
