split_seed,start,end,candidate_count,source_a,source_b,n,cross_mean,weight,weighted_cross_mean,correlation,source_a_bias,source_b_bias,aligned_mse
20260917,73,77,1,1,1,1195,0.00014967017302093088,1.0,0.00014967017302093088,0.9999999999999999,-0.0002787162837589533,-0.0002787162837589533,0.00014967017302093088
20260917,78,95,2,1,1,4302,1.2215998459404014e-05,0.25,3.0539996148510034e-06,1.0,4.1454904559408496e-05,4.1454904559408496e-05,1.1983144993530212e-05
20260917,78,95,2,1,6,4302,1.1834290995456417e-05,0.25,2.9585727488641042e-06,0.9755044848432377,4.1454904559408496e-05,1.8026528769610196e-05,1.1983144993530212e-05
20260917,78,95,2,6,1,4302,1.1834290995456417e-05,0.25,2.9585727488641042e-06,0.9755044848432377,1.8026528769610196e-05,4.1454904559408496e-05,1.1983144993530212e-05
20260917,78,95,2,6,6,4302,1.2047999523804002e-05,0.25,3.0119998809510004e-06,1.0,1.8026528769610196e-05,1.8026528769610196e-05,1.1983144993530212e-05
20260917,96,119,3,1,1,5736,2.242023529767721e-05,0.1111111111111111,2.4911372552974677e-06,1.0,2.6809402427719797e-05,2.6809402427719797e-05,2.2442974613734108e-05
20260917,96,119,3,1,6,5736,2.235659789877945e-05,0.1111111111111111,2.4840664331977167e-06,0.9697135110684753,2.6809402427719797e-05,2.5468885950556045e-05,2.2442974613734108e-05
20260917,96,119,3,1,24,5736,2.1741986534346e-05,0.1111111111111111,2.415776281594e-06,0.9676416996904774,2.6809402427719797e-05,2.254766623995556e-05,2.2442974613734108e-05
20260917,96,119,3,6,1,5736,2.235659789877945e-05,0.1111111111111111,2.4840664331977167e-06,0.9697135110684751,2.5468885950556045e-05,2.6809402427719797e-05,2.2442974613734108e-05
20260917,96,119,3,6,6,5736,2.370738481952957e-05,0.1111111111111111,2.6341538688366187e-06,0.9999999999999998,2.5468885950556045e-05,2.5468885950556045e-05,2.2442974613734108e-05
20260917,96,119,3,6,24,5736,2.25720200164787e-05,0.1111111111111111,2.5080022240531886e-06,0.9769313447027439,2.5468885950556045e-05,2.254766623995556e-05,2.2442974613734108e-05
20260917,96,119,3,24,1,5736,2.1741986534346e-05,0.1111111111111111,2.415776281594e-06,0.9676416996904775,2.254766623995556e-05,2.6809402427719797e-05,2.2442974613734108e-05
20260917,96,119,3,24,6,5736,2.25720200164787e-05,0.1111111111111111,2.5080022240531886e-06,0.976931344702744,2.254766623995556e-05,2.5468885950556045e-05,2.2442974613734108e-05
20260917,96,119,3,24,24,5736,2.2517942507191892e-05,0.1111111111111111,2.5019936119102103e-06,1.0,2.254766623995556e-05,2.254766623995556e-05,2.2442974613734108e-05
20260917,120,215,4,1,1,22944,1.2454344818161284e-05,0.0625,7.783965511350803e-07,1.0,5.7382050607954385e-05,5.7382050607954385e-05,1.2059671880301902e-05
20260917,120,215,4,1,6,22944,1.2067169881906373e-05,0.0625,7.541981176191483e-07,0.9739233621508074,5.7382050607954385e-05,4.086319378885639e-05,1.2059671880301902e-05
20260917,120,215,4,1,24,22944,1.2020317594984788e-05,0.0625,7.512698496865492e-07,0.9737662525116447,5.7382050607954385e-05,3.844890396635927e-05,1.2059671880301902e-05
20260917,120,215,4,1,48,22944,1.1919816399118594e-05,0.0625,7.449885249449121e-07,0.969026500287208,5.7382050607954385e-05,2.5672296964800357e-05,1.2059671880301902e-05
20260917,120,215,4,6,1,22944,1.2067169881906373e-05,0.0625,7.541981176191483e-07,0.9739233621508074,4.086319378885639e-05,5.7382050607954385e-05,1.2059671880301902e-05
20260917,120,215,4,6,6,22944,1.2326655960097726e-05,0.0625,7.704159975061079e-07,1.0,4.086319378885639e-05,4.086319378885639e-05,1.2059671880301902e-05
20260917,120,215,4,6,24,22944,1.2012652520213362e-05,0.0625,7.507907825133351e-07,0.9781611541492807,4.086319378885639e-05,3.844890396635927e-05,1.2059671880301902e-05
20260917,120,215,4,6,48,22944,1.1929490955726916e-05,0.0625,7.455931847329323e-07,0.9747949920591902,4.086319378885639e-05,2.5672296964800357e-05,1.2059671880301902e-05
20260917,120,215,4,24,1,22944,1.2020317594984788e-05,0.0625,7.512698496865492e-07,0.9737662525116448,3.844890396635927e-05,5.7382050607954385e-05,1.2059671880301902e-05
20260917,120,215,4,24,6,22944,1.2012652520213362e-05,0.0625,7.507907825133351e-07,0.9781611541492807,3.844890396635927e-05,4.086319378885639e-05,1.2059671880301902e-05
20260917,120,215,4,24,24,22944,1.223515377751569e-05,0.0625,7.646971110947306e-07,1.0,3.844890396635927e-05,3.844890396635927e-05,1.2059671880301902e-05
20260917,120,215,4,24,48,22944,1.194482661844344e-05,0.0625,7.46551663652715e-07,0.9796890921789737,3.844890396635927e-05,2.5672296964800357e-05,1.2059671880301902e-05
20260917,120,215,4,48,1,22944,1.1919816399118594e-05,0.0625,7.449885249449121e-07,0.9690265002872082,2.5672296964800357e-05,5.7382050607954385e-05,1.2059671880301902e-05
20260917,120,215,4,48,6,22944,1.1929490955726916e-05,0.0625,7.455931847329323e-07,0.9747949920591901,2.5672296964800357e-05,4.086319378885639e-05,1.2059671880301902e-05
20260917,120,215,4,48,24,22944,1.194482661844344e-05,0.0625,7.46551663652715e-07,0.9796890921789737,2.5672296964800357e-05,3.844890396635927e-05,1.2059671880301902e-05
20260917,120,215,4,48,48,22944,1.2150047588268782e-05,0.0625,7.593779742667989e-07,1.0,2.5672296964800357e-05,2.5672296964800357e-05,1.2059671880301902e-05
