split_seed,horizon,scenario,reference,source_horizon,alpha,uses_future_truth,deployable,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,1,O_N_all,B_current,0,1.0,True,False,34177,0.010616463248978617,0.0031323525357592487,3.8520654698443564,-0.0001746137329643829,0.011279784035266497,-0.0006633207862878805,-5.880616013693107,0.4963948125874036
20260917,6,O_N_all,B_current,0,1.0,True,False,32982,0.009825868973015238,0.0030139063731102643,3.184336276851148,-0.00017272770724528704,0.0103282666639301,-0.0005023976909148617,-4.864298214427487,0.33395565276903216
20260917,24,O_N_all,B_current,0,1.0,True,False,28680,0.008081026496354561,0.002753886823505399,1.8728897312536184,-0.00010193857385868708,0.008710411518259539,-0.0006293850219049775,-7.2256634555738835,0.30309825843022997
20260917,48,O_N_all,B_current,0,1.0,True,False,22944,0.007305396228616966,0.0020838387402325378,1.2244940697258961,-0.0002888864500653642,0.007895792270846023,-0.000590396042229057,-7.477350238924119,0.20591601072147148
20260917,1,O_N_source_1,B_current,1,1.0,True,False,34177,0.010917294901713684,0.0032615073551445885,4.073465308064305,-0.00017075041300642897,0.011279784035266497,-0.00036248913355281347,-3.213617675830349,0.2749949743674547
20260917,6,O_N_source_1,B_current,1,1.0,True,False,32982,0.010161714844462419,0.003147740714937102,3.405736115071097,-0.0001687244119265377,0.0103282666639301,-0.00016655181946768037,-1.61258248733388,0.11255581454908281
20260917,24,O_N_source_1,B_current,1,1.0,True,False,28680,0.008710411518259539,0.002956278833563109,2.1759879896838483,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
20260917,48,O_N_source_1,B_current,1,1.0,True,False,22944,0.007895792270846023,0.002249936035520659,1.4304100804473676,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260917,1,O_N_source_6,B_current,6,1.0,True,False,34177,0.011133305262136284,0.0032771414878092573,4.236255762069594,-0.0001733259194518318,0.011279784035266497,-0.00014647877313021286,-1.2985955464417054,0.112204520362166
20260917,6,O_N_source_6,B_current,6,1.0,True,False,32982,0.010162238910212834,0.0031472860698663336,3.406087409258016,-0.00016741357592226657,0.0103282666639301,-0.00016602775371726483,-1.6075083953543845,0.11220452036216422
20260917,24,O_N_source_6,B_current,6,1.0,True,False,28680,0.008710411518259539,0.002956278833563109,2.1759879896838483,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
20260917,48,O_N_source_6,B_current,6,1.0,True,False,22944,0.007895792270846023,0.002249936035520659,1.4304100804473676,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260917,1,O_N_source_24,B_current,24,1.0,True,False,34177,0.011161299195173006,0.003287240759494144,4.257586094772943,-0.00017184715793407143,0.011279784035266497,-0.0001184848400934916,-1.0504176296553758,0.09087418765881683
20260917,6,O_N_source_24,B_current,24,1.0,True,False,32982,0.010194009326384992,0.0031577512571919772,3.4274177419613636,-0.0001658812360886452,0.0103282666639301,-0.00013425733754510692,-1.2999019285005464,0.09087418765881639
20260917,24,O_N_source_24,B_current,24,1.0,True,False,28680,0.008081026496354561,0.002753886823505399,1.8728897312536184,-0.00010193857385868708,0.008710411518259539,-0.0006293850219049775,-7.2256634555738835,0.30309825843022997
20260917,48,O_N_source_24,B_current,24,1.0,True,False,22944,0.007895792270846023,0.002249936035520659,1.4304100804473676,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260917,1,O_N_source_48,B_current,48,1.0,True,False,34177,0.011203970988903203,0.0033084783437409707,4.290203468254152,-0.00017068489592024147,0.011279784035266497,-7.581304636329438e-05,-0.6721143430252097,0.058256814177608085
20260917,6,O_N_source_48,B_current,48,1.0,True,False,32982,0.010242400637926743,0.003179758319128906,3.460035115442571,-0.0001646768631322852,0.0103282666639301,-8.586602600335613e-05,-0.8313691812705581,0.05825681417760897
20260917,24,O_N_source_48,B_current,48,1.0,True,False,28680,0.008710411518259539,0.002956278833563109,2.1759879896838483,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
20260917,48,O_N_source_48,B_current,48,1.0,True,False,22944,0.007305396228616966,0.0020838387402325378,1.2244940697258961,-0.0002888864500653642,0.007895792270846023,-0.000590396042229057,-7.477350238924119,0.20591601072147148
20260917,1,O_N_partial_0.25,B_current,0,0.25,True,False,34177,0.011098158027951641,0.003282803559898641,4.209550727610743,-0.00017190551688181952,0.011279784035266497,-0.00018162600731485602,-1.610190467716388,0.13890955482101663
20260917,6,O_N_partial_0.25,B_current,0,0.25,True,False,32982,0.010189087721156072,0.0031577040370018754,3.424109068296033,-0.00016690384529371153,0.0103282666639301,-0.00013917894277402747,-1.3475537309671548,0.0941828613241471
20260917,24,O_N_partial_0.25,B_current,0,0.25,True,False,28680,0.008538050489451247,0.00290221633489084,2.0907234206808085,-9.802027375273817e-05,0.008710411518259539,-0.0001723610288082919,-1.9787931769580935,0.0852645690030398
20260917,48,O_N_partial_0.25,B_current,0,0.25,True,False,22944,0.007732998670729789,0.0022058157618649586,1.372034415121975,-0.0002862533950912594,0.007895792270846023,-0.0001627936001162341,-2.0617766340855215,0.05837566532539262
20260917,1,O_N_partial_0.5,B_current,0,0.5,True,False,34177,0.010926736049367407,0.003229246596606502,4.080513723789118,-0.00017337955199695556,0.011279784035266497,-0.00035304798589909023,-3.129917955833883,0.2679465586426417
20260917,6,O_N_partial_0.5,B_current,0,0.5,True,False,32982,0.010058719335897926,0.0031065680030990944,3.3370473433618932,-0.00016946268031223414,0.0103282666639301,-0.0002695473280321728,-2.6098021749721645,0.18124458625828677
20260917,24,O_N_partial_0.5,B_current,0,0.5,True,False,28680,0.008375105330219772,0.002849722701840308,2.0116837249024657,-0.00010012684171490212,0.008710411518259539,-0.00033530618803976654,-3.849487332910362,0.1643042647813826
20260917,48,O_N_partial_0.5,B_current,0,0.5,True,False,22944,0.0075807007080976214,0.002162759811633137,1.3185233808916483,-0.0002882202091812521,0.007895792270846023,-0.0003150915627484017,-3.990626297399291,0.11188669955571928
20260917,1,O_P_all,B_current,0,1.0,True,False,34177,0.004722313210301397,0.0014150292323262183,0.7621553727543062,-0.00015201921612352943,0.011279784035266497,-0.006557470824965101,-58.13471964058019,3.5863049096774535
20260917,6,O_P_all,B_current,0,1.0,True,False,32982,0.0044078278031136585,0.0013626195235819638,0.6408054950558045,-0.00015840177769699102,0.0103282666639301,-0.005920438860816441,-57.322676238527734,2.8774864345643754
20260917,24,O_P_all,B_current,0,1.0,True,False,28680,0.0034108116953488555,0.0011996650063277779,0.33365269255796637,-0.00014079455012924724,0.008710411518259539,-0.0052995998229106835,-60.8421291210087,1.842335297125882
20260917,48,O_P_all,B_current,0,1.0,True,False,22944,0.0031046532402296666,0.0009441626596589609,0.2211542732500212,-0.00020921403571661217,0.007895792270846023,-0.0047911390306163565,-60.679648935381536,1.2092558071973465
20260917,1,O_D_all,B_current,0,1.0,True,False,34177,0.00774995281005424,0.002167480813594019,2.0527310640090772,-0.00015362764819363067,0.011279784035266497,-0.0035298312252122575,-31.293429148786544,2.2957292184226827
20260917,6,O_D_all,B_current,0,1.0,True,False,32982,0.006806245037374597,0.0020578171540485543,1.5278902103027912,-0.000139548484120232,0.0103282666639301,-0.003522021626555502,-34.100800658600605,1.9904017193173889
20260917,24,O_D_all,B_current,0,1.0,True,False,28680,0.006196584043636164,0.001975242773897032,1.1012447112663923,-7.924012500681723e-05,0.008710411518259539,-0.002513827474623375,-28.860031117400897,1.074743278417456
20260917,48,O_D_all,B_current,0,1.0,True,False,22944,0.005619586865035228,0.0014769318983690245,0.7245659339086726,-0.00021412563779147704,0.007895792270846023,-0.0022762054058107955,-28.828081182116804,0.705844146538695
20260917,1,O_R_all,B_current,0,1.0,True,False,34177,0.01142632839209005,0.0033930751471025916,4.4621826313647555,-0.0001638357905125466,0.011279784035266497,0.0001465443568235518,1.299176973294669,-0.11372234893299549
20260917,6,O_R_all,B_current,0,1.0,True,False,32982,0.010482707603390463,0.003267502833652015,3.6242982681833817,-0.00015771217164147662,0.0103282666639301,0.00015444093946036415,1.495322927706022,-0.10600633856320174
20260917,24,O_R_all,B_current,0,1.0,True,False,28680,0.008821417245920553,0.0030080314944708167,2.231803095859593,-8.979422602092135e-05,0.008710411518259539,0.00011100572766101387,1.2744027928911716,-0.05581510617574459
20260917,48,O_R_all,B_current,0,1.0,True,False,22944,0.007989622853980747,0.0022951157216963072,1.4646089789160477,-0.0002762620362628224,0.007895792270846023,9.383058313472414e-05,1.1883618504146654,-0.03419889846868007
20260917,1,O_all_components,B_current,0,1.0,True,False,34177,0.00020993161110238032,9.394390596600052e-05,0.0015062241823585831,-8.642904045703233e-05,0.011279784035266497,-0.011069852424164117,-98.13886852402472,4.346954058249401
20260917,6,O_all_components,B_current,0,1.0,True,False,32982,0.00021116802853844054,9.489831932114484e-05,0.0014707312422818017,-8.763645044721349e-05,0.0103282666639301,-0.01011709863539166,-97.95543593702986,3.5168211983778983
20260917,24,O_all_components,B_current,0,1.0,True,False,28680,0.00021418260597984689,9.698550104776848e-05,0.00131567173203985,-9.041249925906547e-05,0.008710411518259539,-0.008496228912279693,-97.5410736274531,2.1746723179518086
20260917,48,O_all_components,B_current,0,1.0,True,False,22944,0.00021447908103031774,9.828617092921897e-05,0.0010554532811238426,-9.285496146705017e-05,0.007895792270846023,-0.007681313189815705,-97.28362811896346,1.4293546271662438
20260917,1,A_N_zero,B_current,0,1.0,False,False,34177,0.011307893212634972,0.0032452360949864114,4.370159978340887,-0.00038344339144794515,0.011279784035266497,2.8109177368474195e-05,0.24919960595513047,-0.02169969590912668
