split_seed,horizon,mode,term_a,term_b,term_type,sse_term,total_osi_sse,N_signed_allocation
20260917,1,C1,P,P,square,1.7500278488184786,4.191797423642255,0.2875140507361338
20260917,1,C1,P,N,twice_cross,0.3482703770141149,4.191797423642255,0.2875140507361338
20260917,1,C1,P,D,twice_cross,1.41405483504418,4.191797423642255,0.2875140507361338
20260917,1,C1,P,R,twice_cross,-0.06721434709199917,4.191797423642255,0.2875140507361338
20260917,1,C1,P,b,twice_cross,0.0007356453069254593,4.191797423642255,0.2875140507361338
20260917,1,C1,N,N,square,0.07910609481519783,4.191797423642255,0.2875140507361338
20260917,1,C1,N,D,twice_cross,0.08086544726202512,4.191797423642255,0.2875140507361338
20260917,1,C1,N,R,twice_cross,-0.012435775169307918,4.191797423642255,0.2875140507361338
20260917,1,C1,N,b,twice_cross,0.00011586273503971819,4.191797423642255,0.2875140507361338
20260917,1,C1,D,D,square,0.6520152901247942,4.191797423642255,0.2875140507361338
20260917,1,C1,D,R,twice_cross,-0.06236433505950117,4.191797423642255,0.2875140507361338
20260917,1,C1,D,b,twice_cross,0.00014777930885601,4.191797423642255,0.2875140507361338
20260917,1,C1,R,R,square,0.005796781507343767,4.191797423642255,0.2875140507361338
20260917,1,C1,R,b,twice_cross,-3.3933622271339303e-05,4.191797423642255,0.2875140507361338
20260917,1,C1,b,b,square,0.0027098526483789655,4.191797423642255,0.2875140507361338
20260917,1,C3,P,P,square,1.70383820416617,4.348460282431759,0.28658658187669483
20260917,1,C3,P,N,twice_cross,0.349977592463497,4.348460282431759,0.28658658187669483
20260917,1,C3,P,D,twice_cross,1.6025150442079628,4.348460282431759,0.28658658187669483
20260917,1,C3,P,R,twice_cross,-0.07235193172830762,4.348460282431759,0.28658658187669483
20260917,1,C3,P,b,twice_cross,-0.00037393548893421326,4.348460282431759,0.28658658187669483
20260917,1,C3,N,N,square,0.07789007666470511,4.348460282431759,0.28658658187669483
20260917,1,C3,N,D,twice_cross,0.07980374613098645,4.348460282431759,0.28658658187669483
20260917,1,C3,N,R,twice_cross,-0.012193633474078246,4.348460282431759,0.28658658187669483
20260917,1,C3,N,b,twice_cross,-0.0001946946964256947,4.348460282431759,0.28658658187669483
20260917,1,C3,D,D,square,0.6733195140038184,4.348460282431759,0.28658658187669483
20260917,1,C3,D,R,twice_cross,-0.06252438618777093,4.348460282431759,0.28658658187669483
20260917,1,C3,D,b,twice_cross,-6.201333741198879e-06,4.348460282431759,0.28658658187669483
20260917,1,C3,R,R,square,0.005682857384516991,4.348460282431759,0.28658658187669483
20260917,1,C3,R,b,twice_cross,5.338571770079636e-05,4.348460282431759,0.28658658187669483
20260917,1,C3,b,b,square,0.0030246446016601947,4.348460282431759,0.28658658187669483
20260917,1,main,P,P,square,1.70383820416617,4.348460282431759,0.28658658187669483
20260917,1,main,P,N,twice_cross,0.349977592463497,4.348460282431759,0.28658658187669483
20260917,1,main,P,D,twice_cross,1.6025150442079628,4.348460282431759,0.28658658187669483
20260917,1,main,P,R,twice_cross,-0.07235193172830762,4.348460282431759,0.28658658187669483
20260917,1,main,P,b,twice_cross,-0.00037393548893421326,4.348460282431759,0.28658658187669483
20260917,1,main,N,N,square,0.07789007666470511,4.348460282431759,0.28658658187669483
20260917,1,main,N,D,twice_cross,0.07980374613098645,4.348460282431759,0.28658658187669483
20260917,1,main,N,R,twice_cross,-0.012193633474078246,4.348460282431759,0.28658658187669483
20260917,1,main,N,b,twice_cross,-0.0001946946964256947,4.348460282431759,0.28658658187669483
20260917,1,main,D,D,square,0.6733195140038184,4.348460282431759,0.28658658187669483
20260917,1,main,D,R,twice_cross,-0.06252438618777093,4.348460282431759,0.28658658187669483
20260917,1,main,D,b,twice_cross,-6.201333741198879e-06,4.348460282431759,0.28658658187669483
20260917,1,main,R,R,square,0.005682857384516991,4.348460282431759,0.28658658187669483
20260917,1,main,R,b,twice_cross,5.338571770079636e-05,4.348460282431759,0.28658658187669483
20260917,1,main,b,b,square,0.0030246446016601947,4.348460282431759,0.28658658187669483
20260917,6,C1,P,P,square,1.4872420429908586,3.966441316211243,0.19982067646773222
20260917,6,C1,P,N,twice_cross,0.23949215928661463,3.966441316211243,0.19982067646773222
20260917,6,C1,P,D,twice_cross,1.6257705407505227,3.966441316211243,0.19982067646773222
20260917,6,C1,P,R,twice_cross,-0.07529566606568919,3.966441316211243,0.19982067646773222
20260917,6,C1,P,b,twice_cross,0.00018208799027150097,3.966441316211243,0.19982067646773222
20260917,6,C1,N,N,square,0.057653258834026805,3.966441316211243,0.19982067646773222
20260917,6,C1,N,D,twice_cross,0.0564030753568395,3.966441316211243,0.19982067646773222
20260917,6,C1,N,R,twice_cross,-0.011459638851401591,3.966441316211243,0.19982067646773222
20260917,6,C1,N,b,twice_cross,-0.000100760524641707,3.966441316211243,0.19982067646773222
20260917,6,C1,D,D,square,0.6390580326288485,3.966441316211243,0.19982067646773222
20260917,6,C1,D,R,twice_cross,-0.060636179235898646,3.966441316211243,0.19982067646773222
20260917,6,C1,D,b,twice_cross,6.609561134250872e-06,3.966441316211243,0.19982067646773222
20260917,6,C1,R,R,square,0.005464283593339078,3.966441316211243,0.19982067646773222
20260917,6,C1,R,b,twice_cross,5.3052349389665575e-05,3.966441316211243,0.19982067646773222
20260917,6,C1,b,b,square,0.0026084175470285657,3.966441316211243,0.19982067646773222
20260917,6,C3,P,P,square,1.3145611955194332,3.51829192962018,0.19442109104731253
20260917,6,C3,P,N,twice_cross,0.23245143268937804,3.51829192962018,0.19442109104731253
20260917,6,C3,P,D,twice_cross,1.3971269858404596,3.51829192962018,0.19442109104731253
20260917,6,C3,P,R,twice_cross,-0.06893189069797394,3.51829192962018,0.19442109104731253
20260917,6,C3,P,b,twice_cross,-0.0003898518596340368,3.51829192962018,0.19442109104731253
20260917,6,C3,N,N,square,0.05598023421160359,3.51829192962018,0.19442109104731253
20260917,6,C3,N,D,twice_cross,0.056019617777294944,3.51829192962018,0.19442109104731253
20260917,6,C3,N,R,twice_cross,-0.011409241792560743,3.51829192962018,0.19442109104731253
20260917,6,C3,N,b,twice_cross,-0.0001800950026943882,3.51829192962018,0.19442109104731253
20260917,6,C3,D,D,square,0.593348175753101,3.51829192962018,0.19442109104731253
20260917,6,C3,D,R,twice_cross,-0.058707563077626645,3.51829192962018,0.19442109104731253
20260917,6,C3,D,b,twice_cross,2.98896148378021e-05,3.51829192962018,0.19442109104731253
20260917,6,C3,R,R,square,0.00538264195249606,3.51829192962018,0.19442109104731253
20260917,6,C3,R,b,twice_cross,4.787052274606665e-05,3.51829192962018,0.19442109104731253
20260917,6,C3,b,b,square,0.0029625281693197647,3.51829192962018,0.19442109104731253
20260917,6,main,P,P,square,1.3145611955194332,3.51829192962018,0.19442109104731253
20260917,6,main,P,N,twice_cross,0.23245143268937804,3.51829192962018,0.19442109104731253
20260917,6,main,P,D,twice_cross,1.3971269858404596,3.51829192962018,0.19442109104731253
20260917,6,main,P,R,twice_cross,-0.06893189069797394,3.51829192962018,0.19442109104731253
20260917,6,main,P,b,twice_cross,-0.0003898518596340368,3.51829192962018,0.19442109104731253
20260917,6,main,N,N,square,0.05598023421160359,3.51829192962018,0.19442109104731253
20260917,6,main,N,D,twice_cross,0.056019617777294944,3.51829192962018,0.19442109104731253
20260917,6,main,N,R,twice_cross,-0.011409241792560743,3.51829192962018,0.19442109104731253
20260917,6,main,N,b,twice_cross,-0.0001800950026943882,3.51829192962018,0.19442109104731253
20260917,6,main,D,D,square,0.593348175753101,3.51829192962018,0.19442109104731253
20260917,6,main,D,R,twice_cross,-0.058707563077626645,3.51829192962018,0.19442109104731253
20260917,6,main,D,b,twice_cross,2.98896148378021e-05,3.51829192962018,0.19442109104731253
20260917,6,main,R,R,square,0.00538264195249606,3.51829192962018,0.19442109104731253
20260917,6,main,R,b,twice_cross,4.787052274606665e-05,3.51829192962018,0.19442109104731253
20260917,6,main,b,b,square,0.0029625281693197647,3.51829192962018,0.19442109104731253
20260917,24,C1,P,P,square,0.8891195867930263,2.175987989683848,0.1762299635625711
20260917,24,C1,P,N,twice_cross,0.2123000907976153,2.175987989683848,0.1762299635625711
20260917,24,C1,P,D,twice_cross,0.7830094011757849,2.175987989683848,0.1762299635625711
20260917,24,C1,P,R,twice_cross,-0.044522585843519445,2.175987989683848,0.1762299635625711
20260917,24,C1,P,b,twice_cross,0.00044130885625568795,2.175987989683848,0.1762299635625711
20260917,24,C1,N,N,square,0.050211070095340135,2.175987989683848,0.1762299635625711
20260917,24,C1,N,D,twice_cross,0.04964094075567088,2.175987989683848,0.1762299635625711
20260917,24,C1,N,R,twice_cross,-0.009706009686236135,2.175987989683848,0.1762299635625711
20260917,24,C1,N,b,twice_cross,-0.00019723493258815906,2.175987989683848,0.1762299635625711
20260917,24,C1,D,D,square,0.268491133018571,2.175987989683848,0.1762299635625711
20260917,24,C1,D,R,twice_cross,-0.028909206033153823,2.175987989683848,0.1762299635625711
20260917,24,C1,D,b,twice_cross,0.00034508184070071815,2.175987989683848,0.1762299635625711
20260917,24,C1,R,R,square,0.003458172784108327,2.175987989683848,0.1762299635625711
20260917,24,C1,R,b,twice_cross,3.522803508031778e-05,2.175987989683848,0.1762299635625711
20260917,24,C1,b,b,square,0.002271012027191872,2.175987989683848,0.1762299635625711
20260917,24,C3,P,P,square,0.827164629918456,2.0182116569053745,0.17220745413658628
20260917,24,C3,P,N,twice_cross,0.20671481704759528,2.0182116569053745,0.17220745413658628
20260917,24,C3,P,D,twice_cross,0.7173458843809721,2.0182116569053745,0.17220745413658628
20260917,24,C3,P,R,twice_cross,-0.04315581069671736,2.0182116569053745,0.17220745413658628
20260917,24,C3,P,b,twice_cross,-0.00028440202262323126,2.0182116569053745,0.17220745413658628
20260917,24,C3,N,N,square,0.04966517671573814,2.0182116569053745,0.17220745413658628
20260917,24,C3,N,D,twice_cross,0.04811264899979019,2.0182116569053745,0.17220745413658628
20260917,24,C3,N,R,twice_cross,-0.009593031969890534,2.0182116569053745,0.17220745413658628
20260917,24,C3,N,b,twice_cross,-0.0001498792357986133,2.0182116569053745,0.17220745413658628
20260917,24,C3,D,D,square,0.24486703052022338,2.0182116569053745,0.17220745413658628
20260917,24,C3,D,R,twice_cross,-0.028614502520361733,2.0182116569053745,0.17220745413658628
20260917,24,C3,D,b,twice_cross,3.4610416996941476e-05,2.0182116569053745,0.17220745413658628
20260917,24,C3,R,R,square,0.0034138509065118703,2.0182116569053745,0.17220745413658628
20260917,24,C3,R,b,twice_cross,4.5260902894298725e-05,2.0182116569053745,0.17220745413658628
20260917,24,C3,b,b,square,0.0026453735415879727,2.0182116569053745,0.17220745413658628
20260917,24,main,P,P,square,0.8891195867930263,2.175987989683848,0.1762299635625711
20260917,24,main,P,N,twice_cross,0.2123000907976153,2.175987989683848,0.1762299635625711
20260917,24,main,P,D,twice_cross,0.7830094011757849,2.175987989683848,0.1762299635625711
20260917,24,main,P,R,twice_cross,-0.044522585843519445,2.175987989683848,0.1762299635625711
20260917,24,main,P,b,twice_cross,0.00044130885625568795,2.175987989683848,0.1762299635625711
20260917,24,main,N,N,square,0.050211070095340135,2.175987989683848,0.1762299635625711
20260917,24,main,N,D,twice_cross,0.04964094075567088,2.175987989683848,0.1762299635625711
20260917,24,main,N,R,twice_cross,-0.009706009686236135,2.175987989683848,0.1762299635625711
20260917,24,main,N,b,twice_cross,-0.00019723493258815906,2.175987989683848,0.1762299635625711
20260917,24,main,D,D,square,0.268491133018571,2.175987989683848,0.1762299635625711
20260917,24,main,D,R,twice_cross,-0.028909206033153823,2.175987989683848,0.1762299635625711
20260917,24,main,D,b,twice_cross,0.00034508184070071815,2.175987989683848,0.1762299635625711
20260917,24,main,R,R,square,0.003458172784108327,2.175987989683848,0.1762299635625711
20260917,24,main,R,b,twice_cross,3.522803508031778e-05,2.175987989683848,0.1762299635625711
20260917,24,main,b,b,square,0.002271012027191872,2.175987989683848,0.1762299635625711
20260917,48,C1,P,P,square,0.58467994387711,1.4304100804473678,0.11955492144145208
20260917,48,C1,P,N,twice_cross,0.14224107395568775,1.4304100804473678,0.11955492144145208
