split_seed,horizon,scenario,group_type,group,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,1,O_N_all,county,18009,18009,Blackford County,IN,3.0,143,0.005317106591597138,0.0033291718119835595,0.004042842018416019,0.0016339664229330236,0.005356287653721213,-3.918106212407509e-05,-0.731496600949999,5.9801873989082446e-05
20260917,1,O_N_all,county,18013,18013,Brown County,IN,0.0,143,0.025856059640881463,0.011702639857080319,0.09560062228185315,-0.008638898952689034,0.027935266537810664,-0.002079206896929201,-7.442946334931055,0.015993591383155786
20260917,1,O_N_all,county,18023,18023,Clinton County,IN,1.0,143,0.001352901928324796,0.0005031189513966096,0.00026173913875608814,0.0004281096932580439,0.0015095569294524983,-0.00015665500112770222,-10.377548409818472,6.412384486981362e-05
20260917,1,O_N_all,county,18025,18025,Crawford County,IN,1.0,143,0.009247690683148116,0.0016300382350827294,0.012229328964879375,-0.000566035126420321,0.01196696435454542,-0.0027192736713973036,-22.723170144351947,0.008249448763524004
20260917,1,O_N_all,county,18027,18027,Daviess County,IN,4.0,143,0.001993037614966057,0.0006756749012821125,0.000568024447657751,0.0004852781124426306,0.0021963839010535847,-0.00020334628608752788,-9.258230584825567,0.00012182217277770203
20260917,1,O_N_all,county,18029,18029,Dearborn County,IN,3.0,143,0.001304031735960733,0.000401793735781266,0.00024317132388016515,-9.545132679812432e-05,0.0015055141604735465,-0.00020148242451281336,-13.38296442521928,8.094859901608536e-05
20260917,1,O_N_all,county,18033,18033,DeKalb County,IN,4.0,143,0.0029428197317937638,0.0012909801725507772,0.001238406880258364,-0.00077641883801124,0.0033698464704762666,-0.0004270267386825028,-12.671993885292654,0.0003854818482867681
20260917,1,O_N_all,county,18035,18035,Delaware County,IN,0.0,143,0.0015690861704632886,0.0007557216360110119,0.00035207049167849816,-0.0003849770269532503,0.00181116410601439,-0.00024207793555110148,-13.365875281385364,0.0001170146132263333
20260917,1,O_N_all,county,18037,18037,Dubois County,IN,4.0,143,0.002010708261007237,0.0007471153700664569,0.0005781415226562326,0.0004708821060980145,0.0023718482093882756,-0.00036113994838103854,-15.226098658066334,0.00022632841910187411
20260917,1,O_N_all,county,18039,18039,Elkhart County,IN,2.0,143,0.0008108696280070698,0.0004762307509006497,9.402386616827829e-05,0.00035540383712784503,0.0009413684745680799,-0.00013049884656101004,-13.862674402909626,3.269910233394231e-05
20260917,1,O_N_all,county,18041,18041,Fayette County,IN,1.0,143,0.005372945911943338,0.0019550380464199695,0.004128202331491614,-0.0019282002528765456,0.005613527564155656,-0.00024058165221231814,-4.285748122954214,0.00037796958354393943
20260917,1,O_N_all,county,18043,18043,Floyd County,IN,4.0,143,0.0015355279722599796,0.0005949784026294381,0.00033717199996377675,0.0002459715487815427,0.0019059758770906174,-0.0003704479048306378,-19.436127669994917,0.000182310398335566
20260917,1,O_N_all,county,18045,18045,Fountain County,IN,1.0,143,0.0025577379623781798,0.0010467266662362309,0.0009355093582392391,0.0010393300087446645,0.0032456618635367945,-0.0006879239011586148,-21.195180831591152,0.0005708985350964115
20260917,1,O_N_all,county,18047,18047,Franklin County,IN,4.0,143,0.0028714729858091044,0.0010944441416291587,0.001179086066477097,0.00022562726027595842,0.0031866428206602797,-0.0003151698348511753,-9.890340794010655,0.0002730349562274979
