split_seed,case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010853078422434704,0.0,0.0,0.0
42,B0,osi_target_t06h,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.009923105829220319,0.0,0.0,0.0
42,B0,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
42,B0,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,-0.0001234873431378002,0.010853078422434704,-1.2389131033605644e-05,-0.11415315131231285,0.00918564739461214
42,NB_P24,osi_target_t06h,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,-0.00010769119066969052,0.009923105829220319,-1.4043086719851827e-05,-0.1415190663239696,0.009185647394611696
42,NB_P24,osi_target_t24h,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,-9.257391647402344e-05,0.008492701524253245,-5.796492783256661e-05,-0.6825263747587518,0.028140750869300568
42,NB_P24,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
20260917,B0,osi_target_t01h,34177,0.011086220254071273,0.0032792206496616706,4.200499561215879,-0.00015577730560863043,0.011086220254071273,0.0,0.0,0.0
20260917,B0,osi_target_t06h,32982,0.010108757940326897,0.003149440563669922,3.3703312084042993,-0.00014922914273692017,0.010108757940326897,0.0,0.0,0.0
20260917,B0,osi_target_t24h,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
20260917,B0,osi_target_t48h,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260917,NB_P24,osi_target_t01h,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,-0.00016424828599728307,0.011086220254071273,-2.3967378580177362e-05,-0.21619071271270496,0.018142547404711884
20260917,NB_P24,osi_target_t06h,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,-0.00015800704270487189,0.010108757940326897,-2.7244517637430368e-05,-0.26951399764696404,0.018142547404711884
20260917,NB_P24,osi_target_t24h,28680,0.00856674431733002,0.002890042669314749,2.104799623133157,-0.00012182407134348413,0.008710411518259539,-0.00014366720092951965,-1.6493732888320123,0.07118836655069094
20260917,NB_P24,osi_target_t48h,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260918,B0,osi_target_t01h,34177,0.010568981397635607,0.003237175185704826,3.8176860007389863,-5.9808134210907505e-05,0.010568981397635607,0.0,0.0,0.0
20260918,B0,osi_target_t06h,32982,0.009565806358452486,0.0031046438593865,3.0180064087613574,-4.0402717082119965e-05,0.009565806358452486,0.0,0.0,0.0
20260918,B0,osi_target_t24h,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.0,0.0,0.0
20260918,B0,osi_target_t48h,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
20260918,NB_P24,osi_target_t01h,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,-5.968048855843743e-05,0.010568981397635607,-1.449033230294626e-05,-0.1371024487391792,0.010461105848900587
20260918,NB_P24,osi_target_t06h,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,-4.027044658716905e-05,0.009565806358452486,-1.6593036159355534e-05,-0.17346197003761388,0.010461105848901031
20260918,NB_P24,osi_target_t24h,28680,0.008030970870658143,0.0027950065193870217,1.8497594228353134,-1.3201457042298306e-05,0.008094958237266874,-6.398736660873094e-05,-0.7904595024857741,0.029593622558246047
20260918,NB_P24,osi_target_t48h,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
