split_seed,horizon,kind,supported_rows,all_valid_rows,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clip_low_rows,clip_high_rows
42,osi_target_t24h,direct,28680,28680,0.01354682878384225,0.013537162835787092,0.01354682878384225,0.013537162835787092,6370,0
20260917,osi_target_t24h,direct,28680,28680,0.013621352299165385,0.013607485838050146,0.013621352299165385,0.013607485838050146,6013,0
20260918,osi_target_t24h,direct,28680,28680,0.013052849671228531,0.013028312009495557,0.013052849671228531,0.013028312009495557,6005,0
