horizon,fipsCode,countyName,stateAbbr,improves_splits,worsens_splits,split42_sse_reduction,split20260917_sse_reduction,split20260918_sse_reduction
osi_target_t01h,18009,Blackford County,IN,3,0,7.245259580621229e-05,4.960606328640628e-05,0.0001240278802719175
osi_target_t01h,18013,Brown County,IN,3,0,0.002703554822674717,8.415330223691952e-05,0.002843904352923504
osi_target_t01h,18023,Clinton County,IN,1,2,-2.4971322662251506e-05,-5.509497279519119e-05,5.097932051373723e-05
osi_target_t01h,18025,Crawford County,IN,1,2,2.3912708113818515e-05,-5.12888310050634e-05,-3.6007643534584355e-06
osi_target_t01h,18027,Daviess County,IN,0,3,-0.0007218329108672869,-0.00017450955819722802,-0.000727875305280074
osi_target_t01h,18029,Dearborn County,IN,2,1,1.2213368261791897e-05,8.494984739857315e-06,-4.83549367769065e-08
osi_target_t01h,18033,DeKalb County,IN,2,1,-3.661641920177025e-06,1.6472794452337264e-05,4.4037790703919466e-05
osi_target_t01h,18035,Delaware County,IN,1,2,-4.183947458466118e-06,-6.7768167832567565e-06,1.3878434685052701e-05
osi_target_t01h,18037,Dubois County,IN,3,0,0.0001224512580279679,0.00018827056960637393,0.00014712045445493076
osi_target_t01h,18039,Elkhart County,IN,2,1,-4.906948573561547e-06,2.1318861041269197e-06,2.3869918381193777e-05
osi_target_t01h,18041,Fayette County,IN,1,2,-9.062558570669278e-05,1.2008070955613764e-05,-0.00012122188223837559
osi_target_t01h,18043,Floyd County,IN,0,3,-0.0002012442251366945,-4.2960245457707527e-05,-0.00020299560910392244
osi_target_t01h,18045,Fountain County,IN,1,2,-3.037802685579359e-05,4.328041787251234e-06,-2.2728058204879898e-05
osi_target_t01h,18047,Franklin County,IN,1,2,-3.19864644429727e-05,-1.811933480211879e-05,2.276807845178852e-05
osi_target_t01h,18051,Gibson County,IN,1,2,-1.650561505525284e-05,1.49481080812605e-05,-1.4591276293245603e-05
osi_target_t01h,18059,Hancock County,IN,3,0,3.6706670876999093e-06,1.2565411017580403e-05,4.2415021431015565e-06
osi_target_t01h,18061,Harrison County,IN,1,2,5.629763493426301e-05,-1.6076203769184536e-05,-2.407635019316878e-05
osi_target_t01h,18065,Henry County,IN,2,1,5.254799892492846e-06,2.2408811232677408e-05,-4.958143002029274e-06
osi_target_t01h,18067,Howard County,IN,3,0,9.053325354059147e-06,1.1035900902761847e-05,3.4532666281763473e-06
osi_target_t01h,18069,Huntington County,IN,2,1,-1.4650573715535803e-05,1.4110803342794154e-05,8.110199974427007e-06
osi_target_t01h,18071,Jackson County,IN,3,0,0.00019306219472933197,6.911861774214949e-05,0.0002375643488730251
osi_target_t01h,18073,Jasper County,IN,3,0,2.2796212124049286e-05,7.236243681500005e-05,0.00013238215890690544
osi_target_t01h,18077,Jefferson County,IN,2,1,-8.320901767141023e-06,0.00039756063604917463,1.8885499087900517e-05
osi_target_t01h,18083,Knox County,IN,3,0,5.975841417223799e-05,1.4617810804339927e-05,0.00011399225281327947
osi_target_t01h,18085,Kosciusko County,IN,2,1,-1.303595787753185e-05,2.460480800560563e-05,0.00015424976034899478
osi_target_t01h,18087,LaGrange County,IN,2,1,-3.47971991147061e-05,2.8837121267184644e-05,0.0001526271603918773
osi_target_t01h,18089,Lake County,IN,1,2,-9.910631743121267e-06,1.5500489733570534e-05,-3.973529452089102e-05
osi_target_t01h,18091,LaPorte County,IN,0,3,-9.458519715268491e-06,-1.0371978583659214e-05,-2.7041036910216637e-06
osi_target_t01h,18093,Lawrence County,IN,0,3,-0.00013991828758392992,-0.0002478707907044384,-0.00024478283736461236
osi_target_t01h,18095,Madison County,IN,2,1,8.939172881535222e-06,-1.9926353015738032e-06,5.094931549234102e-06
osi_target_t01h,18097,Marion County,IN,1,2,-3.001840303620212e-06,3.775442365608083e-06,-7.776259981013227e-06
osi_target_t01h,18099,Marshall County,IN,2,1,5.359537752437464e-05,1.2325263521888868e-05,-2.5015357630428503e-05
osi_target_t01h,18101,Martin County,IN,2,1,9.885261977860536e-05,6.839789325470977e-05,-0.0003460307674947108
osi_target_t01h,18103,Miami County,IN,2,1,9.412301807477084e-05,0.00011984344206008549,-0.00026119974500345383
osi_target_t01h,18105,Monroe County,IN,0,3,-1.5257769055037392e-06,-2.166028235029392e-06,-5.9553388166476776e-06
osi_target_t01h,18107,Montgomery County,IN,0,3,-2.131699183445529e-05,-3.033431995341405e-06,-3.036630619581656e-06
osi_target_t01h,18109,Morgan County,IN,0,3,-3.691351591721473e-05,-8.024747646535272e-05,-0.00014397409680201373
osi_target_t01h,18111,Newton County,IN,2,1,0.0002831194719891683,-0.0001855323009015801,5.975119691330416e-05
osi_target_t01h,18113,Noble County,IN,1,2,5.0046857593036395e-06,-3.0562753111744174e-06,-8.584168974508523e-06
osi_target_t01h,18117,Orange County,IN,2,1,-9.687811720754738e-05,0.0008263294294332882,0.0004212043607253191
osi_target_t01h,18121,Parke County,IN,1,2,-0.0014279878681812963,-0.0019233287885484923,1.6730090641597917e-06
osi_target_t01h,18123,Perry County,IN,2,1,0.00023314179519139978,0.0002547677531623367,-1.719546639797646e-05
osi_target_t01h,18125,Pike County,IN,3,0,8.986270638590877e-05,0.00012808439232990065,7.558326596205636e-05
osi_target_t01h,18127,Porter County,IN,3,0,3.612417235516303e-05,4.3740255752879064e-05,8.859860577789861e-05
osi_target_t01h,18129,Posey County,IN,3,0,2.359730147145312e-05,1.7307690445420335e-05,1.2678374651813035e-05
osi_target_t01h,18131,Pulaski County,IN,1,2,0.00017175472894890437,-9.927183918284621e-05,-0.0005252463532765331
osi_target_t01h,18133,Putnam County,IN,2,1,-2.891469844328235e-05,1.751860423003992e-05,2.780947561230058e-05
osi_target_t01h,18135,Randolph County,IN,1,2,-9.979760289018373e-05,-1.803952304355711e-05,3.896187543063522e-06
osi_target_t01h,18137,Ripley County,IN,0,3,-0.0001146807017739942,-6.928755960262153e-05,-7.499198966088661e-05
osi_target_t01h,18139,Rush County,IN,2,1,-3.793619002780417e-05,4.40479069234508e-05,1.4039748554548186e-05
osi_target_t01h,18141,St. Joseph County,IN,1,2,-1.4491105589479049e-05,4.392743302953945e-06,-3.8117997997626164e-05
osi_target_t01h,18143,Scott County,IN,3,0,0.00011317074685802042,0.00011161007556754446,2.984669596635902e-05
osi_target_t01h,18145,Shelby County,IN,2,1,-5.994427277800622e-06,2.236429392420353e-07,2.011828616855832e-05
osi_target_t01h,18147,Spencer County,IN,1,2,-3.2394239194113886e-05,-3.686062381458549e-05,4.274013355249262e-05
osi_target_t01h,18149,Starke County,IN,2,1,-0.00025139313523458,4.206074805994495e-06,6.341795782062562e-05
osi_target_t01h,18151,Steuben County,IN,0,3,-0.0003818923564742824,-2.4352690299277863e-05,-0.0003759104902049219
osi_target_t01h,18153,Sullivan County,IN,1,2,-3.5340553600201946e-05,-6.0181905321917014e-05,1.7672531676880625e-05
osi_target_t01h,18155,Switzerland County,IN,3,0,0.0003035840871353521,0.00045973054080696973,0.00016141156680605433
osi_target_t01h,18157,Tippecanoe County,IN,1,2,-1.329342494836195e-05,9.196667240728027e-06,-1.1398966707983332e-05
osi_target_t01h,18159,Tipton County,IN,1,2,-1.3568897519909348e-06,0.0001282903354958547,-8.306111332009609e-05
osi_target_t01h,18161,Union County,IN,3,0,6.230382512500748e-05,1.5158715154218539e-05,3.863795455771564e-05
osi_target_t01h,18163,Vanderburgh County,IN,1,2,-7.653009141154023e-06,3.9074461612627624e-06,-7.905477105340749e-06
osi_target_t01h,18165,Vermillion County,IN,1,2,5.7958881917515026e-05,-3.8260918194425036e-05,-0.00012136795972811365
osi_target_t01h,18167,Vigo County,IN,0,3,-2.726859617126345e-05,-1.7246316901297254e-05,-4.922827295939365e-05
osi_target_t01h,18169,Wabash County,IN,2,1,1.1385406462726256e-06,2.73140213197176e-05,-3.5058514674753583e-06
