split_seed,case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,18009,Blackford County,IN,0,143,0.005921301586439013,0.0032443794790710913,0.00501383918429182,0.0012252337212229874,0.005921301586439013,0.0,0.0,0.0
42,B0,osi_target_t01h,18013,Brown County,IN,1,143,0.029030526797628693,0.013180154762106669,0.12051632251914078,-0.00879707685422395,0.029030526797628693,0.0,0.0,0.0
42,B0,osi_target_t01h,18023,Clinton County,IN,3,143,0.0017718222204559245,0.0007080493435577568,0.0004489276192688949,0.0006618954974039106,0.0017718222204559245,0.0,0.0,0.0
42,B0,osi_target_t01h,18025,Crawford County,IN,2,143,0.01185695246894627,0.002187936859304956,0.0201039870246717,-0.0014245494658946091,0.01185695246894627,0.0,0.0,0.0
42,B0,osi_target_t01h,18027,Daviess County,IN,2,143,0.003674645134843885,0.001475450707127688,0.0019309314119855523,0.0014629443985326215,0.003674645134843885,0.0,0.0,0.0
42,B0,osi_target_t01h,18029,Dearborn County,IN,1,143,0.0013787581700687756,0.0004214913385931974,0.00027183929508899,-6.218247535994109e-05,0.0013787581700687756,0.0,0.0,0.0
42,B0,osi_target_t01h,18033,DeKalb County,IN,1,143,0.003318688571809491,0.001303304684833872,0.0015749582186422252,-0.0009968086378413427,0.003318688571809491,0.0,0.0,0.0
42,B0,osi_target_t01h,18035,Delaware County,IN,1,143,0.0019051666704968599,0.0008852728456117666,0.0005190413860592089,-0.00043000121852398656,0.0019051666704968599,0.0,0.0,0.0
42,B0,osi_target_t01h,18037,Dubois County,IN,3,143,0.0025427289577405147,0.0010456519128495502,0.0009245622890120995,0.0006946029618005992,0.0025427289577405147,0.0,0.0,0.0
42,B0,osi_target_t01h,18039,Elkhart County,IN,4,143,0.0015648716296677355,0.0011261354769927783,0.0003501817200794705,0.0010732503461266367,0.0015648716296677355,0.0,0.0,0.0
42,B0,osi_target_t01h,18041,Fayette County,IN,2,143,0.0052482521608166015,0.0019533489207456327,0.003938813556322806,-0.0017899627087108977,0.0052482521608166015,0.0,0.0,0.0
42,B0,osi_target_t01h,18043,Floyd County,IN,4,143,0.002454858421052908,0.0010206080622204663,0.0008617651710402561,0.0006663317410701507,0.002454858421052908,0.0,0.0,0.0
42,B0,osi_target_t01h,18045,Fountain County,IN,3,143,0.0030443633000382265,0.0012343470745590061,0.0013253451500746087,0.0012311877555518291,0.0030443633000382265,0.0,0.0,0.0
42,B0,osi_target_t01h,18047,Franklin County,IN,4,143,0.0030143996164166153,0.0012499432102681827,0.0012993845217857273,0.00042573697648970547,0.0030143996164166153,0.0,0.0,0.0
42,B0,osi_target_t01h,18051,Gibson County,IN,1,143,0.0012724672293456623,0.00040853665559423356,0.0002315417175154835,2.9502005758242305e-05,0.0012724672293456623,0.0,0.0,0.0
42,B0,osi_target_t01h,18059,Hancock County,IN,3,143,0.0011519809244088875,0.0003363813481645756,0.00018976958717887953,0.0001146626698568243,0.0011519809244088875,0.0,0.0,0.0
42,B0,osi_target_t01h,18061,Harrison County,IN,3,143,0.004011472771453975,0.0016356653049923386,0.0023011436728446787,-0.0003054657540472937,0.004011472771453975,0.0,0.0,0.0
