split_seed,case,horizon,P_self_sse_gain,P_other_cross_sse_gain,postprocessing_sse_gain,OSI_sse_gain
42,NB_P24,osi_target_t01h,0.004642710216764641,0.004427917093667702,0.00011502008417928233,0.009185647394611637
42,NB_P24,osi_target_t06h,0.004642710216764642,0.004427917093667702,0.00011502008417928233,0.00918564739461164
42,NB_P24,osi_target_t24h,0.011589581131888073,0.016442629697301567,0.00010854004011070348,0.028140750869300343
42,NB_P24,osi_target_t48h,0.0,0.0,0.0,0.0
20260917,NB_P24,osi_target_t01h,0.01075596719428128,0.007302333977864427,8.424623256627465e-05,0.01814254740471197
20260917,NB_P24,osi_target_t06h,0.01075596719428128,0.007302333977864427,8.424623256627457e-05,0.01814254740471197
20260917,NB_P24,osi_target_t24h,0.039440534075770646,0.03194749416885964,-0.00019966169393933865,0.07118836655069101
20260917,NB_P24,osi_target_t48h,0.0,0.0,0.0,0.0
20260918,NB_P24,osi_target_t01h,0.005326311140645369,0.005143277141321922,-8.482433066122393e-06,0.010461105848901166
20260918,NB_P24,osi_target_t06h,0.005326311140645371,0.005143277141321923,-8.48243306612239e-06,0.010461105848901168
20260918,NB_P24,osi_target_t24h,0.013908266378873858,0.015572850942337634,0.00011250523703472951,0.02959362255824618
20260918,NB_P24,osi_target_t48h,0.0,0.0,0.0,0.0
