split_seed,case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,NB_P24,osi_target_t01h,18013,Brown County,IN,1,143,0.028703057474194202,0.012990683079253818,0.11781276769646606,-0.008771802513836933,0.029030526797628693,-0.00032746932343449137,-1.1280171583425758,0.002703554822674717
42,NB_P24,osi_target_t01h,39115,Morgan County,OH,2,143,0.031686547474853145,0.006742764404077385,0.14357733259528546,-0.005166523458584733,0.03168935177603044,-2.8043011772935222e-06,-0.008849348503914278,2.541469057004697e-05
42,NB_P24,osi_target_t01h,39117,Morrow County,OH,4,143,0.015593940218989697,0.0097650513217551,0.0347734489321397,-0.0003134050404733544,0.015670871061249887,-7.693084226018977e-05,-0.49091618429827344,0.0003439476418799353
42,NB_P24,osi_target_t01h,42053,Forest County,PA,3,143,0.09428224787377755,0.03405630563409297,1.2711473437709375,-0.025936946972516566,0.09428587215225846,-3.624278480912624e-06,-0.0038439252861288686,9.772954328268746e-05
42,NB_P24,osi_target_t01h,42131,Wyoming County,PA,3,143,0.015883524257581324,0.003502739583995484,0.036076947026287935,-0.0033120243309361563,0.015883138738186208,3.8551939511577427e-07,0.0024272242500122942,-1.7512730525331976e-06
42,NB_P24,osi_target_t01h,54013,Calhoun County,WV,2,143,0.04354624820417804,0.021779804678102786,0.2711674297703627,-0.02037358988252443,0.04349600795892995,5.0240245248085735e-05,0.11550541671667691,-0.0006253424744111502
42,NB_P24,osi_target_t01h,54015,Clay County,WV,2,143,0.050379075649942304,0.026418079020637305,0.36294133065799317,-0.02416058841515433,0.04986667410924461,0.0005124015406976906,1.0275430432259425,-0.007345348957375375
42,NB_P24,osi_target_t06h,18013,Brown County,IN,1,138,0.029200675924885806,0.013277479927568246,0.11766976747688837,-0.009273501520344639,0.029534225086264063,-0.00033354916137825694,-1.129364865352045,0.0027035548226747447
42,NB_P24,osi_target_t06h,39115,Morgan County,OH,2,138,0.03224672449298572,0.006857380081983351,0.14349947119266046,-0.005483403717731741,0.03224957991898415,-2.855425998433969e-06,-0.008854149435766345,2.5414690570074727e-05
42,NB_P24,osi_target_t06h,39117,Morrow County,OH,4,138,0.013941592886685233,0.008758892849268264,0.026822785686093975,0.0010352043842338354,0.014030694438786469,-8.910155210123567e-05,-0.6350473420255187,0.0003439476418799353
