horizon,rmse,mae,rmse_std,mae_std,final_rounds,valid_rows
osi_target_t01h,0.012043940713067153,0.003498229225986764,0.0031322756412337388,0.0005827434610594358,1348,34177
osi_target_t06h,0.010660518030069762,0.0032607381223893686,0.0024474805677634085,0.0005294205668776778,1265,32982
osi_target_t24h,0.008712558791012303,0.002713104225942726,0.002689702448638752,0.0005003961820053445,1002,28680
osi_target_t48h,0.007926178033315738,0.002122147989637791,0.0034830491701805153,0.0006431839411055086,343,22944
