horizon,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,0,27313,6864,987,0.006984030869387958,0.0026758179258648254
osi_target_t01h,1,27456,6721,284,0.010106676895112406,0.0033865926702708175
osi_target_t01h,2,27313,6864,1827,0.013261427211930072,0.004136165897446491
osi_target_t01h,3,27313,6864,1607,0.01636621537364481,0.004173804066654068
osi_target_t01h,4,27313,6864,2037,0.011390719276659158,0.003116439808120203
osi_target_t06h,0,26358,6624,736,0.006970587453138138,0.002601433983783559
osi_target_t06h,1,26496,6486,551,0.009380144801735466,0.00314964880472867
osi_target_t06h,2,26358,6624,1465,0.01340325844275077,0.004053997297018204
osi_target_t06h,3,26358,6624,932,0.012958825435125432,0.0036511566648658217
osi_target_t06h,4,26358,6624,2641,0.009140237981536297,0.0028451395007659925
osi_target_t24h,0,22920,5760,542,0.005294582920052469,0.002059860827493184
osi_target_t24h,1,23040,5640,535,0.008186076325132248,0.002585999744255393
osi_target_t24h,2,22920,5760,1869,0.013311168743484673,0.0035770739657785293
osi_target_t24h,3,22920,5760,170,0.007116355938883939,0.0028416312463427633
osi_target_t24h,4,22920,5760,1894,0.007515574737746764,0.0024983073358086083
osi_target_t48h,0,18336,4608,378,0.003806866609868402,0.0014876080184273127
osi_target_t48h,1,18432,4512,136,0.0055573361614166894,0.0017296946663998567
osi_target_t48h,2,18336,4608,969,0.013748148357968138,0.0033425883163037116
osi_target_t48h,3,18336,4608,98,0.005301448385056832,0.002052801933971447
osi_target_t48h,4,18336,4608,135,0.007138831209871812,0.001989870902185834
