D_reference,domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E1,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0
B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E0,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0
B,OSI,C0_direct_osi,osi_target_t01h,E1_minus_E0,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0
B,OSI,C1_component_osi,osi_target_t01h,E2_minus_E1,34177,0.011327096806192608,0.0034686188287523867,4.3850158025372625,-3.7234640820829767e-05,0.010684501026255153,0.003341289390344482,3.9015971796274806,7.4314730020982796e-06,-0.0006425957799374542,-5.673084559373964,0.4834186229097819,18318
B,OSI,C1_component_osi,osi_target_t01h,E2_minus_E0,34177,0.011351924306613574,0.0034694930527204293,4.404259620571825,-4.772168879827678e-05,0.010684501026255153,0.003341289390344482,3.9015971796274806,7.4314730020982796e-06,-0.0006674232803584208,-5.879384519588305,0.5026624409443441,18337
B,OSI,C1_component_osi,osi_target_t01h,E1_minus_E0,34177,0.011351924306613574,0.0034694930527204293,4.404259620571825,-4.772168879827678e-05,0.011327096806192608,0.0034686188287523867,4.3850158025372625,-3.7234640820829767e-05,-2.4827500420966653e-05,-0.21870741691346618,0.01924381803456221,14159
B,OSI,C2_equal_blend,osi_target_t01h,E2_minus_E1,34177,0.011341911449478121,0.003452159558194054,4.39649357623832,-6.275584471671383e-05,0.010878195677283707,0.0033463387988283398,4.044340120562523,-4.207180599256861e-05,-0.0004637157721944143,-4.088515187761866,0.35215345567579703,17483
B,OSI,C2_equal_blend,osi_target_t01h,E2_minus_E0,34177,0.011354261554201743,0.003452106396494234,4.4060733932147045,-6.845425503677472e-05,0.010878195677283707,0.0033463387988283398,4.044340120562523,-4.207180599256861e-05,-0.0004760658769180359,-4.192838738525129,0.3617332726521818,17483
B,OSI,C2_equal_blend,osi_target_t01h,E1_minus_E0,34177,0.011354261554201743,0.003452106396494234,4.4060733932147045,-6.845425503677472e-05,0.011341911449478121,0.003452159558194054,4.39649357623832,-6.275584471671383e-05,-1.235010472362165e-05,-0.10877065553462906,0.00957981697638477,13745
B,OSI,C3_aligned_component,osi_target_t01h,E2_minus_E1,34177,0.011412691820620623,0.003458679232839084,4.451538343766535,-7.687938554163476e-05,0.010806578845462,0.0033293542867141447,3.991263415571095,-7.228422174394437e-05,-0.0006061129751586229,-5.310867801262176,0.4602749281954397,17295
B,OSI,C3_aligned_component,osi_target_t01h,E2_minus_E0,34177,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,0.010806578845462,0.0033293542867141447,3.991263415571095,-7.228422174394437e-05,-0.0006196832314986408,-5.42332415732123,0.4708674214902233,17313
B,OSI,C3_aligned_component,osi_target_t01h,E1_minus_E0,34177,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,0.011412691820620623,0.003458679232839084,4.451538343766535,-7.687938554163476e-05,-1.3570256340017864e-05,-0.11876374135842971,0.010592493294783623,13559
B,OSI,v18_rule,osi_target_t01h,E2_minus_E1,34177,0.011412691820620623,0.003458679232839084,4.451538343766535,-7.687938554163476e-05,0.010806578845462,0.0033293542867141447,3.991263415571095,-7.228422174394437e-05,-0.0006061129751586229,-5.310867801262176,0.4602749281954397,17295
B,OSI,v18_rule,osi_target_t01h,E2_minus_E0,34177,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,0.010806578845462,0.0033293542867141447,3.991263415571095,-7.228422174394437e-05,-0.0006196832314986408,-5.42332415732123,0.4708674214902233,17313
B,OSI,v18_rule,osi_target_t01h,E1_minus_E0,34177,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,0.011412691820620623,0.003458679232839084,4.451538343766535,-7.687938554163476e-05,-1.3570256340017864e-05,-0.11876374135842971,0.010592493294783623,13559
B,OSI,C0_direct_osi,osi_target_t06h,E2_minus_E1,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0
B,OSI,C0_direct_osi,osi_target_t06h,E2_minus_E0,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0
B,OSI,C0_direct_osi,osi_target_t06h,E1_minus_E0,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0
B,OSI,C1_component_osi,osi_target_t06h,E2_minus_E1,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0
B,OSI,C1_component_osi,osi_target_t06h,E2_minus_E0,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0
B,OSI,C1_component_osi,osi_target_t06h,E1_minus_E0,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0
B,OSI,C2_equal_blend,osi_target_t06h,E2_minus_E1,32982,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.0,0.0,0.0,0
