population,n,a_mse,b_mse,twice_cross_mean,P_mse
all,34177,8.937757789119297e-05,0.00019099597423240654,2.5681787838697377e-05,0.0003060553399622969
fold0,6864,4.994446805277986e-05,9.749045469829508e-05,4.218031892601126e-06,0.00015165295464367607
fold1,6721,9.760255312925008e-05,8.720989696084392e-05,8.097943624372834e-06,0.00019291039371446687
fold2,6864,0.00011992586450459706,0.0005603038849961574,8.391792277294752e-05,0.0007641476722737019
fold3,6864,9.276282016812636e-05,0.00013971379024522792,1.866539550323825e-05,0.0002511420059165925
fold4,6864,8.682353725200428e-05,6.809963431835064e-05,1.314331531252872e-05,0.00016806648688288365
